"","year","gender","year-gender","hiv_incidence","hiv_pop_no_art_CD4_more","hiv_pop_no_art_CD4_less","art_coverage","hiv_prevalence","n1_prop","n2_prop","n3_prop","n4_prop","eta_24","eta_34"
"43",2004,"Females","2004-Females",0.0563526418716989,0.784707009379324,0.21205170511114,0.00324128550953642,0.352615286996776,0.647384713003224,0.275802824633666,0.0745303132748831,0.00114292682018368,0,0
"44",2005,"Females","2005-Females",0.0561098123979208,0.777176773914962,0.207764851111086,0.0150583749739516,0.356685320269274,0.643314679730726,0.273033251328747,0.0729907463972925,0.00537110130031875,0,0.114979429730733
"45",2006,"Females","2006-Females",0.0553727898276837,0.767768133062957,0.194065163699395,0.0381667032376474,0.360616310269202,0.639383689730798,0.266302507181237,0.067312040477002,0.0137635356967,0,0.187573858290051
"46",2007,"Females","2007-Females",0.054199844260432,0.754850402707904,0.172789489316545,0.0723601079755513,0.364697007462506,0.635302992537494,0.255371547046447,0.0584559788824892,0.0263895148383474,0,0.253280436903176
"47",2008,"Females","2008-Females",0.0528569278643016,0.737812241544835,0.15055266226058,0.111635096194586,0.369017200804857,0.630982799195143,0.241871033071352,0.0493544643232868,0.0411952707093071,0,0.28784403984943
"48",2009,"Females","2009-Females",0.051534749310352,0.717691529192317,0.133932919343738,0.148375551463945,0.373388058599324,0.626611941400676,0.228216145315637,0.0425888467959156,0.0554016591047265,0,0.337091779394137
"49",2010,"Females","2010-Females",0.0500463627807634,0.695872785373925,0.119375361803217,0.184751852822858,0.377576777648832,0.622423222351168,0.214202703753627,0.0367459768470127,0.069758009253506,0,0.481691003853621
"50",2011,"Females","2011-Females",0.0481417421968398,0.662835227335052,0.10794148607717,0.229223286587779,0.381541583450921,0.618458416549079,0.194928815899732,0.0317437957425342,0.0874582157285255,0,0.830838886652581
"51",2012,"Females","2012-Females",0.0456705723566028,0.594068617912599,0.109917482366181,0.296013899721219,0.384550170612207,0.615449829387793,0.160825053235017,0.0297566382400642,0.11383219564138,0,0.84770306105785
"52",2013,"Females","2013-Females",0.0430407712349595,0.539041213400503,0.101271174572192,0.359687612027304,0.386604888004086,0.613395111995914,0.133438519873166,0.0250694664986403,0.139056988964273,0,0.972963735703052
"53",2014,"Females","2014-Females",0.0403316631350704,0.49088232108615,0.0879378467858631,0.421179832127986,0.388073355542828,0.611926644457172,0.110264286648829,0.0197530111164372,0.163448670740873,0,1.22324889771453
"54",2015,"Females","2015-Females",0.0375207501305778,0.443027319696674,0.0748071357367696,0.482165544566557,0.389101879903614,0.610898120096386,0.0892657341745118,0.0150729167167549,0.187611519815597,0.248424962129123,0.248424962129123
"55",2016,"Females","2016-Females",0.0346609174895146,0.381196599570326,0.0703015662491669,0.548501834180508,0.389300147976519,0.610699852023481,0.0670022793261341,0.012356786981313,0.213531845211864,0.178786012477455,0.178786012477455
"56",2017,"Females","2017-Females",0.0327877900221015,0.344085297586144,0.0695153819855941,0.586399320428263,0.388336289449647,0.611663710550353,0.0552656568774121,0.0111652932440575,0.227720136230906,0.211947348989418,0.211947348989418
