"sim_id","HIV_neg_female","HIV_neg_male","HIV_pos_female","HIV_pos_male","hiv_prev_mse_male","hiv_prev_mse_female","hiv_prev_mse","max_perc_diff_male","max_perc_diff_female","b1_contact","b2_contact","hiv2_mort","hiv3_mort","hiv4_mort","tb_hiv1_mort","tb_hiv2_mort","tb_hiv3_mort","tb_hiv4_mort","hiv_prev_mse_male_norm","hiv_prev_mse_female_norm","hiv_prev_mse_male_norm_rank","hiv_prev_mse_female_norm_rank"
4512,1669.83236167098,5870.43159519694,32219.9843889713,166180.322366383,62681092.3642808,66188624.4749698,128869716.839251,0.0246137218109002,0.0362174394211007,11,6,8,35,1.5,17,30,60,20,0.0520462718914263,0.522125571281569,877,5262
4513,2334.49789141029,6141.0196911724,58918.8089265768,35511.9738826361,103204236.410739,39346815.0594861,142551051.470225,0.0309612024436142,0.0314169306847367,11,6,8,45,1.2,14,22,40,17,0.169890422876478,0.199674464380885,1668,3090
4514,2330.25376467951,6106.34907300425,54633.4514432933,37745.3289856224,103473664.61044,38673195.2119691,142146859.822409,0.0309645839941379,0.0310891714194389,11,6,8,45,1.2,14,22,40,20,0.170673939017494,0.191582257849651,1679,3049
4515,2467.75972141492,6438.17596792532,31155.0509525518,76964.9830859704,112688312.696521,34524923.4182514,147213236.114772,0.0322657032559312,0.0295580681461256,11,6,8,45,1.2,14,22,60,17,0.197470783287163,0.141748999185741,2049,2724
4516,2464.22102419723,6409.8714017143,29196.3172927116,80342.3318878986,112960780.36117,33973560.0857292,146934340.446899,0.0322683822656383,0.0292513672572911,11,6,8,45,1.2,14,22,60,20,0.198263138405872,0.135125462220544,2059,2661
4517,2500.60506268753,6508.03811715424,34037.1833825401,61927.6588999533,114120034.307782,34308217.1525511,148428251.460333,0.0322432193999245,0.029468394460353,11,6,8,45,1.2,14,30,40,17,0.201634330358748,0.139145703179658,2116,2699
4518,2496.96576249176,6478.86599331419,31697.5979745352,64996.1327267683,114419292.302531,33742934.5555842,148162226.858115,0.0322464346154543,0.0291560168846988,11,6,8,45,1.2,14,30,40,20,0.202504593640298,0.132354953857128,2127,2643
4519,2655.12586301387,6970.03912288042,31212.6692514904,115790.404830366,123589393.497201,30918418.0698777,154507811.567079,0.0334633586034766,0.0277421558489347,11,6,8,45,1.2,14,30,60,17,0.229171892418843,0.098423989920326,2504,2289
4520,2652.14473008306,6946.73101189999,30817.4559184218,119729.225258625,123883894.262056,30458836.52541,154342730.787466,0.0334659053432552,0.0274497891648977,11,6,8,45,1.2,14,30,60,20,0.230028321341509,0.0929030291150814,2512,2218
4521,1681.54546468139,7248.02407802688,66107.3415815558,30699.0668800406,102439475.662942,39565809.4370147,142005285.099956,0.030870123166661,0.0314840093982351,11,6,8,45,1.2,17,22,40,17,0.167666444872018,0.202305247512755,1645,3104
4522,1671.72041631753,7171.1968542148,61566.8622255935,32664.2660367122,102700318.622347,38900759.6264126,141601078.24876,0.030873413243332,0.0311615138448972,11,6,8,45,1.2,17,22,40,20,0.168424994530859,0.19431599297878,1652,3065
4523,1638.71169199657,6335.02894668519,33190.3333676148,66782.9184374269,111459607.651659,34892171.0098299,146351778.661489,0.0321449337459306,0.0297091851585892,11,6,8,45,1.2,17,22,60,17,0.193897622659331,0.146160750665609,1987,2765
