"year","TB_compartment","HIV_compartment","G_compartment","mort_adj","level","level_ref","mort_rate"
1990,6,4,1,25,3,"TB_HIV4_level_3",0.168317548977936
1991,6,4,1,25,3,"TB_HIV4_level_3",0.171107836129008
1992,6,4,1,25,3,"TB_HIV4_level_3",0.177542809874414
1993,6,4,1,25,3,"TB_HIV4_level_3",0.170007389302842
1994,6,4,1,25,3,"TB_HIV4_level_3",0.17364728000041
1995,6,4,1,25,3,"TB_HIV4_level_3",0.181013387243576
1996,6,4,1,25,3,"TB_HIV4_level_3",0.18252942202525
1997,6,4,1,25,3,"TB_HIV4_level_3",0.201958424133579
1998,6,4,1,25,3,"TB_HIV4_level_3",0.212300737152597
1999,6,4,1,25,3,"TB_HIV4_level_3",0.206788980977105
2000,6,4,1,25,3,"TB_HIV4_level_3",0.21365170055981
2001,6,4,1,25,3,"TB_HIV4_level_3",0.21016421153605
2002,6,4,1,25,3,"TB_HIV4_level_3",0.21231253470741
2003,6,4,1,25,3,"TB_HIV4_level_3",0.216063470203088
2004,6,4,1,25,3,"TB_HIV4_level_3",0.213011880107144
2005,6,4,1,25,3,"TB_HIV4_level_3",0.209867503230635
2006,6,4,1,25,3,"TB_HIV4_level_3",0.208574308330121
2007,6,4,1,25,3,"TB_HIV4_level_3",0.200089641097404
2008,6,4,1,25,3,"TB_HIV4_level_3",0.194260607131322
2009,6,4,1,25,3,"TB_HIV4_level_3",0.186535751355303
2010,6,4,1,25,3,"TB_HIV4_level_3",0.176013857242712
2011,6,4,1,25,3,"TB_HIV4_level_3",0.162161097331335
2012,6,4,1,25,3,"TB_HIV4_level_3",0.15691444799051
2013,6,4,1,25,3,"TB_HIV4_level_3",0.153760631250169
2014,6,4,1,25,3,"TB_HIV4_level_3",0.153472072334607
2015,6,4,1,25,3,"TB_HIV4_level_3",0.15144809454399
2016,6,4,1,25,3,"TB_HIV4_level_3",0.144293991438142
2017,6,4,1,25,3,"TB_HIV4_level_3",0.144175174402277
2018,6,4,1,25,3,"TB_HIV4_level_3",0.146594938141221
2019,6,4,1,25,3,"TB_HIV4_level_3",0.148373620346338
1990,6,4,2,25,3,"TB_HIV4_level_3",0.0964814212452328
1991,6,4,2,25,3,"TB_HIV4_level_3",0.0925991103991942
1992,6,4,2,25,3,"TB_HIV4_level_3",0.10179437128994
1993,6,4,2,25,3,"TB_HIV4_level_3",0.0869548512022302
1994,6,4,2,25,3,"TB_HIV4_level_3",0.0904670082791863
1995,6,4,2,25,3,"TB_HIV4_level_3",0.0790513944204173
1996,6,4,2,25,3,"TB_HIV4_level_3",0.0738245020343291
1997,6,4,2,25,3,"TB_HIV4_level_3",0.0884210172201921
1998,6,4,2,25,3,"TB_HIV4_level_3",0.091648298506116
1999,6,4,2,25,3,"TB_HIV4_level_3",0.0950922845313606
2000,6,4,2,25,3,"TB_HIV4_level_3",0.106790950550436
2001,6,4,2,25,3,"TB_HIV4_level_3",0.105567228252915
2002,6,4,2,25,3,"TB_HIV4_level_3",0.112161342920112
2003,6,4,2,25,3,"TB_HIV4_level_3",0.119277099273683
2004,6,4,2,25,3,"TB_HIV4_level_3",0.12133238529568
2005,6,4,2,25,3,"TB_HIV4_level_3",0.118692528585649
2006,6,4,2,25,3,"TB_HIV4_level_3",0.118344646375262
2007,6,4,2,25,3,"TB_HIV4_level_3",0.109098789116901
2008,6,4,2,25,3,"TB_HIV4_level_3",0.104998053131874
2009,6,4,2,25,3,"TB_HIV4_level_3",0.100826148066142
2010,6,4,2,25,3,"TB_HIV4_level_3",0.096063954626668
2011,6,4,2,25,3,"TB_HIV4_level_3",0.0873667814201017
2012,6,4,2,25,3,"TB_HIV4_level_3",0.0843786699283024
2013,6,4,2,25,3,"TB_HIV4_level_3",0.0831925995988313
2014,6,4,2,25,3,"TB_HIV4_level_3",0.0839559865583302
2015,6,4,2,25,3,"TB_HIV4_level_3",0.0814992313317889
2016,6,4,2,25,3,"TB_HIV4_level_3",0.077613889427139
2017,6,4,2,25,3,"TB_HIV4_level_3",0.0757879045395939
2018,6,4,2,25,3,"TB_HIV4_level_3",0.0758147341039439
2019,6,4,2,25,3,"TB_HIV4_level_3",0.077064773258354
1990,6,4,1,20,2,"TB_HIV4_level_2",0.134654039182349
1991,6,4,1,20,2,"TB_HIV4_level_2",0.136886268903207
1992,6,4,1,20,2,"TB_HIV4_level_2",0.142034247899531
1993,6,4,1,20,2,"TB_HIV4_level_2",0.136005911442273
1994,6,4,1,20,2,"TB_HIV4_level_2",0.138917824000328
1995,6,4,1,20,2,"TB_HIV4_level_2",0.144810709794861
1996,6,4,1,20,2,"TB_HIV4_level_2",0.1460235376202
1997,6,4,1,20,2,"TB_HIV4_level_2",0.161566739306863
1998,6,4,1,20,2,"TB_HIV4_level_2",0.169840589722078
1999,6,4,1,20,2,"TB_HIV4_level_2",0.165431184781684
2000,6,4,1,20,2,"TB_HIV4_level_2",0.170921360447848
2001,6,4,1,20,2,"TB_HIV4_level_2",0.16813136922884
2002,6,4,1,20,2,"TB_HIV4_level_2",0.169850027765928
2003,6,4,1,20,2,"TB_HIV4_level_2",0.17285077616247
2004,6,4,1,20,2,"TB_HIV4_level_2",0.170409504085715
2005,6,4,1,20,2,"TB_HIV4_level_2",0.167894002584508
2006,6,4,1,20,2,"TB_HIV4_level_2",0.166859446664097
2007,6,4,1,20,2,"TB_HIV4_level_2",0.160071712877923
2008,6,4,1,20,2,"TB_HIV4_level_2",0.155408485705057
2009,6,4,1,20,2,"TB_HIV4_level_2",0.149228601084242
2010,6,4,1,20,2,"TB_HIV4_level_2",0.14081108579417
2011,6,4,1,20,2,"TB_HIV4_level_2",0.129728877865068
2012,6,4,1,20,2,"TB_HIV4_level_2",0.125531558392408
2013,6,4,1,20,2,"TB_HIV4_level_2",0.123008505000135
2014,6,4,1,20,2,"TB_HIV4_level_2",0.122777657867685
2015,6,4,1,20,2,"TB_HIV4_level_2",0.121158475635192
2016,6,4,1,20,2,"TB_HIV4_level_2",0.115435193150513
2017,6,4,1,20,2,"TB_HIV4_level_2",0.115340139521822
2018,6,4,1,20,2,"TB_HIV4_level_2",0.117275950512977
2019,6,4,1,20,2,"TB_HIV4_level_2",0.11869889627707
1990,6,4,2,20,2,"TB_HIV4_level_2",0.0771851369961862
1991,6,4,2,20,2,"TB_HIV4_level_2",0.0740792883193554
1992,6,4,2,20,2,"TB_HIV4_level_2",0.0814354970319522
1993,6,4,2,20,2,"TB_HIV4_level_2",0.0695638809617842
1994,6,4,2,20,2,"TB_HIV4_level_2",0.0723736066233491
1995,6,4,2,20,2,"TB_HIV4_level_2",0.0632411155363339
1996,6,4,2,20,2,"TB_HIV4_level_2",0.0590596016274633
1997,6,4,2,20,2,"TB_HIV4_level_2",0.0707368137761537
1998,6,4,2,20,2,"TB_HIV4_level_2",0.0733186388048928
1999,6,4,2,20,2,"TB_HIV4_level_2",0.0760738276250885
2000,6,4,2,20,2,"TB_HIV4_level_2",0.0854327604403485
2001,6,4,2,20,2,"TB_HIV4_level_2",0.0844537826023319
2002,6,4,2,20,2,"TB_HIV4_level_2",0.0897290743360898
2003,6,4,2,20,2,"TB_HIV4_level_2",0.0954216794189465
2004,6,4,2,20,2,"TB_HIV4_level_2",0.0970659082365439
2005,6,4,2,20,2,"TB_HIV4_level_2",0.094954022868519
2006,6,4,2,20,2,"TB_HIV4_level_2",0.0946757171002095
2007,6,4,2,20,2,"TB_HIV4_level_2",0.0872790312935205
2008,6,4,2,20,2,"TB_HIV4_level_2",0.0839984425054989
2009,6,4,2,20,2,"TB_HIV4_level_2",0.0806609184529133
2010,6,4,2,20,2,"TB_HIV4_level_2",0.0768511637013344
2011,6,4,2,20,2,"TB_HIV4_level_2",0.0698934251360814
2012,6,4,2,20,2,"TB_HIV4_level_2",0.0675029359426419
2013,6,4,2,20,2,"TB_HIV4_level_2",0.066554079679065
2014,6,4,2,20,2,"TB_HIV4_level_2",0.0671647892466642
2015,6,4,2,20,2,"TB_HIV4_level_2",0.0651993850654311
2016,6,4,2,20,2,"TB_HIV4_level_2",0.0620911115417112
2017,6,4,2,20,2,"TB_HIV4_level_2",0.0606303236316751
2018,6,4,2,20,2,"TB_HIV4_level_2",0.0606517872831551
2019,6,4,2,20,2,"TB_HIV4_level_2",0.0616518186066832
1990,6,4,1,15,1,"TB_HIV4_level_1",0.100990529386762
1991,6,4,1,15,1,"TB_HIV4_level_1",0.102664701677405
1992,6,4,1,15,1,"TB_HIV4_level_1",0.106525685924648
1993,6,4,1,15,1,"TB_HIV4_level_1",0.102004433581705
1994,6,4,1,15,1,"TB_HIV4_level_1",0.104188368000246
1995,6,4,1,15,1,"TB_HIV4_level_1",0.108608032346145
1996,6,4,1,15,1,"TB_HIV4_level_1",0.10951765321515
1997,6,4,1,15,1,"TB_HIV4_level_1",0.121175054480147
1998,6,4,1,15,1,"TB_HIV4_level_1",0.127380442291558
1999,6,4,1,15,1,"TB_HIV4_level_1",0.124073388586263
2000,6,4,1,15,1,"TB_HIV4_level_1",0.128191020335886
2001,6,4,1,15,1,"TB_HIV4_level_1",0.12609852692163
2002,6,4,1,15,1,"TB_HIV4_level_1",0.127387520824446
2003,6,4,1,15,1,"TB_HIV4_level_1",0.129638082121853
2004,6,4,1,15,1,"TB_HIV4_level_1",0.127807128064286
2005,6,4,1,15,1,"TB_HIV4_level_1",0.125920501938381
2006,6,4,1,15,1,"TB_HIV4_level_1",0.125144584998073
2007,6,4,1,15,1,"TB_HIV4_level_1",0.120053784658443
2008,6,4,1,15,1,"TB_HIV4_level_1",0.116556364278793
2009,6,4,1,15,1,"TB_HIV4_level_1",0.111921450813182
2010,6,4,1,15,1,"TB_HIV4_level_1",0.105608314345627
2011,6,4,1,15,1,"TB_HIV4_level_1",0.097296658398801
2012,6,4,1,15,1,"TB_HIV4_level_1",0.0941486687943061
2013,6,4,1,15,1,"TB_HIV4_level_1",0.0922563787501015
2014,6,4,1,15,1,"TB_HIV4_level_1",0.0920832434007639
2015,6,4,1,15,1,"TB_HIV4_level_1",0.0908688567263938
2016,6,4,1,15,1,"TB_HIV4_level_1",0.0865763948628851
2017,6,4,1,15,1,"TB_HIV4_level_1",0.0865051046413663
2018,6,4,1,15,1,"TB_HIV4_level_1",0.0879569628847324
2019,6,4,1,15,1,"TB_HIV4_level_1",0.0890241722078028
1990,6,4,2,15,1,"TB_HIV4_level_1",0.0578888527471397
1991,6,4,2,15,1,"TB_HIV4_level_1",0.0555594662395165
1992,6,4,2,15,1,"TB_HIV4_level_1",0.0610766227739641
1993,6,4,2,15,1,"TB_HIV4_level_1",0.0521729107213381
1994,6,4,2,15,1,"TB_HIV4_level_1",0.0542802049675118
1995,6,4,2,15,1,"TB_HIV4_level_1",0.0474308366522504
1996,6,4,2,15,1,"TB_HIV4_level_1",0.0442947012205975
1997,6,4,2,15,1,"TB_HIV4_level_1",0.0530526103321153
1998,6,4,2,15,1,"TB_HIV4_level_1",0.0549889791036696
1999,6,4,2,15,1,"TB_HIV4_level_1",0.0570553707188164
2000,6,4,2,15,1,"TB_HIV4_level_1",0.0640745703302614
2001,6,4,2,15,1,"TB_HIV4_level_1",0.0633403369517489
2002,6,4,2,15,1,"TB_HIV4_level_1",0.0672968057520674
2003,6,4,2,15,1,"TB_HIV4_level_1",0.0715662595642099
2004,6,4,2,15,1,"TB_HIV4_level_1",0.0727994311774079
2005,6,4,2,15,1,"TB_HIV4_level_1",0.0712155171513893
2006,6,4,2,15,1,"TB_HIV4_level_1",0.0710067878251571
2007,6,4,2,15,1,"TB_HIV4_level_1",0.0654592734701404
2008,6,4,2,15,1,"TB_HIV4_level_1",0.0629988318791242
2009,6,4,2,15,1,"TB_HIV4_level_1",0.060495688839685
2010,6,4,2,15,1,"TB_HIV4_level_1",0.0576383727760008
2011,6,4,2,15,1,"TB_HIV4_level_1",0.052420068852061
2012,6,4,2,15,1,"TB_HIV4_level_1",0.0506272019569814
2013,6,4,2,15,1,"TB_HIV4_level_1",0.0499155597592988
2014,6,4,2,15,1,"TB_HIV4_level_1",0.0503735919349981
2015,6,4,2,15,1,"TB_HIV4_level_1",0.0488995387990734
2016,6,4,2,15,1,"TB_HIV4_level_1",0.0465683336562834
2017,6,4,2,15,1,"TB_HIV4_level_1",0.0454727427237563
2018,6,4,2,15,1,"TB_HIV4_level_1",0.0454888404623663
2019,6,4,2,15,1,"TB_HIV4_level_1",0.0462388639550124
1990,6,3,1,70,2,"TB_HIV3_level_2",0.471289137138221
1991,6,3,1,70,2,"TB_HIV3_level_2",0.479101941161224
1992,6,3,1,70,2,"TB_HIV3_level_2",0.497119867648358
1993,6,3,1,70,2,"TB_HIV3_level_2",0.476020690047957
1994,6,3,1,70,2,"TB_HIV3_level_2",0.486212384001149
1995,6,3,1,70,2,"TB_HIV3_level_2",0.506837484282012
1996,6,3,1,70,2,"TB_HIV3_level_2",0.5110823816707
1997,6,3,1,70,2,"TB_HIV3_level_2",0.56548358757402
1998,6,3,1,70,2,"TB_HIV3_level_2",0.594442064027273
1999,6,3,1,70,2,"TB_HIV3_level_2",0.579009146735893
2000,6,3,1,70,2,"TB_HIV3_level_2",0.598224761567469
2001,6,3,1,70,2,"TB_HIV3_level_2",0.588459792300939
2002,6,3,1,70,2,"TB_HIV3_level_2",0.594475097180749
2003,6,3,1,70,2,"TB_HIV3_level_2",0.604977716568646
2004,6,3,1,70,2,"TB_HIV3_level_2",0.596433264300003
2005,6,3,1,70,2,"TB_HIV3_level_2",0.587629009045778
2006,6,3,1,70,2,"TB_HIV3_level_2",0.58400806332434
2007,6,3,1,70,2,"TB_HIV3_level_2",0.560250995072732
2008,6,3,1,70,2,"TB_HIV3_level_2",0.543929699967701
2009,6,3,1,70,2,"TB_HIV3_level_2",0.522300103794847
2010,6,3,1,70,2,"TB_HIV3_level_2",0.492838800279595
2011,6,3,1,70,2,"TB_HIV3_level_2",0.454051072527738
2012,6,3,1,70,2,"TB_HIV3_level_2",0.439360454373429
2013,6,3,1,70,2,"TB_HIV3_level_2",0.430529767500474
2014,6,3,1,70,2,"TB_HIV3_level_2",0.429721802536898
2015,6,3,1,70,2,"TB_HIV3_level_2",0.424054664723171
2016,6,3,1,70,2,"TB_HIV3_level_2",0.404023176026797
2017,6,3,1,70,2,"TB_HIV3_level_2",0.403690488326376
2018,6,3,1,70,2,"TB_HIV3_level_2",0.410465826795418
2019,6,3,1,70,2,"TB_HIV3_level_2",0.415446136969746
1990,6,3,2,70,2,"TB_HIV3_level_2",0.270147979486652
1991,6,3,2,70,2,"TB_HIV3_level_2",0.259277509117744
1992,6,3,2,70,2,"TB_HIV3_level_2",0.285024239611833
1993,6,3,2,70,2,"TB_HIV3_level_2",0.243473583366245
1994,6,3,2,70,2,"TB_HIV3_level_2",0.253307623181722
1995,6,3,2,70,2,"TB_HIV3_level_2",0.221343904377169
1996,6,3,2,70,2,"TB_HIV3_level_2",0.206708605696122
1997,6,3,2,70,2,"TB_HIV3_level_2",0.247578848216538
1998,6,3,2,70,2,"TB_HIV3_level_2",0.256615235817125
1999,6,3,2,70,2,"TB_HIV3_level_2",0.26625839668781
2000,6,3,2,70,2,"TB_HIV3_level_2",0.29901466154122
2001,6,3,2,70,2,"TB_HIV3_level_2",0.295588239108162
2002,6,3,2,70,2,"TB_HIV3_level_2",0.314051760176314
2003,6,3,2,70,2,"TB_HIV3_level_2",0.333975877966313
2004,6,3,2,70,2,"TB_HIV3_level_2",0.339730678827904
2005,6,3,2,70,2,"TB_HIV3_level_2",0.332339080039816
2006,6,3,2,70,2,"TB_HIV3_level_2",0.331365009850733
2007,6,3,2,70,2,"TB_HIV3_level_2",0.305476609527322
2008,6,3,2,70,2,"TB_HIV3_level_2",0.293994548769246
2009,6,3,2,70,2,"TB_HIV3_level_2",0.282313214585197
2010,6,3,2,70,2,"TB_HIV3_level_2",0.26897907295467
2011,6,3,2,70,2,"TB_HIV3_level_2",0.244626987976285
2012,6,3,2,70,2,"TB_HIV3_level_2",0.236260275799247
2013,6,3,2,70,2,"TB_HIV3_level_2",0.232939278876728
2014,6,3,2,70,2,"TB_HIV3_level_2",0.235076762363325
2015,6,3,2,70,2,"TB_HIV3_level_2",0.228197847729009
2016,6,3,2,70,2,"TB_HIV3_level_2",0.217318890395989
2017,6,3,2,70,2,"TB_HIV3_level_2",0.212206132710863
2018,6,3,2,70,2,"TB_HIV3_level_2",0.212281255491043
2019,6,3,2,70,2,"TB_HIV3_level_2",0.215781365123391
1990,6,3,1,50,1,"TB_HIV3_level_1",0.336635097955872
1991,6,3,1,50,1,"TB_HIV3_level_1",0.342215672258017
1992,6,3,1,50,1,"TB_HIV3_level_1",0.355085619748827
1993,6,3,1,50,1,"TB_HIV3_level_1",0.340014778605684
1994,6,3,1,50,1,"TB_HIV3_level_1",0.347294560000821
1995,6,3,1,50,1,"TB_HIV3_level_1",0.362026774487151
1996,6,3,1,50,1,"TB_HIV3_level_1",0.3650588440505
1997,6,3,1,50,1,"TB_HIV3_level_1",0.403916848267157
1998,6,3,1,50,1,"TB_HIV3_level_1",0.424601474305195
1999,6,3,1,50,1,"TB_HIV3_level_1",0.413577961954209
2000,6,3,1,50,1,"TB_HIV3_level_1",0.42730340111962
2001,6,3,1,50,1,"TB_HIV3_level_1",0.420328423072099
2002,6,3,1,50,1,"TB_HIV3_level_1",0.424625069414821
2003,6,3,1,50,1,"TB_HIV3_level_1",0.432126940406176
2004,6,3,1,50,1,"TB_HIV3_level_1",0.426023760214288
2005,6,3,1,50,1,"TB_HIV3_level_1",0.41973500646127
2006,6,3,1,50,1,"TB_HIV3_level_1",0.417148616660243
2007,6,3,1,50,1,"TB_HIV3_level_1",0.400179282194808
2008,6,3,1,50,1,"TB_HIV3_level_1",0.388521214262643
2009,6,3,1,50,1,"TB_HIV3_level_1",0.373071502710605
2010,6,3,1,50,1,"TB_HIV3_level_1",0.352027714485425
2011,6,3,1,50,1,"TB_HIV3_level_1",0.32432219466267
2012,6,3,1,50,1,"TB_HIV3_level_1",0.31382889598102
2013,6,3,1,50,1,"TB_HIV3_level_1",0.307521262500338
2014,6,3,1,50,1,"TB_HIV3_level_1",0.306944144669213
2015,6,3,1,50,1,"TB_HIV3_level_1",0.302896189087979
2016,6,3,1,50,1,"TB_HIV3_level_1",0.288587982876284
2017,6,3,1,50,1,"TB_HIV3_level_1",0.288350348804554
2018,6,3,1,50,1,"TB_HIV3_level_1",0.293189876282441
2019,6,3,1,50,1,"TB_HIV3_level_1",0.296747240692676
1990,6,3,2,50,1,"TB_HIV3_level_1",0.192962842490466
1991,6,3,2,50,1,"TB_HIV3_level_1",0.185198220798388
1992,6,3,2,50,1,"TB_HIV3_level_1",0.20358874257988
1993,6,3,2,50,1,"TB_HIV3_level_1",0.17390970240446
1994,6,3,2,50,1,"TB_HIV3_level_1",0.180934016558373
1995,6,3,2,50,1,"TB_HIV3_level_1",0.158102788840835
1996,6,3,2,50,1,"TB_HIV3_level_1",0.147649004068658
1997,6,3,2,50,1,"TB_HIV3_level_1",0.176842034440384
1998,6,3,2,50,1,"TB_HIV3_level_1",0.183296597012232
1999,6,3,2,50,1,"TB_HIV3_level_1",0.190184569062721
2000,6,3,2,50,1,"TB_HIV3_level_1",0.213581901100871
2001,6,3,2,50,1,"TB_HIV3_level_1",0.21113445650583
2002,6,3,2,50,1,"TB_HIV3_level_1",0.224322685840225
2003,6,3,2,50,1,"TB_HIV3_level_1",0.238554198547366
2004,6,3,2,50,1,"TB_HIV3_level_1",0.24266477059136
2005,6,3,2,50,1,"TB_HIV3_level_1",0.237385057171297
2006,6,3,2,50,1,"TB_HIV3_level_1",0.236689292750524
2007,6,3,2,50,1,"TB_HIV3_level_1",0.218197578233801
2008,6,3,2,50,1,"TB_HIV3_level_1",0.209996106263747
2009,6,3,2,50,1,"TB_HIV3_level_1",0.201652296132283
2010,6,3,2,50,1,"TB_HIV3_level_1",0.192127909253336
2011,6,3,2,50,1,"TB_HIV3_level_1",0.174733562840203
2012,6,3,2,50,1,"TB_HIV3_level_1",0.168757339856605
2013,6,3,2,50,1,"TB_HIV3_level_1",0.166385199197663
2014,6,3,2,50,1,"TB_HIV3_level_1",0.16791197311666
2015,6,3,2,50,1,"TB_HIV3_level_1",0.162998462663578
2016,6,3,2,50,1,"TB_HIV3_level_1",0.155227778854278
2017,6,3,2,50,1,"TB_HIV3_level_1",0.151575809079188
2018,6,3,2,50,1,"TB_HIV3_level_1",0.151629468207888
2019,6,3,2,50,1,"TB_HIV3_level_1",0.154129546516708
1990,6,2,1,30,2,"TB_HIV2_level_2",0.201981058773523
1991,6,2,1,30,2,"TB_HIV2_level_2",0.20532940335481
1992,6,2,1,30,2,"TB_HIV2_level_2",0.213051371849296
1993,6,2,1,30,2,"TB_HIV2_level_2",0.20400886716341
1994,6,2,1,30,2,"TB_HIV2_level_2",0.208376736000493
1995,6,2,1,30,2,"TB_HIV2_level_2",0.217216064692291
1996,6,2,1,30,2,"TB_HIV2_level_2",0.2190353064303
1997,6,2,1,30,2,"TB_HIV2_level_2",0.242350108960294
1998,6,2,1,30,2,"TB_HIV2_level_2",0.254760884583117
1999,6,2,1,30,2,"TB_HIV2_level_2",0.248146777172526
2000,6,2,1,30,2,"TB_HIV2_level_2",0.256382040671772
2001,6,2,1,30,2,"TB_HIV2_level_2",0.25219705384326
2002,6,2,1,30,2,"TB_HIV2_level_2",0.254775041648892
2003,6,2,1,30,2,"TB_HIV2_level_2",0.259276164243706
2004,6,2,1,30,2,"TB_HIV2_level_2",0.255614256128573
2005,6,2,1,30,2,"TB_HIV2_level_2",0.251841003876762
2006,6,2,1,30,2,"TB_HIV2_level_2",0.250289169996146
2007,6,2,1,30,2,"TB_HIV2_level_2",0.240107569316885
2008,6,2,1,30,2,"TB_HIV2_level_2",0.233112728557586
2009,6,2,1,30,2,"TB_HIV2_level_2",0.223842901626363
2010,6,2,1,30,2,"TB_HIV2_level_2",0.211216628691255
2011,6,2,1,30,2,"TB_HIV2_level_2",0.194593316797602
2012,6,2,1,30,2,"TB_HIV2_level_2",0.188297337588612
2013,6,2,1,30,2,"TB_HIV2_level_2",0.184512757500203
2014,6,2,1,30,2,"TB_HIV2_level_2",0.184166486801528
2015,6,2,1,30,2,"TB_HIV2_level_2",0.181737713452788
2016,6,2,1,30,2,"TB_HIV2_level_2",0.17315278972577
2017,6,2,1,30,2,"TB_HIV2_level_2",0.173010209282733
2018,6,2,1,30,2,"TB_HIV2_level_2",0.175913925769465
2019,6,2,1,30,2,"TB_HIV2_level_2",0.178048344415606
1990,6,2,2,30,2,"TB_HIV2_level_2",0.115777705494279
1991,6,2,2,30,2,"TB_HIV2_level_2",0.111118932479033
1992,6,2,2,30,2,"TB_HIV2_level_2",0.122153245547928
1993,6,2,2,30,2,"TB_HIV2_level_2",0.104345821442676
1994,6,2,2,30,2,"TB_HIV2_level_2",0.108560409935024
1995,6,2,2,30,2,"TB_HIV2_level_2",0.0948616733045008
1996,6,2,2,30,2,"TB_HIV2_level_2",0.088589402441195
1997,6,2,2,30,2,"TB_HIV2_level_2",0.106105220664231
1998,6,2,2,30,2,"TB_HIV2_level_2",0.109977958207339
1999,6,2,2,30,2,"TB_HIV2_level_2",0.114110741437633
2000,6,2,2,30,2,"TB_HIV2_level_2",0.128149140660523
2001,6,2,2,30,2,"TB_HIV2_level_2",0.126680673903498
2002,6,2,2,30,2,"TB_HIV2_level_2",0.134593611504135
2003,6,2,2,30,2,"TB_HIV2_level_2",0.14313251912842
2004,6,2,2,30,2,"TB_HIV2_level_2",0.145598862354816
2005,6,2,2,30,2,"TB_HIV2_level_2",0.142431034302779
2006,6,2,2,30,2,"TB_HIV2_level_2",0.142013575650314
2007,6,2,2,30,2,"TB_HIV2_level_2",0.130918546940281
2008,6,2,2,30,2,"TB_HIV2_level_2",0.125997663758248
2009,6,2,2,30,2,"TB_HIV2_level_2",0.12099137767937
2010,6,2,2,30,2,"TB_HIV2_level_2",0.115276745552002
2011,6,2,2,30,2,"TB_HIV2_level_2",0.104840137704122
2012,6,2,2,30,2,"TB_HIV2_level_2",0.101254403913963
2013,6,2,2,30,2,"TB_HIV2_level_2",0.0998311195185976
2014,6,2,2,30,2,"TB_HIV2_level_2",0.100747183869996
2015,6,2,2,30,2,"TB_HIV2_level_2",0.0977990775981467
2016,6,2,2,30,2,"TB_HIV2_level_2",0.0931366673125668
2017,6,2,2,30,2,"TB_HIV2_level_2",0.0909454854475127
2018,6,2,2,30,2,"TB_HIV2_level_2",0.0909776809247327
2019,6,2,2,30,2,"TB_HIV2_level_2",0.0924777279100248
1990,6,2,1,22,1,"TB_HIV2_level_1",0.148119443100584
1991,6,2,1,22,1,"TB_HIV2_level_1",0.150574895793527
1992,6,2,1,22,1,"TB_HIV2_level_1",0.156237672689484
1993,6,2,1,22,1,"TB_HIV2_level_1",0.149606502586501
1994,6,2,1,22,1,"TB_HIV2_level_1",0.152809606400361
1995,6,2,1,22,1,"TB_HIV2_level_1",0.159291780774347
1996,6,2,1,22,1,"TB_HIV2_level_1",0.16062589138222
1997,6,2,1,22,1,"TB_HIV2_level_1",0.177723413237549
1998,6,2,1,22,1,"TB_HIV2_level_1",0.186824648694286
1999,6,2,1,22,1,"TB_HIV2_level_1",0.181974303259852
2000,6,2,1,22,1,"TB_HIV2_level_1",0.188013496492633
2001,6,2,1,22,1,"TB_HIV2_level_1",0.184944506151724
2002,6,2,1,22,1,"TB_HIV2_level_1",0.186835030542521
2003,6,2,1,22,1,"TB_HIV2_level_1",0.190135853778717
2004,6,2,1,22,1,"TB_HIV2_level_1",0.187450454494287
2005,6,2,1,22,1,"TB_HIV2_level_1",0.184683402842959
2006,6,2,1,22,1,"TB_HIV2_level_1",0.183545391330507
2007,6,2,1,22,1,"TB_HIV2_level_1",0.176078884165716
2008,6,2,1,22,1,"TB_HIV2_level_1",0.170949334275563
2009,6,2,1,22,1,"TB_HIV2_level_1",0.164151461192666
2010,6,2,1,22,1,"TB_HIV2_level_1",0.154892194373587
2011,6,2,1,22,1,"TB_HIV2_level_1",0.142701765651575
2012,6,2,1,22,1,"TB_HIV2_level_1",0.138084714231649
2013,6,2,1,22,1,"TB_HIV2_level_1",0.135309355500149
2014,6,2,1,22,1,"TB_HIV2_level_1",0.135055423654454
2015,6,2,1,22,1,"TB_HIV2_level_1",0.133274323198711
2016,6,2,1,22,1,"TB_HIV2_level_1",0.126978712465565
2017,6,2,1,22,1,"TB_HIV2_level_1",0.126874153474004
2018,6,2,1,22,1,"TB_HIV2_level_1",0.129003545564274
2019,6,2,1,22,1,"TB_HIV2_level_1",0.130568785904777
1990,6,2,2,22,1,"TB_HIV2_level_1",0.0849036506958049
1991,6,2,2,22,1,"TB_HIV2_level_1",0.0814872171512909
1992,6,2,2,22,1,"TB_HIV2_level_1",0.0895790467351474
1993,6,2,2,22,1,"TB_HIV2_level_1",0.0765202690579626
1994,6,2,2,22,1,"TB_HIV2_level_1",0.079610967285684
1995,6,2,2,22,1,"TB_HIV2_level_1",0.0695652270899672
1996,6,2,2,22,1,"TB_HIV2_level_1",0.0649655617902096
1997,6,2,2,22,1,"TB_HIV2_level_1",0.0778104951537691
1998,6,2,2,22,1,"TB_HIV2_level_1",0.0806505026853821
1999,6,2,2,22,1,"TB_HIV2_level_1",0.0836812103875973
2000,6,2,2,22,1,"TB_HIV2_level_1",0.0939760364843834
2001,6,2,2,22,1,"TB_HIV2_level_1",0.092899160862565
2002,6,2,2,22,1,"TB_HIV2_level_1",0.0987019817696988
2003,6,2,2,22,1,"TB_HIV2_level_1",0.104963847360841
2004,6,2,2,22,1,"TB_HIV2_level_1",0.106772499060198
2005,6,2,2,22,1,"TB_HIV2_level_1",0.104449425155371
2006,6,2,2,22,1,"TB_HIV2_level_1",0.10414328881023
