"sim_id","2","3","total_diff"
11449,9903.04446579473,9664.38392667799,-238.66053911674
11480,10098.9493601503,9684.03892529183,-414.910434858451
11560,10693.4204711529,10447.0700150428,-246.35045611008
11599,9453.17065883795,9240.20248075042,-212.968178087534
11615,9805.22287990461,9622.96832804702,-182.25455185759
11670,9744.46982554104,9497.15831998916,-247.311505551877
11672,10055.6920023497,9803.27387674424,-252.418125605427
11691,10204.6620859435,9624.74158567418,-579.92050026928
11716,10124.1348104263,9952.0369789602,-172.097831466077
11810,11192.4454248308,10663.7413142175,-528.704110613293
11956,9681.35821834772,9566.327922455,-115.030295892722
11964,9849.41122854194,9555.18232395992,-294.228904582014
11986,9429.04247919046,9029.47800901774,-399.564470172716
12139,10797.4164466809,10425.3074033692,-372.109043311706
12569,9860.61805054948,9414.91610410466,-445.701946444815
12803,9279.60514829681,9125.34428319059,-154.260865106216
12825,10648.6652330284,10513.9529154578,-134.712317570571
12849,10436.2785244996,10176.6757236455,-259.602800854111
12981,10780.6693704128,10337.5409805164,-443.128389896408
13073,9120.90560587998,9026.03770268145,-94.8679031985303
13295,9324.89802673782,8967.77825931546,-357.119767422359
13492,10973.5811659882,10615.3765961558,-358.204569832371
13500,10881.6450994015,10367.5020754261,-514.143023975401
13611,11428.2852999695,10835.0437057339,-593.2415942356
13645,9699.10673527468,9499.45057371214,-199.656161562538
13702,9403.16047575975,8928.47048206881,-474.689993690936
13732,9717.8068494682,9652.43509875508,-65.3717507131223
13868,9083.89234368871,8879.44160306976,-204.450740618953
13953,10890.6875039152,10207.2247641237,-683.462739791554
13989,9960.65792443444,9454.59416628179,-506.06375815265
14017,9891.53794596533,9764.23299762955,-127.304948335775
14037,10143.7317443564,9965.89477220681,-177.836972149558
14082,10983.6834088816,10542.4198223802,-441.26358650142
14268,9724.33327024403,9468.03027403897,-256.302996205064
14300,10808.3071555583,10289.4753056009,-518.831849957402
14471,8862.249183917,8639.35653905263,-222.892644864365
14530,9602.77462277625,9033.13460277553,-569.640020000719
14566,9228.92248004485,9212.19428931325,-16.7281907316064
14634,10129.9809043845,9910.62816112541,-219.352743259076
14671,10885.4675471115,10190.3249203756,-695.142626735837
14677,10087.5142599627,9917.52304996053,-169.991210002165
14701,9770.30696453401,9347.32091742212,-422.986047111883
14831,9597.04365006459,9483.734386069,-113.30926399559
14918,10419.9740517092,10170.6168132392,-249.357238470051
15269,10563.3911710516,10311.5517368958,-251.839434155834
15433,10427.069154845,10064.2937212043,-362.775433640705
15463,9683.64020981006,9453.90626607746,-229.733943732601
15579,10041.5457482955,9928.4133565202,-113.132391775291
15684,8529.06972072144,8454.20933649401,-74.8603842274279
15798,9753.97883958096,9694.5578699546,-59.4209696263642
15828,10389.2744512796,10152.3290536036,-236.945397676045
16005,9942.51535106201,9546.26308147885,-396.252269583158
16034,9719.36545196476,9271.83395421662,-447.531497748145
16141,9808.81756014795,9280.90857785613,-527.908982291818
16204,10181.8752960079,9933.98541339165,-247.889882616268
16214,9791.98601139769,9312.20083010527,-479.785181292422
16304,10482.0022545688,9965.02050130254,-516.981753266276
16451,9641.37057513776,9590.34844535757,-51.0221297801872
16482,9255.22921689931,9218.23613428386,-36.9930826154523
16528,10173.8237007322,10002.0769143493,-171.746786382841
16818,10736.4956685076,10174.2163807505,-562.279287757094
16880,9625.86071488885,9547.64221157641,-78.2185033124351
16883,11469.1490880357,10891.6729805001,-577.47610753562
16950,10126.1685842751,9901.51712546573,-224.651458809331
17287,9798.65938644443,9446.83864547364,-351.820740970787
17379,10303.0110502013,9847.68819857252,-455.322851628816
17534,10652.3097508252,10419.2509935641,-233.058757261024
17701,9877.19740654733,9737.07297210914,-140.124434438192
17752,9830.88067975181,9441.20256059179,-389.67811916002
17891,10465.6114072176,10165.6635683359,-299.947838881739
18046,8297.93307938543,8108.42609770395,-189.506981681479
