"","X","sim_id","HIV_neg_female","HIV_neg_male","HIV_pos_female","HIV_pos_male","hiv_prev_mse_male","hiv_prev_mse_female","hiv_prev_mse","max_perc_diff_male","max_perc_diff_female","b1_contact","b2_contact","hiv2_mort","hiv3_mort","hiv4_mort","tb_hiv1_mort","tb_hiv2_mort","tb_hiv3_mort","tb_hiv4_mort","hiv_prev_mse_male_norm","hiv_prev_mse_female_norm","hiv_prev_mse_male_norm_rank","hiv_prev_mse_female_norm_rank","tb_mort_mse_male_neg_norm","tb_mort_mse_female_neg_norm","tb_mort_mse_male_pos_norm","tb_mort_mse_female_pos_norm","tb_mort_mse_overall_norm","tbmort_rank_total","tbmort_HIV_neg_male","tbmort_HIV_neg_female","tbmort_HIV_pos_male","tbmort_HIV_pos_female"
"510",3501,3501,2884.76513543034,8563.17659997716,76898.5186613966,10967.6845832508,108364604.637047,186527135.027578,294891739.664625,0.0316095385641268,0.0539496613875258,9,12,8,45,1.2,17,30,40,17,0.234534928284331,0.400139336246164,2859,3455,0.0138028555573112,0.0570228877574549,0.00183489588149004,0.105190450793232,0.0462727526653699,76,84,95,17,239
"511",3502,3502,2882.37922654156,8535.69781221465,73153.8756540959,11640.3087105245,108577446.283345,185248276.0391,293825722.322444,0.0316122577013557,0.0537100688296123,9,12,8,45,1.2,17,30,40,20,0.23527286813475,0.396129594572998,2872,3426,0.0134052710703303,0.0568639238242839,0.00451368041690893,0.0990882658824081,0.045134422868718,65,78,92,40,221
"512",3503,3503,3004.61395543983,8708.71286896346,33259.5204782712,25660.3775660232,115471435.636339,173386663.782907,288858099.419246,0.0326002680529165,0.0525731672965031,9,12,8,45,1.2,17,30,60,17,0.259174907798604,0.358938628717442,3078,3205,0.0159085875620167,0.0650079537020161,0.0603498333480326,0.0340773338105529,0.0445114584003822,58,97,111,492,79
"513",3504,3504,3002.55899196819,8684.82546973183,31047.4333327393,27189.4109698602,115685683.286334,172218016.030602,287903699.316936,0.0326026455626342,0.0523448037338215,9,12,8,45,1.2,17,30,60,20,0.25991772238184,0.355274443974724,3082,3195,0.0155629660793336,0.0648710393891893,0.0664393428827847,0.0304725670077961,0.0451603740608788,67,93,109,524,71
"514",3505,3505,4673.75280434376,13677.6108624758,119266.879522377,12228.6610959093,100871998.442372,197963992.259198,298835990.70157,0.0305971156940785,0.054808843762734,9,12,8,45,1.5,14,22,40,17,0.20855743379154,0.435998522806069,2316,3872,0.0878024708251723,0.176216255778511,0.00685684535470827,0.174232966151349,0.107130688772554,326,314,328,61,397
"515",3506,3506,4673.57864096122,13670.1957113207,114085.821885663,12224.0583338552,101074114.889219,196591491.350314,297665606.239533,0.0305998161716651,0.0545584731725886,9,12,8,45,1.5,14,22,40,20,0.209258188475352,0.431695175728408,2338,3819,0.0876951826473471,0.176204651942156,0.00683851445144331,0.165790032693813,0.104568531061478,318,312,326,60,378
"516",3507,3507,4858.1114863346,14374.7262772694,57265.9804761311,15701.5388582547,108185086.36131,183347645.377146,291532731.738456,0.0316583088008739,0.0533288181775151,9,12,8,45,1.5,14,22,60,17,0.233912523356306,0.3901703464939,2851,3376,0.0978888791832337,0.188499365725131,0.0206878854050832,0.0731977139577755,0.0854433287905305,227,340,353,248,162
"517",3508,3508,4858.10795522824,14369.3545332908,53844.4074256947,16728.0539613206,108391653.826792,182095048.368317,290486702.195109,0.0316607037816937,0.0530901582144422,9,12,8,45,1.5,14,22,60,20,0.234628710095278,0.386242946779596,2860,3349,0.0978111566107395,0.188499130461095,0.0247760717664801,0.0676219964864575,0.0849814778902481,222,338,352,286,152
"518",3509,3509,4868.37078467577,14402.9446585065,72179.0222747696,11435.2532516984,109532922.528555,182989904.357799,292522826.886354,0.0316669493602812,0.0531675966660724,9,12,8,45,1.5,14,30,40,17,0.238585584465094,0.389048683287556,2912,3364,0.0982971646842007,0.189182903316846,0.00369702908114282,0.0974996670306637,0.0878550224337513,235,344,356,32,219
"519",3510,3510,4868.41695920333,14397.6962808218,68517.5542126485,12190.7958454301,109757527.940499,181712260.839991,291469788.78049,0.0316697276980054,0.0529258728594271,9,12,8,45,1.5,14,30,40,20,0.23936431027828,0.385042752607976,2919,3339,0.0982212270712577,0.189185979748032,0.0067060436761771,0.0915330221150926,0.0869531611012389,229,342,357,59,204
