"sim_id","total_in_confidence","beta_1","beta_2","phi_1.","phi_2.","phi_3.","phi_4.","varepsilon_1","varepsilon_2","iota_1.","iota_2.","xi_","zeta_","omega_","pi_34.","pi_36.","pi_46.","theta_1.","theta_2.","theta_3.","theta_4.","pi_56.","pi_67.","pi_86.","upsilon_1.","upsilon_2.","upsilon_3.","upsilon_4.","pi_76.","eta.baselinefactor_1","eta.baselinefactor_2","eta_23.1","eta_23.2","mu.baselinefactor_1","mu.baselinefactor_2","risk.other_1.","risk.other_2.","risk.other_3.","risk.other_4.","gamma_1.","gamma_2.","alpha.out_","risk.TB_1.","risk.TB_2.","risk.TB_3.","risk.TB_4."
39035,20,10.4577243351204,9.97675889069559,1,0.893615509129603,0.605773335464854,0.834606634443329,0.0322440507275993,0.0433693422801809,0.627932581219895,1,3.56004527380172,0.476659392569908,2,0.5,0.0273996746980582,0.000782075981300987,1,11.3621381067969,17.7060739152697,3.05682125326871,0.00322035190910399,2,0.00271181110407982,0.241821082815993,0.324869536908601,0.314098173932772,0.350962198022789,0.0117514527095667,0.973476906510689,0.912673153293985,0.138109399917798,0.0942340448085319,1.00273951451646,0.937935195254999,1,6.83844953991162,23.7636923416093,1.19514398049133,1,0,0.0222222222222222,19.3456369909204,25.6140666096794,57.6515363917507,17.2989466664174
39100,20,13.6099832645046,13.2364488600353,1,1.07996533036126,0.742645283715496,0.906466265967206,0.0406479164433617,0.0359623942470847,0.836109713931923,1,4.77309805409735,0.321868846754516,2,0.5,0.025204289005582,0.00103595482716042,1,8.68045888314283,13.0636459306101,3.03611531311313,0.00405072056324461,2,0.00406416447625428,0.247460991288882,0.318980626298101,0.324232892577626,0.266153509128459,0.0100744291240559,1.24743008730664,1.08624709445096,0.148244488204497,0.0828637031968666,0.977288392055189,1.18195401133001,1,7.46510913450181,28.2852916678887,1.34938573444886,1,0,0.0222222222222222,18.1151074359071,24.8971745340305,44.7132898609671,21.5482726010544
39114,20,13.517024597354,8.88709634523329,1,0.886991979428134,0.553177669934883,0.822150155049006,0.0296106895940427,0.0459193791775156,0.64615081111036,1,4.31764350822275,0.470917026036971,2,0.5,0.0250783783278991,0.000760046611653778,1,11.5745797852564,17.7469597268184,2.49767168007767,0.00362202995629551,2,0.00320756434063655,0.2933273873642,0.313234121463622,0.266849581735447,0.320244247246112,0.00863355584549444,1.12017677084873,1.17686701147266,0.146417756403407,0.0789110673957437,1.1334111956575,1.10702400631387,1,6.91884584467578,26.0119391052818,1.13368249834579,1,0,0.0222222222222222,18.2789299028729,30.0648849486101,38.9408991057388,22.6677644475004
39165,20,13.3837016850716,13.2512143227913,1,0.85969976155547,0.515193173341343,0.982062003289785,0.0399365019213018,0.0294512346361891,0.702693712564178,1,3.59754113452887,0.311038950967242,2,0.5,0.027262934570027,0.00106640059920373,1,10.3611634287874,18.813390850669,2.66185080666765,0.00408368227380751,2,0.00273310944181594,0.190123885727771,0.400102956488682,0.389014721771228,0.402778044811942,0.0091035756186812,0.969709600974367,1.0845863432509,0.104840939594351,0.102899208360967,0.934408554687722,0.908120570453791,1,9.25331774475704,27.5345027834883,1.0982174604299,1,0,0.0222222222222222,17.2748209373765,25.3812841219092,52.1072257651883,18.6645043619019
39209,20,8.55799862160754,10.3471019710656,1,0.700899078568267,0.524512377224041,0.889940396777688,0.038719939279707,0.042929499646213,0.81711474008108,1,3.70103878962969,0.35504281059044,2,0.5,0.0309794060400837,0.00121474382030414,1,11.6447056630617,14.1957917095045,3.52503282659864,0.00307377276607819,2,0.00324497858730259,0.250761672746569,0.301176848529015,0.349517976310669,0.362465401421081,0.0111913726470812,1.09813333756643,0.952362159491552,0.143373416534333,0.101606634472714,1.10713035423624,1.20846079282101,1,7.55379219166634,25.6812228567247,1.55621936165576,1,0,0.0222222222222222,17.1205368303158,21.9769210061115,56.57693510434,21.788086599299
39259,20,9.21463698435229,12.9395454349564,1,0.923019648277395,0.596819617371354,0.675533608086366,0.0382355586778359,0.0293599581339024,0.810780966398401,1,4.24687846745744,0.410513210836329,2,0.5,0.0269775831213375,0.00104150670909266,1,8.14183074669577,17.3828523672455,2.30941335753165,0.0040199730993679,2,0.00313354770059822,0.196912852193112,0.322955826944419,0.305011190977487,0.255181326664547,0.00907865279212965,1.04358236128016,1.14415175593596,0.151752453667922,0.0917649354832072,1.09351386105778,0.985778379138018,1,6.0142616599485,29.6290375238806,1.35175372321135,1,0,0.0222222222222222,13.3233886363416,26.0582780041034,43.2657919890361,14.1356784470143
39326,20,13.1590704209971,11.4849140712936,1,1.07694363422537,0.63792580798004,0.919248067993273,0.0318139382834536,0.0412625291958988,0.541932450086063,1,4.20618368176247,0.337113694339795,2,0.5,0.0245367047058186,0.000796013171776059,1,10.5118914488746,19.8834674989238,2.36702624578594,0.00260524754034106,2,0.00299972278179024,0.193391644305592,0.271315747965718,0.360333655742257,0.338542237912839,0.00968880293708444,1.11102272131108,0.855422555781999,0.149416565925625,0.121824844742342,0.913761129075782,1.13162591843358,1,6.96400962435992,35.2994867534353,1.37558031888193,1,0,0.0222222222222222,14.4381403049299,24.7359407099268,57.1735283547179,21.3801945602287
39369,20,10.4501930954219,11.2574517017276,1,0.883147470472864,0.681779878584327,0.818310270927377,0.0380680769537021,0.0437411017966534,0.746095166597885,1,3.95515794441929,0.370115756468008,2,0.5,0.0282948672063216,0.000792517610938116,1,11.6051902815047,15.1466954361132,2.37643693876523,0.0035945941854603,2,0.00309729368387576,0.304295335636764,0.290065301935489,0.305755007585716,0.289940988459027,0.0100124758705026,1.17639402885253,1.22365709201964,0.112913036514809,0.106484423373047,1.14121123419769,1.18373230192505,1,6.67551958397228,34.1511891113475,1.24665144913967,1,0,0.0222222222222222,19.0072204120768,32.2611823443621,44.8497014447516,16.2948030268246
39372,20,9.80562956767864,12.8141308900397,1,0.775533597665214,0.467361489591576,0.986311729955505,0.035404154049082,0.0304038759471256,0.760637828995149,1,3.79276825063359,0.424664150906887,2,0.5,0.026667776192554,0.00113612119515928,1,10.322835642486,14.0644937733543,3.36279904851961,0.00276989830011068,2,0.00294462983857862,0.19614833050732,0.375440002823094,0.411167453003117,0.356123677488848,0.0119649197233667,1.16995447238523,0.890237129234194,0.109838960542461,0.1100943680247,1.10585765839335,1.18358769736359,1,9.63446996178425,30.2758623613053,1.0162177764692,1,0,0.0222222222222222,13.4091271912461,24.8812691285109,60.4121908437328,20.4493686979562
39490,20,11.7927835609539,10.9873327725658,1,1.07068264811258,0.459102189322386,1.08315138817926,0.0374062183940413,0.0366098517793208,0.770152276506042,1,3.76530792958584,0.461011211690624,2,0.5,0.0218896502442703,0.00106367563631098,1,11.6071227700971,17.3700846449265,2.27546617547087,0.00303403777416692,2,0.00285683740394796,0.219380156939338,0.389559612407041,0.390096588892464,0.289113518176397,0.00774782258648493,1.14012307109391,1.12204818333822,0.152375674767319,0.0823539349771783,1.15392300969368,1.18878770770109,1,6.3819691214476,23.4620710464692,1.03673307167608,1,0,0.0222222222222222,16.0214576777983,29.2492020995542,48.8698360279134,22.6516443858409
