"F15Regions","year","total_count","total_pop","rate","rate_per_100k"
"BUKEDI",2011,2383.80869313302,624851.139517623,0.00381500255400557,381.500255400557
"BUKEDI",2012,2418.17861845393,643700.443246803,0.00375668316500874,375.668316500874
"BUKEDI",2013,2387.75174722423,663379.77695049,0.00359937373762064,359.937373762064
"BUKEDI",2014,2171.42073218757,684051.339842942,0.00317435345230977,317.435345230977
"BUKEDI",2015,1938.13079532588,705826.970378822,0.00274590073298796,274.590073298796
"BUKEDI",2016,1866.87250023426,728632.520102814,0.00256215918000865,256.215918000865
"BUKEDI",2017,1794.08395447818,752479.572109934,0.00238422944751526,238.422944751526
"BUKEDI",2018,1731.51586533606,777385.954172594,0.00222735676666423,222.735676666423
"BUNYORO",2000,3916.29845709941,464541.420031575,0.00843046128552587,843.046128552587
"BUNYORO",2001,3927.24645494259,480661.730564012,0.00817049955346836,817.049955346836
"BUNYORO",2002,3933.24003869639,497520.310644361,0.00790568737505867,790.568737505867
"BUNYORO",2003,3937.91238738453,514665.093289986,0.00765140756333698,765.140756333698
"BUNYORO",2004,3922.81153648775,532028.809513684,0.00737330660734992,737.330660734992
"BUNYORO",2005,3897.70341878888,549659.52006195,0.0070911232800072,709.11232800072
"BUNYORO",2006,3946.88441345843,567525.118953824,0.00695455457678087,695.455457678087
"BUNYORO",2007,4066.04667097211,585446.070571525,0.00694521131041626,694.521131041626
"BUNYORO",2008,4121.67102477521,603413.80467462,0.00683058788652963,683.058788652963
"BUNYORO",2009,4119.47131717174,621640.610014615,0.00662677317216275,662.677317216275
"BUNYORO",2010,4114.57399107173,640299.580582225,0.00642601387826982,642.601387826982
"BUNYORO",2011,4070.32443975005,659506.305389005,0.00617177486627546,617.177486627546
"BUNYORO",2012,3934.76986806155,679442.460994588,0.00579117452021134,579.117452021134
"BUNYORO",2013,3655.05532440533,700288.315101825,0.00521935786387335,521.935786387335
"BUNYORO",2014,3272.99636149755,722202.094090402,0.00453196742058719,453.19674205872
"BUNYORO",2015,3057.86481263635,745292.246475697,0.00410290705035003,410.290705035003
"BUNYORO",2016,2989.33916758542,769490.197333258,0.00388483073331572,388.483073331572
"BUNYORO",2017,2773.59153188317,794781.787819566,0.00348975224947258,348.975224947258
"BUNYORO",2018,2551.69713538443,821192.664186539,0.00310730629566949,310.730629566949
"BUSOGA",2000,6109.92474718212,920437.05814254,0.00663806904897122,663.806904897122
"BUSOGA",2001,5990.19425287505,952479.915246238,0.00628905046394227,628.905046394227
"BUSOGA",2002,5872.62008659455,986087.218168316,0.00595547734357931,595.547734357931
"BUSOGA",2003,5762.42693320503,1020317.19491136,0.00564768187965863,564.768187965863
"BUSOGA",2004,5637.65757312325,1054996.38570759,0.00534376956120285,534.376956120285
"BUSOGA",2005,5516.53251516484,1090187.19205695,0.0050601699922344,506.01699922344
"BUSOGA",2006,5502.5559037936,1125802.80000765,0.00488767295991468,488.767295991468
"BUSOGA",2007,5558.92336354431,1161461.51824879,0.00478614510786881,478.614510786881
"BUSOGA",2008,5575.72197811301,1197153.40088103,0.00465748330498798,465.748330498798
"BUSOGA",2009,5617.17684245433,1233324.89278431,0.00455449887966925,455.449887966925
"BUSOGA",2010,5669.52158920728,1270342.61642228,0.00446298621798156,446.298621798156
"BUSOGA",2011,5726.77791905826,1308442.64061524,0.00437678942988703,437.678942988703
"BUSOGA",2012,5695.69542334275,1347984.86270232,0.00422534078900896,422.534078900896
"BUSOGA",2013,5539.35636667602,1389360.17754937,0.00398698368946102,398.698368946102
"BUSOGA",2014,5112.63030743819,1432863.61178235,0.00356812069578524,356.812069578524
"BUSOGA",2015,4684.64318215898,1478676.91846556,0.00316813167478145,316.813167478145
"BUSOGA",2016,4406.5410820607,1526671.62202007,0.00288637125266666,288.637125266666
"BUSOGA",2017,4090.90792490737,1576841.15040368,0.00259436908014487,259.436908014487
"BUSOGA",2018,3885.04627137771,1629221.63583417,0.00238460267524532,238.460267524532
"CENTRAL I",2000,8376.95859998326,745652.884031794,0.0112343944204822,1123.43944204822
"CENTRAL I",2001,8444.69484811744,771022.924449248,0.0109525859482707,1095.25859482707
"CENTRAL I",2002,8508.62155601589,797768.375064594,0.0106655287699603,1066.55287699603
