"","sim_id","HIV_neg_female","HIV_neg_male","HIV_pos_female","HIV_pos_male","hiv_prev_mse_male","hiv_prev_mse_female","hiv_prev_mse","max_perc_diff_male","max_perc_diff_female","b1_contact","b2_contact","hiv2_mort","hiv3_mort","hiv4_mort","tb_hiv1_mort","tb_hiv2_mort","tb_hiv3_mort","tb_hiv4_mort"
"15",15,11807.2353349634,55523.4076458557,460611.075367841,163002.242828222,129675370.073549,128596690.27881,258272060.352358,0.0348332523740376,0.0459854531456579,6,6,8,35,1.2,17,30,60,17
"16",16,11811.451359429,55559.1474777447,453268.215421568,160726.198465861,129824908.511513,127906661.008937,257731569.52045,0.0348343764112991,0.0458240707309271,6,6,8,35,1.2,17,30,60,20
"17",17,14745.8568083664,68585.7814498861,592876.24450206,224276.904912708,121993624.908741,134527896.130276,256521521.039016,0.033862075753279,0.0462229217603709,6,6,8,35,1.5,14,22,40,17
"18",18,14750.9002711551,68625.6378574446,583722.046681597,221143.889453423,122158883.347146,133741527.480385,255900410.827532,0.0338634014183029,0.0460448427174397,6,6,8,35,1.5,14,22,40,20
"19",19,15013.6251299678,70069.8873913726,507479.565372079,183562.548662303,126458248.504891,129409497.894275,255867746.399167,0.0343917793292865,0.0455475815019131,6,6,8,35,1.5,14,22,60,17
"20",20,15018.4704195405,70108.2033594095,499324.882409247,180980.114132406,126616305.9785,128677872.911706,255294178.890206,0.0343929742796578,0.0453773726785398,6,6,8,35,1.5,14,22,60,20
"21",21,15038.1499449457,70211.6611770263,522610.070411588,190654.019589518,127161573.80518,127875796.494648,255037370.299828,0.0343927451842955,0.0453130818966464,6,6,8,35,1.5,14,30,40,17
"22",22,15043.2554396623,70251.6817488965,514337.636059331,187901.327088769,127328742.683407,127139333.016647,254468075.700054,0.0343940269236361,0.0451418093816542,6,6,8,35,1.5,14,30,40,20
"23",23,15302.8224510277,71677.7266476993,446788.861251696,156076.787203257,131510310.83974,123255243.452836,254765554.292575,0.0348994664890384,0.0446806991555552,6,6,8,35,1.5,14,30,60,17
"24",24,15307.7176896097,71716.1468955134,439415.777858219,153812.336428378,131669656.619432,122569081.911566,254238738.530997,0.0349006233192352,0.0445168806485109,6,6,8,35,1.5,14,30,60,20
"25",25,11250.2590119987,52429.9379622595,606059.958067837,231664.313775342,121528053.774052,134808888.703638,256336942.47769,0.033821206458166,0.0462799841334876,6,6,8,35,1.5,17,22,40,17
"26",26,11254.4254884243,52466.0250918386,596983.437799847,228537.104428901,121689039.139769,134037032.558463,255726071.698233,0.033822497864795,0.0461051706121452,6,6,8,35,1.5,17,22,40,20
"27",27,11516.6128068527,53909.2055713348,521375.211086966,190940.273523174,125950737.000997,129649675.822759,255600412.823756,0.0343417467986871,0.0456148449627267,6,6,8,35,1.5,17,22,60,17
"28",28,11520.6835904244,53944.3036377335,513267.000574524,188348.462450164,126105026.038127,128931280.127358,255036306.165485,0.034342907540739,0.0454475618397011,6,6,8,35,1.5,17,22,60,20
"29",29,11538.8277842069,54041.7896564493,536431.771431412,198089.24951247,126565626.362999,128289943.399706,254855569.762704,0.0343402223921946,0.0453904578081749,6,6,8,35,1.5,17,30,40,17
"30",30,11543.1520887977,54078.6071110815,528212.199393983,195332.414668681,126728343.973816,127566628.853042,254294972.826858,0.0343414711285912,0.0452223246970651,6,6,8,35,1.5,17,30,40,20
"31",31,11803.7728613594,55511.9890282113,461050.317745485,163331.209884571,130876497.656063,123618231.731392,254494729.387454,0.0348382666990054,0.0447673370468996,6,6,8,35,1.5,17,30,60,17
"32",32,11807.9801225705,55547.7004859759,453702.331463733,161049.585986662,131031921.078633,122944066.075981,253975987.154614,0.0348393905552023,0.0446063290770711,6,6,8,35,1.5,17,30,60,20
"33",33,14675.285594802,68983.1581839608,641711.806301343,257023.669867211,202706700.870771,88283974.5169838,290990675.387755,0.0424183522336105,0.0382898963294244,6,6,8,45,1.2,14,22,40,17
"34",34,14680.1448331796,69021.583542215,632674.022930677,253828.410433206,202940592.487391,87727919.1938121,290668511.681203,0.0424194388409035,0.0381225908729934,6,6,8,45,1.2,14,22,40,20
"35",35,14925.7999559834,70302.8461951114,566244.531007107,219756.377105875,205107124.061611,88489908.081606,293597032.143217,0.0426607510316473,0.0381778096516653,6,6,8,45,1.2,14,22,60,17
"36",36,14930.5463990066,70340.2691014583,557999.944006564,217019.141492265,205328352.958612,87957413.3548511,293285766.313463,0.0426619136823983,0.0380163910656488,6,6,8,45,1.2,14,22,60,20
