"sim_id","HIV_neg_female","HIV_neg_male","HIV_pos_female","HIV_pos_male","hiv_prev_mse_male","hiv_prev_mse_female","b1_contact","b2_contact","hiv2_mort","hiv3_mort","hiv4_mort","tb_hiv1_mort","tb_hiv2_mort","tb_hiv3_mort","tb_hiv4_mort","hiv_prev_mse_male_norm","hiv_prev_mse_female_norm","hiv_prev_mse_male_norm_rank","hiv_prev_mse_female_norm_rank"
3659,1714.87000035605,5514.33312180508,30621.6368472675,32320.7543060209,174505745.353238,110055243.346967,10,6,12,35,1.2,17,22,60,17,0.44658808285638,0.244731965082691,3514,2883
3660,1709.97939242811,5466.81866865853,28584.9411017225,33990.8385329252,174936346.778353,108879949.931683,10,6,12,35,1.2,17,22,60,20,0.447998578301493,0.240627826980921,3533,2845
3661,1712.10046364656,5547.95962192801,42318.6153203201,23889.515520374,173330956.82042,110904425.255538,10,6,12,35,1.2,17,30,40,17,0.442739898020321,0.247697318058362,3473,2912
3662,1706.94237505448,5497.78162032812,39832.8794282679,25213.0613183424,173790757.015836,109681986.839375,10,6,12,35,1.2,17,30,40,20,0.44424603813847,0.243428549072168,3489,2873
3663,1804.34943264152,5382.58028099165,20230.2376196099,48206.0903032381,185537481.56643,99125530.0294713,10,6,12,35,1.2,17,30,60,17,0.482724084209026,0.206565280674863,3903,2457
3664,1800.04010881163,5340.93753015325,19525.8318621428,50289.9276517514,185972412.821799,98057047.3565424,10,6,12,35,1.2,17,30,60,20,0.484148762621255,0.202834126911879,3918,2423
3665,2854.16302594698,7661.49279954176,64055.5128143605,18417.4726115478,163465240.728726,119651131.044385,10,6,12,35,1.5,14,22,40,17,0.410423359340945,0.278240915109223,3213,3184
3666,2852.32197894985,7639.24850844943,60131.8615353922,19302.6516570434,163936021.431606,118302256.569397,10,6,12,35,1.5,14,22,40,20,0.411965467653483,0.273530629953781,3225,3145
3667,3049.46578451899,8270.15916997106,27039.2438554195,37167.6522039723,176237886.115621,106316738.093185,10,6,12,35,1.5,14,22,60,17,0.452261953199436,0.231677061808175,3584,2744
3668,3048.10424183211,8253.1781982483,25259.3115325621,39024.9710628554,176686717.289728,105140123.998095,10,6,12,35,1.5,14,22,60,20,0.453732162747705,0.227568311877359,3599,2699
