"sim_calib_id","b1_calib_id","b2_calib_id","m1_calib_id","m2_calib_id","m3_calib_id","m4_calib_id"
132,8,6.4,"1-M","2-H","3-M","4-H"
133,8,6.4,"1-M","2-H","3-H","4-L"
134,8,6.4,"1-M","2-H","3-H","4-M"
135,8,6.4,"1-M","2-H","3-H","4-H"
136,8,6.4,"1-H","2-L","3-L","4-L"
137,8,6.4,"1-H","2-L","3-L","4-M"
138,8,6.4,"1-H","2-L","3-L","4-H"
139,8,6.4,"1-H","2-L","3-M","4-L"
140,8,6.4,"1-H","2-L","3-M","4-M"
141,8,6.4,"1-H","2-L","3-M","4-H"
142,8,6.4,"1-H","2-L","3-H","4-L"
143,8,6.4,"1-H","2-L","3-H","4-M"
144,8,6.4,"1-H","2-L","3-H","4-H"
145,8,6.4,"1-H","2-M","3-L","4-L"
146,8,6.4,"1-H","2-M","3-L","4-M"
147,8,6.4,"1-H","2-M","3-L","4-H"
148,8,6.4,"1-H","2-M","3-M","4-L"
149,8,6.4,"1-H","2-M","3-M","4-M"
150,8,6.4,"1-H","2-M","3-M","4-H"
151,8,6.4,"1-H","2-M","3-H","4-L"
152,8,6.4,"1-H","2-M","3-H","4-M"
153,8,6.4,"1-H","2-M","3-H","4-H"
154,8,6.4,"1-H","2-H","3-L","4-L"
155,8,6.4,"1-H","2-H","3-L","4-M"
156,8,6.4,"1-H","2-H","3-L","4-H"
157,8,6.4,"1-H","2-H","3-M","4-L"
158,8,6.4,"1-H","2-H","3-M","4-M"
159,8,6.4,"1-H","2-H","3-M","4-H"
160,8,6.4,"1-H","2-H","3-H","4-L"
161,8,6.4,"1-H","2-H","3-H","4-M"
162,8,6.4,"1-H","2-H","3-H","4-H"
163,8,6.8,"1-L","2-L","3-L","4-L"
164,8,6.8,"1-L","2-L","3-L","4-M"
165,8,6.8,"1-L","2-L","3-L","4-H"
166,8,6.8,"1-L","2-L","3-M","4-L"
167,8,6.8,"1-L","2-L","3-M","4-M"
168,8,6.8,"1-L","2-L","3-M","4-H"
169,8,6.8,"1-L","2-L","3-H","4-L"
170,8,6.8,"1-L","2-L","3-H","4-M"
171,8,6.8,"1-L","2-L","3-H","4-H"
172,8,6.8,"1-L","2-M","3-L","4-L"
173,8,6.8,"1-L","2-M","3-L","4-M"
174,8,6.8,"1-L","2-M","3-L","4-H"
175,8,6.8,"1-L","2-M","3-M","4-L"
176,8,6.8,"1-L","2-M","3-M","4-M"
177,8,6.8,"1-L","2-M","3-M","4-H"
178,8,6.8,"1-L","2-M","3-H","4-L"
179,8,6.8,"1-L","2-M","3-H","4-M"
180,8,6.8,"1-L","2-M","3-H","4-H"
181,8,6.8,"1-L","2-H","3-L","4-L"
182,8,6.8,"1-L","2-H","3-L","4-M"
183,8,6.8,"1-L","2-H","3-L","4-H"
184,8,6.8,"1-L","2-H","3-M","4-L"
185,8,6.8,"1-L","2-H","3-M","4-M"
186,8,6.8,"1-L","2-H","3-M","4-H"
187,8,6.8,"1-L","2-H","3-H","4-L"
188,8,6.8,"1-L","2-H","3-H","4-M"
189,8,6.8,"1-L","2-H","3-H","4-H"
190,8,6.8,"1-M","2-L","3-L","4-L"
191,8,6.8,"1-M","2-L","3-L","4-M"
192,8,6.8,"1-M","2-L","3-L","4-H"
193,8,6.8,"1-M","2-L","3-M","4-L"
194,8,6.8,"1-M","2-L","3-M","4-M"
195,8,6.8,"1-M","2-L","3-M","4-H"
196,8,6.8,"1-M","2-L","3-H","4-L"
197,8,6.8,"1-M","2-L","3-H","4-M"
198,8,6.8,"1-M","2-L","3-H","4-H"
199,8,6.8,"1-M","2-M","3-L","4-L"
200,8,6.8,"1-M","2-M","3-L","4-M"
201,8,6.8,"1-M","2-M","3-L","4-H"
202,8,6.8,"1-M","2-M","3-M","4-L"
203,8,6.8,"1-M","2-M","3-M","4-M"
204,8,6.8,"1-M","2-M","3-M","4-H"
205,8,6.8,"1-M","2-M","3-H","4-L"
206,8,6.8,"1-M","2-M","3-H","4-M"
207,8,6.8,"1-M","2-M","3-H","4-H"
208,8,6.8,"1-M","2-H","3-L","4-L"
209,8,6.8,"1-M","2-H","3-L","4-M"
210,8,6.8,"1-M","2-H","3-L","4-H"
211,8,6.8,"1-M","2-H","3-M","4-L"
212,8,6.8,"1-M","2-H","3-M","4-M"
213,8,6.8,"1-M","2-H","3-M","4-H"
214,8,6.8,"1-M","2-H","3-H","4-L"
215,8,6.8,"1-M","2-H","3-H","4-M"
216,8,6.8,"1-M","2-H","3-H","4-H"
217,8,6.8,"1-H","2-L","3-L","4-L"
218,8,6.8,"1-H","2-L","3-L","4-M"
219,8,6.8,"1-H","2-L","3-L","4-H"
220,8,6.8,"1-H","2-L","3-M","4-L"
221,8,6.8,"1-H","2-L","3-M","4-M"
222,8,6.8,"1-H","2-L","3-M","4-H"
223,8,6.8,"1-H","2-L","3-H","4-L"
224,8,6.8,"1-H","2-L","3-H","4-M"
225,8,6.8,"1-H","2-L","3-H","4-H"
226,8,6.8,"1-H","2-M","3-L","4-L"
227,8,6.8,"1-H","2-M","3-L","4-M"
228,8,6.8,"1-H","2-M","3-L","4-H"
229,8,6.8,"1-H","2-M","3-M","4-L"
230,8,6.8,"1-H","2-M","3-M","4-M"
231,8,6.8,"1-H","2-M","3-M","4-H"
232,8,6.8,"1-H","2-M","3-H","4-L"
233,8,6.8,"1-H","2-M","3-H","4-M"
234,8,6.8,"1-H","2-M","3-H","4-H"
235,8,6.8,"1-H","2-H","3-L","4-L"
236,8,6.8,"1-H","2-H","3-L","4-M"
237,8,6.8,"1-H","2-H","3-L","4-H"
238,8,6.8,"1-H","2-H","3-M","4-L"
239,8,6.8,"1-H","2-H","3-M","4-M"
240,8,6.8,"1-H","2-H","3-M","4-H"
241,8,6.8,"1-H","2-H","3-H","4-L"
242,8,6.8,"1-H","2-H","3-H","4-M"
243,8,6.8,"1-H","2-H","3-H","4-H"
244,8,7.2,"1-L","2-L","3-L","4-L"
245,8,7.2,"1-L","2-L","3-L","4-M"
246,8,7.2,"1-L","2-L","3-L","4-H"
247,8,7.2,"1-L","2-L","3-M","4-L"
248,8,7.2,"1-L","2-L","3-M","4-M"
249,8,7.2,"1-L","2-L","3-M","4-H"
250,8,7.2,"1-L","2-L","3-H","4-L"
251,8,7.2,"1-L","2-L","3-H","4-M"
252,8,7.2,"1-L","2-L","3-H","4-H"
253,8,7.2,"1-L","2-M","3-L","4-L"
254,8,7.2,"1-L","2-M","3-L","4-M"
255,8,7.2,"1-L","2-M","3-L","4-H"
256,8,7.2,"1-L","2-M","3-M","4-L"
257,8,7.2,"1-L","2-M","3-M","4-M"
258,8,7.2,"1-L","2-M","3-M","4-H"
259,8,7.2,"1-L","2-M","3-H","4-L"
260,8,7.2,"1-L","2-M","3-H","4-M"
261,8,7.2,"1-L","2-M","3-H","4-H"
262,8,7.2,"1-L","2-H","3-L","4-L"
263,8,7.2,"1-L","2-H","3-L","4-M"
264,8,7.2,"1-L","2-H","3-L","4-H"
265,8,7.2,"1-L","2-H","3-M","4-L"
266,8,7.2,"1-L","2-H","3-M","4-M"
267,8,7.2,"1-L","2-H","3-M","4-H"
268,8,7.2,"1-L","2-H","3-H","4-L"
269,8,7.2,"1-L","2-H","3-H","4-M"
270,8,7.2,"1-L","2-H","3-H","4-H"
271,8,7.2,"1-M","2-L","3-L","4-L"
272,8,7.2,"1-M","2-L","3-L","4-M"
273,8,7.2,"1-M","2-L","3-L","4-H"
274,8,7.2,"1-M","2-L","3-M","4-L"
275,8,7.2,"1-M","2-L","3-M","4-M"
276,8,7.2,"1-M","2-L","3-M","4-H"
277,8,7.2,"1-M","2-L","3-H","4-L"
278,8,7.2,"1-M","2-L","3-H","4-M"
279,8,7.2,"1-M","2-L","3-H","4-H"
280,8,7.2,"1-M","2-M","3-L","4-L"
281,8,7.2,"1-M","2-M","3-L","4-M"
282,8,7.2,"1-M","2-M","3-L","4-H"
283,8,7.2,"1-M","2-M","3-M","4-L"
284,8,7.2,"1-M","2-M","3-M","4-M"
285,8,7.2,"1-M","2-M","3-M","4-H"
286,8,7.2,"1-M","2-M","3-H","4-L"
287,8,7.2,"1-M","2-M","3-H","4-M"
288,8,7.2,"1-M","2-M","3-H","4-H"
289,8,7.2,"1-M","2-H","3-L","4-L"
290,8,7.2,"1-M","2-H","3-L","4-M"
291,8,7.2,"1-M","2-H","3-L","4-H"
292,8,7.2,"1-M","2-H","3-M","4-L"
293,8,7.2,"1-M","2-H","3-M","4-M"
294,8,7.2,"1-M","2-H","3-M","4-H"
295,8,7.2,"1-M","2-H","3-H","4-L"
296,8,7.2,"1-M","2-H","3-H","4-M"
297,8,7.2,"1-M","2-H","3-H","4-H"
298,8,7.2,"1-H","2-L","3-L","4-L"
299,8,7.2,"1-H","2-L","3-L","4-M"
300,8,7.2,"1-H","2-L","3-L","4-H"
301,8,7.2,"1-H","2-L","3-M","4-L"
302,8,7.2,"1-H","2-L","3-M","4-M"
303,8,7.2,"1-H","2-L","3-M","4-H"
304,8,7.2,"1-H","2-L","3-H","4-L"
305,8,7.2,"1-H","2-L","3-H","4-M"
306,8,7.2,"1-H","2-L","3-H","4-H"
307,8,7.2,"1-H","2-M","3-L","4-L"
308,8,7.2,"1-H","2-M","3-L","4-M"
309,8,7.2,"1-H","2-M","3-L","4-H"
310,8,7.2,"1-H","2-M","3-M","4-L"
311,8,7.2,"1-H","2-M","3-M","4-M"
312,8,7.2,"1-H","2-M","3-M","4-H"
313,8,7.2,"1-H","2-M","3-H","4-L"
314,8,7.2,"1-H","2-M","3-H","4-M"
315,8,7.2,"1-H","2-M","3-H","4-H"
316,8,7.2,"1-H","2-H","3-L","4-L"
317,8,7.2,"1-H","2-H","3-L","4-M"
318,8,7.2,"1-H","2-H","3-L","4-H"
319,8,7.2,"1-H","2-H","3-M","4-L"
320,8,7.2,"1-H","2-H","3-M","4-M"
321,8,7.2,"1-H","2-H","3-M","4-H"
322,8,7.2,"1-H","2-H","3-H","4-L"
323,8,7.2,"1-H","2-H","3-H","4-M"
324,8,7.2,"1-H","2-H","3-H","4-H"
325,8,7.6,"1-L","2-L","3-L","4-L"
326,8,7.6,"1-L","2-L","3-L","4-M"
327,8,7.6,"1-L","2-L","3-L","4-H"
328,8,7.6,"1-L","2-L","3-M","4-L"
329,8,7.6,"1-L","2-L","3-M","4-M"
330,8,7.6,"1-L","2-L","3-M","4-H"
331,8,7.6,"1-L","2-L","3-H","4-L"
332,8,7.6,"1-L","2-L","3-H","4-M"
333,8,7.6,"1-L","2-L","3-H","4-H"
334,8,7.6,"1-L","2-M","3-L","4-L"
335,8,7.6,"1-L","2-M","3-L","4-M"
336,8,7.6,"1-L","2-M","3-L","4-H"
337,8,7.6,"1-L","2-M","3-M","4-L"
338,8,7.6,"1-L","2-M","3-M","4-M"
339,8,7.6,"1-L","2-M","3-M","4-H"
340,8,7.6,"1-L","2-M","3-H","4-L"
341,8,7.6,"1-L","2-M","3-H","4-M"
342,8,7.6,"1-L","2-M","3-H","4-H"
343,8,7.6,"1-L","2-H","3-L","4-L"
344,8,7.6,"1-L","2-H","3-L","4-M"
345,8,7.6,"1-L","2-H","3-L","4-H"
346,8,7.6,"1-L","2-H","3-M","4-L"
347,8,7.6,"1-L","2-H","3-M","4-M"
348,8,7.6,"1-L","2-H","3-M","4-H"
349,8,7.6,"1-L","2-H","3-H","4-L"
350,8,7.6,"1-L","2-H","3-H","4-M"
351,8,7.6,"1-L","2-H","3-H","4-H"
352,8,7.6,"1-M","2-L","3-L","4-L"
353,8,7.6,"1-M","2-L","3-L","4-M"
354,8,7.6,"1-M","2-L","3-L","4-H"
355,8,7.6,"1-M","2-L","3-M","4-L"
356,8,7.6,"1-M","2-L","3-M","4-M"
357,8,7.6,"1-M","2-L","3-M","4-H"
358,8,7.6,"1-M","2-L","3-H","4-L"
359,8,7.6,"1-M","2-L","3-H","4-M"
360,8,7.6,"1-M","2-L","3-H","4-H"
361,8,7.6,"1-M","2-M","3-L","4-L"
362,8,7.6,"1-M","2-M","3-L","4-M"
363,8,7.6,"1-M","2-M","3-L","4-H"
364,8,7.6,"1-M","2-M","3-M","4-L"
365,8,7.6,"1-M","2-M","3-M","4-M"
366,8,7.6,"1-M","2-M","3-M","4-H"
367,8,7.6,"1-M","2-M","3-H","4-L"
368,8,7.6,"1-M","2-M","3-H","4-M"
369,8,7.6,"1-M","2-M","3-H","4-H"
370,8,7.6,"1-M","2-H","3-L","4-L"
371,8,7.6,"1-M","2-H","3-L","4-M"
372,8,7.6,"1-M","2-H","3-L","4-H"
373,8,7.6,"1-M","2-H","3-M","4-L"
374,8,7.6,"1-M","2-H","3-M","4-M"
375,8,7.6,"1-M","2-H","3-M","4-H"
376,8,7.6,"1-M","2-H","3-H","4-L"
377,8,7.6,"1-M","2-H","3-H","4-M"
378,8,7.6,"1-M","2-H","3-H","4-H"
379,8,7.6,"1-H","2-L","3-L","4-L"
380,8,7.6,"1-H","2-L","3-L","4-M"
381,8,7.6,"1-H","2-L","3-L","4-H"
382,8,7.6,"1-H","2-L","3-M","4-L"
383,8,7.6,"1-H","2-L","3-M","4-M"
384,8,7.6,"1-H","2-L","3-M","4-H"
385,8,7.6,"1-H","2-L","3-H","4-L"
386,8,7.6,"1-H","2-L","3-H","4-M"
387,8,7.6,"1-H","2-L","3-H","4-H"
388,8,7.6,"1-H","2-M","3-L","4-L"
389,8,7.6,"1-H","2-M","3-L","4-M"
390,8,7.6,"1-H","2-M","3-L","4-H"
391,8,7.6,"1-H","2-M","3-M","4-L"
392,8,7.6,"1-H","2-M","3-M","4-M"
393,8,7.6,"1-H","2-M","3-M","4-H"
394,8,7.6,"1-H","2-M","3-H","4-L"
395,8,7.6,"1-H","2-M","3-H","4-M"
396,8,7.6,"1-H","2-M","3-H","4-H"
397,8,7.6,"1-H","2-H","3-L","4-L"
398,8,7.6,"1-H","2-H","3-L","4-M"
399,8,7.6,"1-H","2-H","3-L","4-H"
400,8,7.6,"1-H","2-H","3-M","4-L"
401,8,7.6,"1-H","2-H","3-M","4-M"
402,8,7.6,"1-H","2-H","3-M","4-H"
403,8,7.6,"1-H","2-H","3-H","4-L"
404,8,7.6,"1-H","2-H","3-H","4-M"
405,8,7.6,"1-H","2-H","3-H","4-H"
406,8,8,"1-L","2-L","3-L","4-L"
407,8,8,"1-L","2-L","3-L","4-M"
408,8,8,"1-L","2-L","3-L","4-H"
409,8,8,"1-L","2-L","3-M","4-L"
410,8,8,"1-L","2-L","3-M","4-M"
411,8,8,"1-L","2-L","3-M","4-H"
412,8,8,"1-L","2-L","3-H","4-L"
413,8,8,"1-L","2-L","3-H","4-M"
414,8,8,"1-L","2-L","3-H","4-H"
415,8,8,"1-L","2-M","3-L","4-L"
416,8,8,"1-L","2-M","3-L","4-M"
417,8,8,"1-L","2-M","3-L","4-H"
418,8,8,"1-L","2-M","3-M","4-L"
419,8,8,"1-L","2-M","3-M","4-M"
420,8,8,"1-L","2-M","3-M","4-H"
421,8,8,"1-L","2-M","3-H","4-L"
422,8,8,"1-L","2-M","3-H","4-M"
423,8,8,"1-L","2-M","3-H","4-H"
424,8,8,"1-L","2-H","3-L","4-L"
425,8,8,"1-L","2-H","3-L","4-M"
426,8,8,"1-L","2-H","3-L","4-H"
427,8,8,"1-L","2-H","3-M","4-L"
428,8,8,"1-L","2-H","3-M","4-M"
429,8,8,"1-L","2-H","3-M","4-H"
430,8,8,"1-L","2-H","3-H","4-L"
431,8,8,"1-L","2-H","3-H","4-M"
432,8,8,"1-L","2-H","3-H","4-H"
433,8,8,"1-M","2-L","3-L","4-L"
434,8,8,"1-M","2-L","3-L","4-M"
435,8,8,"1-M","2-L","3-L","4-H"
436,8,8,"1-M","2-L","3-M","4-L"
437,8,8,"1-M","2-L","3-M","4-M"
438,8,8,"1-M","2-L","3-M","4-H"
439,8,8,"1-M","2-L","3-H","4-L"
440,8,8,"1-M","2-L","3-H","4-M"
441,8,8,"1-M","2-L","3-H","4-H"
442,8,8,"1-M","2-M","3-L","4-L"
443,8,8,"1-M","2-M","3-L","4-M"
444,8,8,"1-M","2-M","3-L","4-H"
445,8,8,"1-M","2-M","3-M","4-L"
446,8,8,"1-M","2-M","3-M","4-M"
447,8,8,"1-M","2-M","3-M","4-H"
448,8,8,"1-M","2-M","3-H","4-L"
449,8,8,"1-M","2-M","3-H","4-M"
450,8,8,"1-M","2-M","3-H","4-H"
451,8,8,"1-M","2-H","3-L","4-L"
452,8,8,"1-M","2-H","3-L","4-M"
453,8,8,"1-M","2-H","3-L","4-H"
454,8,8,"1-M","2-H","3-M","4-L"
455,8,8,"1-M","2-H","3-M","4-M"
456,8,8,"1-M","2-H","3-M","4-H"
457,8,8,"1-M","2-H","3-H","4-L"
458,8,8,"1-M","2-H","3-H","4-M"
459,8,8,"1-M","2-H","3-H","4-H"
460,8,8,"1-H","2-L","3-L","4-L"
461,8,8,"1-H","2-L","3-L","4-M"
462,8,8,"1-H","2-L","3-L","4-H"
463,8,8,"1-H","2-L","3-M","4-L"
464,8,8,"1-H","2-L","3-M","4-M"
465,8,8,"1-H","2-L","3-M","4-H"
466,8,8,"1-H","2-L","3-H","4-L"
467,8,8,"1-H","2-L","3-H","4-M"
468,8,8,"1-H","2-L","3-H","4-H"
469,8,8,"1-H","2-M","3-L","4-L"
470,8,8,"1-H","2-M","3-L","4-M"
471,8,8,"1-H","2-M","3-L","4-H"
472,8,8,"1-H","2-M","3-M","4-L"
473,8,8,"1-H","2-M","3-M","4-M"
474,8,8,"1-H","2-M","3-M","4-H"
475,8,8,"1-H","2-M","3-H","4-L"
476,8,8,"1-H","2-M","3-H","4-M"
477,8,8,"1-H","2-M","3-H","4-H"
478,8,8,"1-H","2-H","3-L","4-L"
479,8,8,"1-H","2-H","3-L","4-M"
480,8,8,"1-H","2-H","3-L","4-H"
481,8,8,"1-H","2-H","3-M","4-L"
482,8,8,"1-H","2-H","3-M","4-M"
483,8,8,"1-H","2-H","3-M","4-H"
484,8,8,"1-H","2-H","3-H","4-L"
485,8,8,"1-H","2-H","3-H","4-M"
486,8,8,"1-H","2-H","3-H","4-H"
487,8.4,6,"1-L","2-L","3-L","4-L"
488,8.4,6,"1-L","2-L","3-L","4-M"
489,8.4,6,"1-L","2-L","3-L","4-H"
490,8.4,6,"1-L","2-L","3-M","4-L"
491,8.4,6,"1-L","2-L","3-M","4-M"
492,8.4,6,"1-L","2-L","3-M","4-H"
493,8.4,6,"1-L","2-L","3-H","4-L"
494,8.4,6,"1-L","2-L","3-H","4-M"
495,8.4,6,"1-L","2-L","3-H","4-H"
496,8.4,6,"1-L","2-M","3-L","4-L"
497,8.4,6,"1-L","2-M","3-L","4-M"
498,8.4,6,"1-L","2-M","3-L","4-H"
499,8.4,6,"1-L","2-M","3-M","4-L"
500,8.4,6,"1-L","2-M","3-M","4-M"
501,8.4,6,"1-L","2-M","3-M","4-H"
502,8.4,6,"1-L","2-M","3-H","4-L"
503,8.4,6,"1-L","2-M","3-H","4-M"
504,8.4,6,"1-L","2-M","3-H","4-H"
505,8.4,6,"1-L","2-H","3-L","4-L"
506,8.4,6,"1-L","2-H","3-L","4-M"
507,8.4,6,"1-L","2-H","3-L","4-H"
508,8.4,6,"1-L","2-H","3-M","4-L"
509,8.4,6,"1-L","2-H","3-M","4-M"
510,8.4,6,"1-L","2-H","3-M","4-H"
511,8.4,6,"1-L","2-H","3-H","4-L"
512,8.4,6,"1-L","2-H","3-H","4-M"
513,8.4,6,"1-L","2-H","3-H","4-H"
514,8.4,6,"1-M","2-L","3-L","4-L"
515,8.4,6,"1-M","2-L","3-L","4-M"
516,8.4,6,"1-M","2-L","3-L","4-H"
517,8.4,6,"1-M","2-L","3-M","4-L"
518,8.4,6,"1-M","2-L","3-M","4-M"
519,8.4,6,"1-M","2-L","3-M","4-H"
520,8.4,6,"1-M","2-L","3-H","4-L"
521,8.4,6,"1-M","2-L","3-H","4-M"
522,8.4,6,"1-M","2-L","3-H","4-H"
523,8.4,6,"1-M","2-M","3-L","4-L"
524,8.4,6,"1-M","2-M","3-L","4-M"
525,8.4,6,"1-M","2-M","3-L","4-H"
526,8.4,6,"1-M","2-M","3-M","4-L"
527,8.4,6,"1-M","2-M","3-M","4-M"
528,8.4,6,"1-M","2-M","3-M","4-H"
529,8.4,6,"1-M","2-M","3-H","4-L"
530,8.4,6,"1-M","2-M","3-H","4-M"
531,8.4,6,"1-M","2-M","3-H","4-H"
532,8.4,6,"1-M","2-H","3-L","4-L"
533,8.4,6,"1-M","2-H","3-L","4-M"
534,8.4,6,"1-M","2-H","3-L","4-H"
535,8.4,6,"1-M","2-H","3-M","4-L"
536,8.4,6,"1-M","2-H","3-M","4-M"
537,8.4,6,"1-M","2-H","3-M","4-H"
538,8.4,6,"1-M","2-H","3-H","4-L"
539,8.4,6,"1-M","2-H","3-H","4-M"
540,8.4,6,"1-M","2-H","3-H","4-H"
541,8.4,6,"1-H","2-L","3-L","4-L"
542,8.4,6,"1-H","2-L","3-L","4-M"
543,8.4,6,"1-H","2-L","3-L","4-H"
544,8.4,6,"1-H","2-L","3-M","4-L"
545,8.4,6,"1-H","2-L","3-M","4-M"
546,8.4,6,"1-H","2-L","3-M","4-H"
