"","X","sim_id","HIV_neg_female","HIV_neg_male","HIV_pos_female","HIV_pos_male","tb_mort_mse_total","hiv_prev_mse_male","hiv_prev_mse_female","hiv_prev_mse","max_perc_diff_male","max_perc_diff_female","b1_contact","b2_contact","hiv2_mort","hiv3_mort","hiv4_mort","tb_hiv1_mort","tb_hiv2_mort","tb_hiv3_mort","tb_hiv4_mort","hiv_prev_mse_male_norm","hiv_prev_mse_female_norm","avg_prev_mse_norm","tbmort_rank_total","tbmort_HIV_neg_male","tbmort_HIV_neg_female","tbmort_HIV_pos_male","tbmort_HIV_pos_female"
"11",43,43,11424.2562975646,54132.7534212476,579636.694126927,227116.328256245,872310.032101984,204519681.016629,88588974.7886808,293108655.805309,0.0426223922068752,0.0382389994688171,6,6,8,45,1.2,17,22,60,17,0.174163511679765,0.443855306432738,0.309009409056252,1918,1716,1734,1650,2004
"12",44,44,11428.2656545635,54167.2671034653,571462.496791334,224382.995251388,861441.024800751,204735638.258703,88066238.9859927,292801877.244696,0.0426235215124943,0.0380805936446183,6,6,8,45,1.2,17,22,60,20,0.174610819422489,0.43820319094455,0.306407005183519,1908,1718,1736,1639,1996
"13",45,45,11481.4084593323,54488.5482126878,582753.66525867,228157.449368082,876881.071298772,207567112.375851,86463999.2953621,294031111.671213,0.0427940938258125,0.0378491194194947,6,6,8,45,1.2,17,30,40,17,0.180475592855226,0.420878868170723,0.300677230512975,1926,1724,1739,1653,2008
"14",46,46,11485.6791094216,54524.7482245967,574585.808491998,225326.023935337,865922.259761353,207792049.40284,85948268.1988641,293740317.601704,0.0427952904834238,0.0376908971042129,6,6,8,45,1.2,17,30,40,20,0.180941500239629,0.415302491532148,0.298121995885888,1914,1727,1740,1646,2002
"15",47,47,11706.2661233072,55745.3470225104,514958.420182692,196070.376071411,778480.40939992,211353576.373215,84994084.139606,296347660.512821,0.0431539369943332,0.0373741905126765,6,6,8,45,1.2,17,30,60,17,0.188318416959203,0.404985313194292,0.296651865076747,1869,1744,1749,1548,1965
"16",48,48,11710.3938244733,55780.3361571794,507542.381735033,193653.159060445,768686.27077713,211566479.556724,84508825.4577459,296075305.01447,0.0431550174716776,0.0372219138107396,6,6,8,45,1.2,17,30,60,20,0.188759398893958,0.399738421557225,0.294248910225592,1859,1746,1752,1536,1959
"17",49,49,14671.8726933906,68973.3293777014,642070.844427825,257331.293723902,983047.340222819,204387972.079206,84552097.984491,288940070.063697,0.042422299990551,0.0371117739555227,6,6,8,45,1.5,14,22,40,17,0.173890705697759,0.400206308618665,0.287048507158212,1956,1837,1859,1712,2021
"18",50,50,14676.7268264771,69011.7359935405,633031.281192371,254132.392845737,970852.136858126,204627414.057195,84011677.1150839,288639091.172279,0.0424233864463459,0.036944848873708,6,6,8,45,1.5,14,22,40,20,0.174386656885406,0.394362972175267,0.284374814530337,1948,1839,1861,1705,2019
"19",51,51,14922.2381075218,70292.341001745,566685.950087468,220103.950784802,872004.479981537,206808462.113108,84761740.5719593,291570202.685068,0.0426656030521449,0.0370004237437795,6,6,8,45,1.5,14,22,60,17,0.178904216349,0.402473082980628,0.290688649664814,1917,1847,1871,1626,1991
"20",52,52,14926.9793278596,70329.7429073855,558437.714113521,217362.034349774,861056.47069854,207034922.563,84244265.4544363,291279188.017436,0.0426667655132581,0.0368393672262457,6,6,8,45,1.5,14,22,60,20,0.179373279167568,0.39687784899921,0.288125564083389,1906,1849,1873,1613,1985
