"sim_id","program_id","undisc_mort","disc_mort"
16528,2,1285.10210593085,1137.18450649674
16528,3,1273.70956202011,1127.32689089339
16818,1,2035.35323868707,1787.16597442821
16818,2,1516.12768867947,1342.64127112125
16818,3,1472.02885188806,1305.15005301092
16880,1,1972.13964984087,1733.07106415282
16880,2,1391.18163261944,1235.51059306376
16880,3,1386.2337678989,1231.10095266972
16883,1,2003.51171377147,1758.50121315493
16883,2,1542.69368169262,1364.5914724698
16883,3,1499.76696609656,1327.95010404855
16950,1,1553.93803581925,1363.78663612383
16950,2,1113.14847057393,986.405967914195
16950,3,1101.01991462242,976.030948170055
1702,1,1758.84484557619,1543.69000961454
1702,2,1305.60603772879,1155.47265686713
1702,3,1292.54509381915,1144.31779908155
17287,1,1654.58915607609,1454.12021278536
17287,2,1229.57612327994,1089.29619907042
17287,3,1210.05096255475,1072.6282943995
17379,1,1781.17534866221,1565.12529143613
17379,2,1324.95781888672,1173.75245206969
17379,3,1295.98741842966,1149.07211206748
17534,1,1633.82847271639,1434.01247610892
17534,2,1253.43959846433,1109.75812924278
17534,3,1236.81593901029,1095.51190709669
1765,1,1656.63289121714,1454.70036312771
1765,2,1186.33212134461,1051.90862648305
1765,3,1172.91100224466,1040.51292894391
17701,1,1708.46007878429,1497.53394894881
17701,2,1249.6425613099,1105.28958787196
17701,3,1240.55715069055,1097.42567242121
17752,1,1647.11020723983,1448.47240938303
17752,2,1219.23076368009,1082.24920296404
17752,3,1191.93186431322,1058.92782628791
17891,1,1864.72354773327,1638.91898086233
17891,2,1401.17346717895,1242.24397368365
17891,3,1377.71990996301,1222.15126007513
18046,1,1830.65277856279,1608.32960304741
18046,2,1294.30519535409,1149.20673729564
18046,3,1281.08299858017,1137.89066485362
18109,1,1870.49990420375,1641.14920269502
18109,2,1425.32236132295,1260.53621638967
18109,3,1380.88215460637,1222.76986130061
18321,1,2230.48232427857,1956.97250256369
18321,2,1660.28031728508,1468.70873693087
18321,3,1631.17459954125,1443.80650420136
18423,1,1777.19788807441,1559.65715575165
18423,2,1344.35120780532,1190.051518312
18423,3,1313.95949117954,1164.06150230124
18426,1,1643.57875358209,1442.25030423526
18426,2,1176.46238522918,1041.69592855689
18426,3,1150.53011028936,1019.53591044994
18548,1,1581.97912318127,1388.46969632651
18548,2,1155.46901223784,1022.74627591872
18548,3,1155.90338192083,1022.96825527333
1872,1,1496.53288775543,1314.80495872149
1872,2,1072.55672151824,951.16623422006
1872,3,1065.59974454377,945.138833705319
18741,1,1815.16067840279,1595.99057572066
18741,2,1280.1297327923,1136.97571192948
18741,3,1255.49446664508,1115.96989379848
18761,1,1835.88519434674,1610.49786011963
18761,2,1305.36374519177,1156.71258466231
18761,3,1280.22162548754,1135.29829440846
18829,1,1727.56896470935,1518.04905559242
18829,2,1264.66811017922,1120.30912024397
18829,3,1255.9172920933,1112.74087129593
18848,1,1613.5310044228,1418.06955601796
18848,2,1188.02991100912,1053.35546432681
18848,3,1175.39986265628,1042.51864629286
18866,1,1939.48396048348,1702.10258105498
18866,2,1401.08863790324,1240.58101443754
18866,3,1371.37466678357,1215.34949825101
18882,1,1977.22535691809,1735.32682944018
18882,2,1457.78265084256,1290.34800824683
18882,3,1425.76046056288,1263.15750986456
18905,1,1897.0648996954,1663.82936942031
18905,2,1402.1233980206,1239.66688641761
18905,3,1371.78486508915,1213.787721566
18944,1,1609.17992143667,1416.01909954394
18944,2,1140.10101315098,1013.96753297439
18944,3,1132.17224449018,1007.04246644423
18981,1,1801.19193120763,1581.61604044134
18981,2,1279.14386008912,1134.59041529214
18981,3,1250.70701940931,1110.32835580123
19009,1,2036.05028724919,1788.12476063269
19009,2,1461.89371566033,1295.02292489974
19009,3,1449.4683910436,1284.41524195056
1911,1,1824.48847348605,1602.23078946956
1911,2,1376.2333819384,1218.87562585325
1911,3,1331.09596476205,1180.64830361171
19453,1,1754.1139298274,1540.13808674412
19453,2,1368.76219457446,1209.83071466916
