"G_compartment","sex_name","year","expected_total_pop","expected_disease_pop","expected_non_disease_pop","expected_non_disease_mort_total","expected_non_disease_mort_rate","TB_compartment","HIV_compartment","hiv_adj","tb_adj","mort_rate","level"
1,"male",2005,13827852.9431351,1759571.41012803,12068281.533007,101309.604544663,0.00839470012922541,7,2,5,1,0.041973500646127,"H"
1,"male",2005,13827852.9431351,1759571.41012803,12068281.533007,101309.604544663,0.00839470012922541,7,3,10,1,0.0839470012922541,"H"
1,"male",2005,13827852.9431351,1759571.41012803,12068281.533007,101309.604544663,0.00839470012922541,7,4,1.2,1,0.0100736401550705,"H"
1,"male",2005,13827852.9431351,1759571.41012803,12068281.533007,101309.604544663,0.00839470012922541,8,1,1,1,0.00839470012922541,"H"
1,"male",2005,13827852.9431351,1759571.41012803,12068281.533007,101309.604544663,0.00839470012922541,8,2,5,1,0.041973500646127,"H"
1,"male",2005,13827852.9431351,1759571.41012803,12068281.533007,101309.604544663,0.00839470012922541,8,3,10,1,0.0839470012922541,"H"
1,"male",2005,13827852.9431351,1759571.41012803,12068281.533007,101309.604544663,0.00839470012922541,8,4,1.2,1,0.0100736401550705,"H"
1,"male",2006,14060024.707703,1808386.62245204,12251638.085251,102215.077581688,0.00834297233320486,1,1,1,1,0.00834297233320486,"H"
1,"male",2006,14060024.707703,1808386.62245204,12251638.085251,102215.077581688,0.00834297233320486,1,2,5,1,0.0417148616660243,"H"
1,"male",2006,14060024.707703,1808386.62245204,12251638.085251,102215.077581688,0.00834297233320486,1,3,10,1,0.0834297233320486,"H"
1,"male",2006,14060024.707703,1808386.62245204,12251638.085251,102215.077581688,0.00834297233320486,1,4,1.2,1,0.0100115667998458,"H"
1,"male",2006,14060024.707703,1808386.62245204,12251638.085251,102215.077581688,0.00834297233320486,2,1,1,1,0.00834297233320486,"H"
1,"male",2006,14060024.707703,1808386.62245204,12251638.085251,102215.077581688,0.00834297233320486,2,2,5,1,0.0417148616660243,"H"
1,"male",2006,14060024.707703,1808386.62245204,12251638.085251,102215.077581688,0.00834297233320486,2,3,10,1,0.0834297233320486,"H"
1,"male",2006,14060024.707703,1808386.62245204,12251638.085251,102215.077581688,0.00834297233320486,2,4,1.2,1,0.0100115667998458,"H"
1,"male",2006,14060024.707703,1808386.62245204,12251638.085251,102215.077581688,0.00834297233320486,3,1,1,1,0.00834297233320486,"H"
1,"male",2006,14060024.707703,1808386.62245204,12251638.085251,102215.077581688,0.00834297233320486,3,2,5,1,0.0417148616660243,"H"
1,"male",2006,14060024.707703,1808386.62245204,12251638.085251,102215.077581688,0.00834297233320486,3,3,10,1,0.0834297233320486,"H"
1,"male",2006,14060024.707703,1808386.62245204,12251638.085251,102215.077581688,0.00834297233320486,3,4,1.2,1,0.0100115667998458,"H"
1,"male",2006,14060024.707703,1808386.62245204,12251638.085251,102215.077581688,0.00834297233320486,4,1,1,1,0.00834297233320486,"H"
1,"male",2006,14060024.707703,1808386.62245204,12251638.085251,102215.077581688,0.00834297233320486,4,2,5,1,0.0417148616660243,"H"
1,"male",2006,14060024.707703,1808386.62245204,12251638.085251,102215.077581688,0.00834297233320486,4,3,10,1,0.0834297233320486,"H"
1,"male",2006,14060024.707703,1808386.62245204,12251638.085251,102215.077581688,0.00834297233320486,4,4,1.2,1,0.0100115667998458,"H"
1,"male",2006,14060024.707703,1808386.62245204,12251638.085251,102215.077581688,0.00834297233320486,5,1,1,1,0.00834297233320486,"H"
1,"male",2006,14060024.707703,1808386.62245204,12251638.085251,102215.077581688,0.00834297233320486,5,2,5,1,0.0417148616660243,"H"
1,"male",2006,14060024.707703,1808386.62245204,12251638.085251,102215.077581688,0.00834297233320486,5,3,10,1,0.0834297233320486,"H"
1,"male",2006,14060024.707703,1808386.62245204,12251638.085251,102215.077581688,0.00834297233320486,5,4,1.2,1,0.0100115667998458,"H"
1,"male",2006,14060024.707703,1808386.62245204,12251638.085251,102215.077581688,0.00834297233320486,6,1,1,20,0.166859446664097,"H"
1,"male",2006,14060024.707703,1808386.62245204,12251638.085251,102215.077581688,0.00834297233320486,6,2,5,6,0.250289169996146,"H"
1,"male",2006,14060024.707703,1808386.62245204,12251638.085251,102215.077581688,0.00834297233320486,6,3,10,5,0.417148616660243,"H"
1,"male",2006,14060024.707703,1808386.62245204,12251638.085251,102215.077581688,0.00834297233320486,6,4,1.2,20,0.200231335996917,"H"
1,"male",2006,14060024.707703,1808386.62245204,12251638.085251,102215.077581688,0.00834297233320486,7,1,1,1,0.00834297233320486,"H"
1,"male",2006,14060024.707703,1808386.62245204,12251638.085251,102215.077581688,0.00834297233320486,7,2,5,1,0.0417148616660243,"H"
1,"male",2006,14060024.707703,1808386.62245204,12251638.085251,102215.077581688,0.00834297233320486,7,3,10,1,0.0834297233320486,"H"
1,"male",2006,14060024.707703,1808386.62245204,12251638.085251,102215.077581688,0.00834297233320486,7,4,1.2,1,0.0100115667998458,"H"
1,"male",2006,14060024.707703,1808386.62245204,12251638.085251,102215.077581688,0.00834297233320486,8,1,1,1,0.00834297233320486,"H"
1,"male",2006,14060024.707703,1808386.62245204,12251638.085251,102215.077581688,0.00834297233320486,8,2,5,1,0.0417148616660243,"H"
1,"male",2006,14060024.707703,1808386.62245204,12251638.085251,102215.077581688,0.00834297233320486,8,3,10,1,0.0834297233320486,"H"
1,"male",2006,14060024.707703,1808386.62245204,12251638.085251,102215.077581688,0.00834297233320486,8,4,1.2,1,0.0100115667998458,"H"
1,"male",2007,14282376.3850521,1855518.54012403,12426857.8449281,99459.4210464047,0.00800358564389617,1,1,1,1,0.00800358564389617,"H"
1,"male",2007,14282376.3850521,1855518.54012403,12426857.8449281,99459.4210464047,0.00800358564389617,1,2,5,1,0.0400179282194808,"H"
1,"male",2007,14282376.3850521,1855518.54012403,12426857.8449281,99459.4210464047,0.00800358564389617,1,3,10,1,0.0800358564389617,"H"
1,"male",2007,14282376.3850521,1855518.54012403,12426857.8449281,99459.4210464047,0.00800358564389617,1,4,1.2,1,0.0096043027726754,"H"
1,"male",2007,14282376.3850521,1855518.54012403,12426857.8449281,99459.4210464047,0.00800358564389617,2,1,1,1,0.00800358564389617,"H"
1,"male",2007,14282376.3850521,1855518.54012403,12426857.8449281,99459.4210464047,0.00800358564389617,2,2,5,1,0.0400179282194808,"H"
1,"male",2007,14282376.3850521,1855518.54012403,12426857.8449281,99459.4210464047,0.00800358564389617,2,3,10,1,0.0800358564389617,"H"
