"","sim_id","HIV/TB_coinfection_Female","HIV/TB_coinfection_Male","TB_only_Female","TB_only_Male","total_mse"
"36",1737,114211.127528174,644466.832027238,5559.35408648138,17806.8626373304,782044.176279225
"37",1738,112349.137376082,638265.600789398,5557.41676874539,17741.9033256982,773914.058259924
"38",1739,210750.764608944,858769.477022468,5810.2199774675,18681.5044654869,1094011.96607437
"39",1740,209062.078756073,852364.418540519,5801.43071470209,18606.8451901511,1085834.77320144
"40",1741,206561.968811915,844866.682370888,5800.48765810588,18553.8179295426,1075782.95677045
"41",1742,20021.8819405526,184874.209276793,2485.99572884839,15483.1158833708,222865.202829565
"42",1743,20106.3059522668,182793.780448528,2452.45206930274,15132.5360028446,220485.074472942
"43",1744,20233.6066261815,180062.220473254,2422.72225436002,14817.3199409928,217535.869294788
"44",1745,14020.1440240994,351631.348008083,2456.64691271256,14010.2016596139,382118.340604509
"45",1746,27247.5449503388,398330.467232246,14287.9430297182,53845.9563325571,493711.911544861
"46",1747,13746.79646943,348583.935090586,2431.0008121768,13728.0713160989,378489.803688291
"47",1748,13361.4889822786,344465.903847908,2404.02439262745,13440.3091899029,373671.726412717
"48",1749,50551.1644145261,528604.416143137,2473.69448859623,12966.4763347846,594595.751381044
"49",1750,49615.2171229285,523344.833576211,2444.65167721309,12655.1316779905,588059.834054343
"50",1751,48676.5729424767,517919.643997058,2420.14684133581,12391.8392527123,581408.203033583
"51",1752,13038.0056732427,278727.293060945,2485.73572170928,14096.0825400932,308347.11699599
"52",1753,12656.6551736055,275142.115315415,2452.8487378066,13750.0689622708,304001.688189098
"53",1754,12179.3081413881,272149.410805973,2421.64918866744,13454.5971426936,300204.965278722
"54",1755,40413.61553356,464647.023201018,2487.84868797829,12874.366251327,520422.853673883
"55",1756,39780.598069998,460662.10067363,2459.4653053897,12574.0834996545,515476.247548672
"56",1757,26432.3047751203,393776.770600354,14295.5420776761,53895.9101217919,488400.527574943
"57",1758,39213.7865127186,456913.784513744,2430.62541887432,12309.1808998926,510867.37734523
"58",1759,102152.918666836,653473.498436485,2523.78601583151,11994.3808397029,770144.583958856
"59",1760,100631.975552178,647660.422214154,2495.70426617605,11713.6496201606,762501.751652669
"60",1761,99689.0983328383,642405.966108687,2468.43664571064,11464.7949714299,756028.296058665
"61",1762,35374.3293086673,387622.083938395,2512.41985642343,12878.7848464473,438387.617949933
"62",1763,34350.9716111427,383799.695108242,2476.16383910255,12556.4418061472,433183.272364635
"63",1764,33301.018535545,379276.948958373,2451.60939009822,12287.3012634022,427316.878147419
"64",1765,92686.9075169444,588642.588045875,2549.31582244497,11910.2109010069,695789.022286272
"65",1766,91592.8856176434,584208.483475292,2516.32201512923,11624.3689365316,689942.060044596
