"year","sex","val","program_id","max","min"
1980,"Male",0.000507608769698801,"1",0.000634510962123502,0.000380706577274101
2018,"Female",0.0175989418744977,"1",0.0219986773431222,0.0131992064058733
2019,"Female",0.017047156049903,"1",0.0213089450623788,0.0127853670374272
2020,"Female",0.0166153325288377,"1",0.0207691656610472,0.0124614993966283
2021,"Female",0.0161717089509407,"1",0.0202146361886758,0.0121287817132055
2022,"Female",0.0157520376231929,"1",0.0196900470289911,0.0118140282173947
2023,"Female",0.0153621170040583,"1",0.0192026462550729,0.0115215877530437
2024,"Female",0.0149992594116446,"1",0.0187490742645557,0.0112494445587334
2025,"Female",0.0146608155600599,"1",0.0183260194500748,0.0109956116700449
2026,"Female",0.014344326605801,"1",0.0179304082572513,0.0107582449543508
2027,"Female",0.0140472308008448,"1",0.017559038501056,0.0105354231006336
