time,N_1,N_2,N_3,N_4,N_5,N_6,N_7,N_8,total_pop
52.75,36699.658392374804,2140.261285081973,1065.4850803745182,15265.994171762935,868.4504567253014,536.5399514036014,36589.24232371096,6834.368338566021,100000.00000000012
52.83333333333333,36699.757908316344,2140.267355803483,1065.4829824451522,15265.391788405377,868.4155510605337,536.4876470014159,36590.81631684343,6833.380450124381,100000.00000000012
52.916666666666664,36699.85705672445,2140.273403699835,1065.4809008097618,15264.793893579583,868.3809054846067,536.435747746321,36592.3778645311,6832.400227424448,100000.00000000012
53,36699.95583947804,2140.2794288898463,1065.478835339964,15264.200453901443,868.3465180631104,536.3842504551238,36593.927063779716,6831.427610092863,100000.0000000001
53.08333333333333,36700.05425844364,2140.2854314915467,1065.4767859084063,15263.611436234474,868.3123868759831,536.3331519701178,36595.464010834774,6830.462538241163,100000.0000000001
53.166666666666664,36700.15231547557,2140.291411622182,1065.4747523887597,15263.026807687995,868.2785100174056,536.2824491588736,36596.988801187515,6829.504952461795,100000.0000000001
53.25,36700.25001241599,2140.2973693982194,1065.4727346557097,15262.446535615301,868.2448855956955,536.232138914033,36598.50152958101,6828.554793824149,100000.0000000001
53.33333333333333,36700.34735109498,2140.303304935356,1065.470732584948,15261.870587611878,868.2115117332027,536.1822181531018,36600.00229001602,6827.612003870636,100000.00000000012
53.416666666666664,36700.44433333063,2140.3092183485237,1065.4687460531645,15261.298931513595,868.1783865662062,536.132683818247,36601.49117575696,6826.676524612795,100000.00000000012
53.5,36700.54096092918,2140.315109751892,1065.4667749380387,15260.731535394938,868.1455082448109,536.0835328760946,36602.96827933772,6825.748298527438,100000.00000000012
53.58333333333333,36700.637235685055,2140.3209792588787,1065.4648191182312,15260.168367567247,868.1128749328454,536.0347623175295,36604.43369256751,6824.82726855282,100000.00000000012
53.666666666666664,36700.73315938097,2140.3268269821506,1065.4628784733768,15259.609396576963,868.0804848077606,535.9863691574959,36605.88750653656,6823.913378084845,100000.00000000012
53.75,36700.82873378802,2140.3326530336335,1065.4609528840756,15259.054591203889,868.0483360605292,535.9383504348011,36607.329811621865,6823.006570973305,100000.00000000012
53.83333333333333,36700.923960665765,2140.3384575245145,1065.4590422318854,15258.50392045947,868.0164268955456,535.8907032119201,36608.76069749287,6822.106791518153,100000.00000000013
53.916666666666664,36701.01884176231,2140.3442405652486,1065.4571463993134,15257.957353585078,867.9847555305265,535.8434245748015,36610.18025311704,6821.213984465799,100000.00000000012
54,36701.1133788144,2140.3500022655658,1065.455265269809,15257.41486005031,867.9533201964134,535.7965116326756,36611.58856676548,6820.3280950054495,100000.0000000001
54.08333333333333,36701.20757354752,2140.3557427344726,1065.4533987277557,15256.87640955131,867.9221191372734,535.7499615178643,36612.985726018436,6819.449068765467,100000.0000000001
54.166666666666664,36701.30142767592,2140.3614620802628,1065.451546658464,15256.341972009086,867.8911506102035,535.7037713855918,36614.37181777081,6818.576851809767,100000.0000000001
54.25,36701.39494290276,2140.367160410518,1065.449708948162,15255.811517567847,867.8604128852331,535.6579384137975,36615.74692823754,6817.711390634241,100000.0000000001
54.33333333333333,36701.48812092018,2140.3728378321152,1065.4478854839904,15255.285016593361,867.82990424523,535.6124598029505,36617.11114295905,6816.852632163216,100000.00000000009
54.416666666666664,36701.58096340934,2140.3784944512327,1065.4460761539933,15254.762439671313,867.7996229858037,535.5673327758651,36618.46454680661,6816.000523745936,100000.00000000009
54.5,36701.673472040566,2140.3841303733525,1065.4442808471113,15254.243757605673,867.7695674152124,535.5225545775187,36619.807223987584,6815.155013153079,100000.0000000001
54.58333333333333,36701.765648473374,2140.3897457032685,1065.442499453174,15253.728941417094,867.7397358542689,535.4781224748701,36621.13925805074,6814.3160485733015,100000.00000000009
54.666666666666664,36701.857494356584,2140.3953405450907,1065.4407318628926,15253.217962341305,867.7101266362483,535.4340337566812,36622.46073189147,6813.483578609813,100000.00000000009
54.75,36701.94901132839,2140.400915002249,1065.4389779678538,15252.71079182751,867.6807381067954,535.3902857333374,36623.771727756975,6812.657552276975,100000.00000000009
54.83333333333333,36702.04020101643,2140.4064691775006,1065.4372376605108,15252.207401536834,867.6515686238334,535.3468757366722,36625.07232725136,6811.837918996939,100000.00000000009
54.916666666666664,36702.13106503789,2140.412003172932,1065.4355108341772,15251.707763340728,867.6226165574734,535.3038011197921,36626.36261134079,6811.0246285963,100000.00000000007
55,36702.22160499954,2140.417517089968,1065.4337973830204,15251.211849319436,867.5938802899235,535.2610592569024,36627.64266035851,6810.217631302787,100000.00000000009
55.08333333333333,36702.31182249784,2140.4230110293724,1065.432097202054,15250.719631760436,867.5653582154002,535.218647543136,36628.912554009876,6809.416877741981,100000.00000000009
55.166666666666664,36702.401719119014,2140.4284850912554,1065.4304101871296,15250.231083156914,867.5370487400392,535.1765633943817,36630.17237137731,6808.622318934053,100000.0000000001
55.25,36702.491296439126,2140.433939375079,1065.4287362349335,15249.746176206245,867.5089502818071,535.134804247116,36631.42219092525,6807.83390629054,100000.0000000001
55.33333333333333,36702.58055602414,2140.439373979659,1065.4270752429761,15249.264883808477,867.4810612704142,535.0933675582347,36632.66209050506,6807.051591611142,100000.0000000001
55.416666666666664,36702.66949943002,2140.4447890031734,1065.4254271095867,15248.787179064839,867.4533801472278,535.0522508048866,36633.89214735983,6806.275327080546,100000.00000000012
55.5,36702.758128202775,2140.450184543163,1065.4237917339074,15248.31303527624,867.4259053651855,535.0114514843085,36635.112438129254,6805.50506526528,100000.00000000012
55.58333333333333,36702.84644387855,2140.45556069654,1065.4221690158859,15247.842425941812,867.3986353887099,534.9709671136617,36636.323038854374,6804.7407591105875,100000.00000000012
55.666666666666664,36702.9344479837,2140.460917559591,1065.4205588562684,15247.375324757422,867.3715686936233,534.9307952298697,36637.524024982325,6803.982361937335,100000.00000000013
55.75,36703.02214203485,2140.466255227982,1065.4189611565937,15246.911705614235,867.3447037670641,534.890933389457,36638.71547137101,6803.229827438941,100000.00000000013
55.83333333333333,36703.10952753899,2140.471573796761,1065.4173758191866,15246.451542597255,867.3180391074023,534.8513791683902,36639.89745229382,6802.483109678339,100000.00000000015
55.916666666666664,36703.19660599349,2140.4768733603655,1065.415802747152,15245.9948099839,867.291573224157,534.8121301619193,36641.0700414442,6801.742163084948,100000.00000000013
56,36703.28337888627,2140.482154012627,1065.4142418443666,15245.54148224258,867.2653046379136,534.7731839844207,36642.233311940276,6801.006942451689,100000.00000000015
56.08333333333333,36703.36984769575,2140.4874158467715,1065.412693015475,15245.091534031273,867.2392318802421,534.7345382692422,36643.387336329375,6800.277402932014,100000.00000000015
56.166666666666664,36703.456013891024,2140.492658955429,1065.4111561658826,15244.64494019613,867.2133534936156,534.6961906685483,36644.53218659255,6799.553500036966,100000.00000000015
56.25,36703.54187893186,2140.4978834306344,1065.4096312017484,15244.201675770088,867.1876680313296,534.658138853167,36645.66793414906,6798.835189632257,100000.00000000015
56.33333333333333,36703.627444268794,2140.5030893638336,1065.40811802998,15243.761715971468,867.1621740574227,534.6203805124387,36646.79464986082,6798.122427935378,100000.00000000013
56.416666666666664,36703.71271134321,2140.5082768458874,1065.406616558227,15243.325036202632,867.1368701465958,534.5829133540655,36647.91240403678,6797.415171512729,100000.00000000013
56.5,36703.79768158738,2140.513445967076,1065.4051266948752,15242.891612048597,867.1117548841343,534.5457351039618,36649.021266437325,6796.713377276774,100000.00000000012
56.58333333333333,36703.882356424554,2140.518596817103,1065.4036483490409,15242.461419275696,867.0868268658292,534.5088435061068,36650.121306278576,6796.0170024832205,100000.00000000013
56.666666666666664,36703.966737269,2140.5237294850995,1065.4021814305636,15242.034433830227,867.0620846978998,534.4722363223972,36651.212592236705,6795.32600472822,100000.00000000012
56.75,36704.050825526116,2140.5288440596287,1065.4007258500017,15241.610631837135,867.0375269969157,534.4359113325023,36652.29519245221,6794.640341945598,100000.00000000012
56.83333333333333,36704.13462259242,2140.53394062869,1065.3992815186255,15241.189989598672,867.0131523897215,534.3998663337196,36653.36917453416,6793.959972404101,100000.0000000001
56.916666666666664,36704.21812985569,2140.5390192797227,1065.3978483484123,15240.772483593097,866.9889595133594,534.3640991408314,36654.434605564325,6793.284854704664,100000.0000000001
57,36704.301348695,2140.5440800996107,1065.39642625204,15240.358090473374,866.9649470149943,534.3286075859635,36655.491552101405,6792.614947777716,100000.0000000001
57.08333333333333,36704.384280480765,2140.5491231746873,1065.3950151428817,15239.946787065868,866.9411135518393,534.293389518444,36656.54008018513,6791.950210880489,100000.0000000001
57.166666666666664,36704.46692657482,2140.554148590737,1065.3936149349997,15239.538550369074,866.9174577910806,534.2584428046641,36657.58025534036,6791.290603594361,100000.0000000001
57.25,36704.5492883305,2140.5591564330016,1065.39222554314,15239.133357552335,866.8939784098042,534.2237653279398,36658.61214258116,6790.63608582222,100000.0000000001
57.33333333333333,36704.63136709266,2140.5641467861833,1065.3908468827276,15238.731185954579,866.8706740949223,534.1893549883741,36659.6358064148,6789.9866177858485,100000.0000000001
57.416666666666664,36704.71316419779,2140.5691197344477,1065.3894788698592,15238.332013083062,866.8475435431005,534.1552097027219,36660.651310845795,6789.342160023326,100000.0000000001
57.5,36704.79468097402,2140.574075361431,1065.3881214212997,15237.935816612126,866.8245854606862,534.1213274042543,36661.65871937982,6788.702673386463,100000.0000000001
57.58333333333333,36704.87591874122,2140.57901375024,1065.3867744544755,15237.542574381956,866.8017985636361,534.0877060426252,36662.6580950277,6788.068119038245,100000.0000000001
57.666666666666664,36704.956878811056,2140.5839349834587,1065.3854378874692,15237.15226439736,866.7791815774455,534.0543435837388,36663.64950030926,6787.438458450307,100000.00000000009
57.75,36705.03756248702,2140.5888391431504,1065.3841116390147,15236.764864826546,866.7567332370776,534.0212380096174,36664.632997257235,6786.813653400424,100000.00000000009
57.83333333333333,36705.11797106453,2140.5937263108626,1065.3827956284917,15236.380353999908,866.7344522868934,533.9883873182711,36665.6086474211,6786.193665970028,100000.00000000009
57.916666666666664,36705.19810583097,2140.5985965676305,1065.3814897759212,15235.998710408832,866.7123374805824,533.9557895235689,36666.57651187085,6785.578458541734,100000.00000000009
58,36705.277968065726,2140.60344999398,1065.3801940019584,15235.619912704498,866.6903875810929,533.92344265511,36667.536651200826,6784.9679937969,100000.00000000009
58.08333333333333,36705.35755904028,2140.608286669932,1065.3789082278893,15235.243939696698,866.6686013605638,533.8913447580965,36668.48912553341,6784.362234713203,100000.00000000007
58.166666666666664,36705.43688001828,2140.613106675008,1065.377632375625,15234.870770352669,866.6469776002568,533.8594938932073,36669.43399452281,6783.761144562229,100000.00000000009
58.25,36705.51593225552,2140.617910088229,1065.3763663676964,15234.500383795912,866.6255150904882,533.8278881364728,36670.37131735867,6783.164686907089,100000.00000000007
58.33333333333333,36705.59471700008,2140.6226969881245,1065.3751101272499,15234.132759305054,866.6042126305626,533.7965255791511,36671.3011527698,6782.572825600063,100000.00000000009
58.416666666666664,36705.67323549234,2140.6274674527326,1065.3738635780412,15233.767876312675,866.5830690287055,533.7654043276046,36672.223559027756,6781.985524780238,100000.00000000009
58.5,36705.75148896503,2140.6322215596037,1065.3726266444316,15233.405714404194,866.5620831019979,533.7345225031783,36673.13859395046,6781.402748871198,100000.00000000009
58.58333333333333,36705.829478643325,2140.6369593858067,1065.3713992513826,15233.046253316717,866.5412536763107,533.703878242078,36674.04631490576,6780.824462578708,100000.00000000009
58.666666666666664,36705.90720574486,2140.6416810079295,1065.3701813244506,15232.689472937924,866.5205795862388,533.6734696952512,36674.946778815014,6780.25063088843,100000.0000000001
58.75,36705.9846714798,2140.6463865020846,1065.368972789783,15232.335353304943,866.5000596750376,533.6432950282679,36675.84004215653,6779.681219063658,100000.0000000001
58.83333333333333,36706.06187705088,2140.651075943911,1065.3677735741117,15231.983874603258,866.479692794558,533.6133524212015,36676.72616096911,6779.116192643063,100000.0000000001
58.916666666666664,36706.13882365351,2140.6557494085787,1065.3665836047514,15231.6350171656,866.4594778051829,533.5836400685132,36677.605190855495,6778.555517438464,100000.0000000001
59,36706.215512475756,2140.660406970791,1065.3654028095912,15231.288761470854,866.4394135757644,533.5541561789346,36678.477186985794,6777.999159532619,100000.0000000001
59.08333333333333,36706.29194469841,2140.6650487047896,1065.3642311170927,15230.945088142986,866.4194989835606,533.5248989753534,36679.34220410089,6777.447085277026,100000.0000000001
59.166666666666664,36706.3681214951,2140.669674684357,1065.3630684562843,15230.60397794996,866.3997329141737,533.4958666946991,36680.20029651578,6776.899261289757,100000.00000000012
59.25,36706.44404403227,2140.674284982819,1065.3619147567567,15230.265411802671,866.3801142614875,533.4670575878291,36681.05151812299,6776.35565445329,100000.00000000012
59.33333333333333,36706.519713469286,2140.678879673049,1065.3607699486588,15229.929370753893,866.3606419276072,533.4384699194173,36681.89592239584,6775.816231912377,100000.00000000013
59.416666666666664,36706.59513095843,2140.683458827471,1065.3596339626918,15229.59583599722,866.3413148227972,533.4101019678423,36682.73356239176,6775.280961071917,100000.00000000013
59.5,36706.670297644996,2140.6880225180644,1065.3585067301062,15229.264788866029,866.3221318654217,533.3819520250761,36683.56449075558,6774.749809594856,100000.00000000013
59.58333333333333,36706.745214667346,2140.6925708163635,1065.3573881826974,15228.936210832437,866.3030919818838,533.3540183965764,36684.38875972273,6774.222745400102,100000.00000000013
59.666666666666664,36706.819883156924,2140.697103793464,1065.3562782527997,15228.61008350628,866.2841941065667,533.3262994011762,36685.20642112248,6773.699736660452,100000.00000000015
59.75,36706.89430423831,2140.7016215200256,1065.3551768732839,15228.286388634091,866.2654371817741,533.2987933709771,36686.01752638115,6773.180751800539,100000.00000000015
59.83333333333333,36706.9684790293,2140.7061240662742,1065.3540839775517,15227.965108098078,866.24682015767155,533.2714986512422,36686.82212652522,6772.665759494803,100000.00000000015
59.916666666666664,36707.04240864094,2140.710611502005,1065.3529994995315,15227.646223915137,866.2283419922285,533.2444136002894,36687.62027218454,6772.154728665467,100000.00000000015
60,36707.116094177545,2140.7150838965867,1065.351923373675,15227.329718235831,866.2100016511599,533.2175365893878,36688.41201359541,6771.647628480539,100000.00000000013
60.08333333333333,36707.189536736805,2140.7195413189647,1065.3508555349517,15227.01557334342,866.1917981078695,533.190866002652,36689.19740060364,6771.1444283518285,100000.00000000013
60.166666666666664,36707.26273740977,2140.723983837661,1065.3497959188464,15226.703771652861,866.1737303433922,533.1644002369395,36689.97648266768,6770.645097932971,100000.00000000012
60.25,36707.33569728097,2140.7284115207817,1065.348744461353,15226.394295709846,866.1557973463379,533.1381377017481,36690.7493088616,6770.149607117485,100000.00000000013
60.33333333333333,36707.408417428356,2140.7328244360183,1065.3477010989718,15226.087128189823,866.1379981128351,533.1120768191139,36691.515927878165,6769.657926036832,100000.00000000012
60.416666666666664,36707.480898923466,2140.7372226506495,1065.3466657687054,15225.782251897039,866.1203316464756,533.086216023511,36692.27638803178,6769.170025058495,100000.00000000012
60.5,36707.553142831384,2140.741606231545,1065.3456384080537,15225.47964976358,866.1027969582586,533.0605537617511,36693.03073726146,6768.68587478408,100000.00000000012
60.58333333333333,36707.62515021082,2140.745975245168,1065.3446189550107,15225.17930484843,866.0853930665363,533.0350884928844,36693.77902313384,6768.205446047422,100000.00000000012
60.666666666666664,36707.69692211417,2140.7503297575795,1065.3436073480607,15224.881200336526,866.0681189969588,533.0098186881013,36694.521292845995,6767.728709912714,100000.0000000001
60.75,36707.76845958751,2140.75466983444,1065.3426035261737,15224.585319537828,866.0509737824208,532.9847428306347,36695.25759322844,6767.255637672656,100000.0000000001
60.83333333333333,36707.83976367071,2140.7589955410112,1065.3416074288011,15224.291645886387,866.0339564630073,532.9598594156637,36695.98797074792,6766.786200846604,100000.0000000001
60.916666666666664,36707.91083539743,2140.7633069421627,1065.3406189958737,15224.00016293943,866.0170660859403,532.9351669502172,36696.712471510305,6766.320371178748,100000.0000000001
61,36707.98167579515,2140.767604102371,1065.339638167795,15223.710854376443,866.0003017055263,532.9106639530786,36697.43114126343,6765.858120636305,100000.00000000009
61.08333333333333,36708.05228588527,2140.7718870857234,1065.3386648854403,15223.423703998265,865.9836623831034,532.8863489546922,36698.14402539988,6765.399421407716,100000.00000000009
61.166666666666664,36708.12266668311,2140.776155955922,1065.337699090151,15223.13869572619,865.967147186989,532.8622204970686,36698.85116895979,6764.944245900865,100000.00000000009
61.25,36708.19281919799,2140.7804107762854,1065.3367407237317,15222.855813601072,865.9507551924287,532.8382771336929,36699.55261663357,6764.492566741319,100000.00000000009
61.33333333333333,36708.26274443321,2140.7846516097507,1065.3357897284457,15222.575041782444,865.9344854815447,532.8145174294318,36700.248412764704,6764.044356770566,100000.0000000001
