"year","sex_name","calibration_group","min_rate","max_rate","expected_rate"
2007,"male","HIV/TB_coinfection_Male",72.868674082727,181.472646406439,119.52409240816
2007,"male","TB_only_Male",59.9952418675956,153.584909583923,101.678376617287
2008,"female","HIV/TB_coinfection_Female",106.708471768005,249.687359534513,172.755887980888
2008,"female","TB_only_Female",14.0424490559552,48.4524035873986,27.1739056681486
2008,"male","HIV/TB_coinfection_Male",66.3980668561493,162.795820200426,108.848811112914
2008,"male","TB_only_Male",56.4632673630318,145.001257653955,95.7384732643026
2009,"female","HIV/TB_coinfection_Female",97.4826383362448,227.615080313914,156.845806500502
2009,"female","TB_only_Female",13.2681782758428,44.9118318073251,25.4575874839428
2009,"male","HIV/TB_coinfection_Male",59.8325404887708,146.14463847484,97.5691855554941
2009,"male","TB_only_Male",54.5775071053236,138.978388786797,91.5167575947811
