"","sim_id","HIV_neg_female","HIV_neg_male","HIV_pos_female","HIV_pos_male","hiv_prev_mse_male","hiv_prev_mse_female","hiv_prev_mse","max_perc_diff_male","max_perc_diff_female","b1_contact","b2_contact","hiv2_mort","hiv3_mort","hiv4_mort","tb_hiv1_mort","tb_hiv2_mort","tb_hiv3_mort","tb_hiv4_mort"
"66",66,13275.425845364,62058.6048692446,550445.793291971,225268.695322565,294358192.934975,63089088.724362,357447281.659337,0.0475102315099791,0.0325126065395023,6,6,12,35,1.2,14,22,40,20
"67",67,13494.6208807625,63260.5835751087,478349.507771819,189274.819256499,300543864.33068,61943787.1461485,362487651.476828,0.0479804646178461,0.0320096294516824,6,6,12,35,1.2,14,22,60,17
"68",68,13498.5204466439,63291.6686704771,471268.551333048,186934.507572563,300845596.286443,61565641.8756354,362411238.162078,0.047981530379379,0.0318573174807143,6,6,12,35,1.2,14,22,60,20
"69",69,13505.4321792358,63338.6251679821,496238.838678056,197421.475096279,301367745.0562,60957251.5582196,362324996.61442,0.0479674760899596,0.0318708752562809,6,6,12,35,1.2,14,30,40,17
"70",70,13509.5232001025,63370.9985508273,489026.287518776,194930.87296562,301680899.732538,60577424.3971603,362258324.129698,0.0479686062913952,0.0317174128418591,6,6,12,35,1.2,14,30,40,20
"71",71,13727.403167953,64565.383134515,424449.697059683,163833.303824817,307675693.089397,59726774.9525283,367402468.041925,0.0484185434007673,0.031246192142522,6,6,12,35,1.2,14,30,60,17
"72",72,13731.3245243424,64596.4697010506,417994.680458575,161748.730423734,307971039.191597,59375942.2760075,367346981.467605,0.0484195635751676,0.0310990199305064,6,6,12,35,1.2,14,30,60,20
"73",73,10092.0364561427,47133.7178285105,569658.211812348,234499.994612647,293482898.00561,63465014.2792266,356947912.284837,0.0474809020013874,0.0327082478962333,6,6,12,35,1.2,17,22,40,17
"74",74,10095.4419833572,47163.0829237212,561817.738837974,231719.704368914,293795779.298176,63062277.203871,356858056.502047,0.0474820548678296,0.0325521892887475,6,6,12,35,1.2,17,22,40,20
"75",75,10313.9399693916,48361.4908182206,490246.602525559,195762.338472242,299875991.975502,61931848.1303288,361807840.105831,0.0479433027851267,0.0320601942124296,6,6,12,35,1.2,17,22,60,17
"76",76,10317.2550699245,48390.0193868422,483220.340084434,193424.085862088,300171204.070443,61560202.4284758,361731406.498919,0.0479443383639334,0.031910628450896,6,6,12,35,1.2,17,22,60,20
