"","sim_id","HIV_neg_female","HIV_neg_male","HIV_pos_female","HIV_pos_male","hiv_prev_mse_male","hiv_prev_mse_female","hiv_prev_mse","max_perc_diff_male","max_perc_diff_female","b1_contact","b2_contact","hiv2_mort","hiv3_mort","hiv4_mort","tb_hiv1_mort","tb_hiv2_mort","tb_hiv3_mort","tb_hiv4_mort","hiv_prev_mse_male_norm","hiv_prev_mse_female_norm","hiv_prev_mse_male_norm_rank","hiv_prev_mse_female_norm_rank","tb_mort_mse_male_neg_norm","tb_mort_mse_female_neg_norm","tb_mort_mse_male_pos_norm","tb_mort_mse_female_pos_norm","tb_mort_mse_overall_norm","tbmort_rank_total","tbmort_HIV_neg_male","tbmort_HIV_neg_female","tbmort_HIV_pos_male","tbmort_HIV_pos_female"
"11",317,5446.1484683664,22799.205758355,286670.579060143,82215.9158698709,175958192.83587,103332750.972009,279290943.80788,0.039907978521386,0.0417570760507872,6,8,8,45,1.5,17,30,40,17,0.20051159302861,0.388814903479812,1935,4404,0.09385145995483,0.113334293778617,0.0561185712793713,0.294960488504713,0.146760868681915,991,798,869,763,1205
"12",318,5445.92205742642,22807.7299801884,279229.707085892,80193.3536959132,176237769.05415,102510612.0157,278748381.06985,0.0399094087731036,0.0415425758091902,6,8,8,45,1.5,17,30,40,20,0.201161395384852,0.383471287974275,1947,4367,0.0939050223205034,0.113326240755618,0.0543802517407637,0.286828917886913,0.143809003503527,985,799,868,757,1198
"13",319,5664.59708078929,23954.1617906432,225030.774658774,60172.183011616,180159240.471678,101928151.868896,282087392.340574,0.0403075000201307,0.0413589221273993,6,8,8,45,1.5,17,30,60,17,0.210275837889047,0.379685500854064,2103,4337,0.101108682789622,0.121104111350685,0.0371727746928725,0.227598971723939,0.123874082753105,929,832,886,655,1144
"14",320,5664.75166254534,23964.8420602973,218643.099162024,58745.8501879206,180424170.011767,101154087.841272,281578257.853039,0.040309050121589,0.0411532743200821,6,8,8,45,1.5,17,30,60,20,0.210891597843335,0.37465435556099,2119,4299,0.101175792787447,0.121109609540997,0.0359468928644116,0.220618360504561,0.12142665647638,921,833,887,646,1134
"15",421,5907.62979598203,23827.0451601049,173191.385928007,37450.6848524601,179606166.300059,101696083.80299,281302250.103049,0.0402475088666112,0.0417606924718826,6,9,8,45,1.2,14,30,40,17,0.208990360525818,0.378177139638725,2079,4321,0.100309939211481,0.129748340490654,0.0176444631754031,0.170947593806603,0.102589273035029,865,825,910,450,1040
"16",422,5907.55416630399,23834.8035629657,166626.64824952,36286.8678266174,179949421.716602,100723210.652267,280672632.368869,0.0402492912061673,0.041506250842548,6,9,8,45,1.2,14,30,40,20,0.209788168650686,0.371853804619467,2092,4279,0.100358689516106,0.129745650481343,0.0166442042456973,0.163773484615547,0.100146174657863,848,828,909,437,1023
"17",423,6143.01656316858,25014.3761392741,120488.251540071,27211.3835367933,185608512.034293,99019903.3023875,284628415.33668,0.0408776345060962,0.0411362217243585,6,9,8,45,1.2,14,30,60,17,0.222941255294664,0.360782902923762,2333,4201,0.107770591611738,0.138120617245507,0.0088441514876371,0.113352293076001,0.0858371751405406,808,854,932,261,883
"18",424,6143.28350787615,25024.2770581295,115259.617479489,26778.653968216,185933688.763692,98116039.614974,284049728.378666,0.040879253637279,0.0408929250725287,6,9,8,45,1.2,14,30,60,20,0.223697044203531,0.35490810526591,2345,4158,0.107832804520623,0.138130111980478,0.00847223596697885,0.107638311267769,0.0840257474706445,797,856,933,249,853
"19",429,3635.83745825142,13728.3921474599,184180.291005899,41052.2501732855,178560750.680955,101856474.704106,280417225.385061,0.0401781412809072,0.0418473147782809,6,9,8,45,1.2,17,30,40,17,0.206560563253621,0.379219624366607,2033,4331,0.0368545580583111,0.0489448424505005,0.0207398792013596,0.182956543559051,0.0782688069298854,745,519,577,498,1064
"20",430,3631.23343781345,13708.8764910324,177508.15558497,39789.5509846762,178895658.437122,100898005.74141,279793664.178531,0.0401798690322004,0.0415969245313182,6,9,8,45,1.2,17,30,40,20,0.207338969408553,0.372989911528732,2046,4286,0.0367319304746612,0.0487810858648928,0.0196546346045776,0.175665067434404,0.0756985138796052,734,517,575,483,1049
