"","sim_id","HIV_neg_female","HIV_neg_male","HIV_pos_female","HIV_pos_male","tb_mort_mse_total","hiv_prev_mse_male","hiv_prev_mse_female","hiv_prev_mse","max_perc_diff_male","max_perc_diff_female","b1_contact","b2_contact","hiv2_mort","hiv3_mort","hiv4_mort","tb_hiv1_mort","tb_hiv2_mort","tb_hiv3_mort","tb_hiv4_mort"
"16",16,11290.515158242,53171.8604833482,338721.210905734,139239.203772776,542422.7903201,181593472.295989,24980533.8327431,206574006.128732,0.0363382769611145,0.0199328634201729,6,6,8,35,1.2,17,30,60,20
"17",17,14209.8329266123,66149.6990219603,492191.587515727,203788.968426781,776340.087891081,170788729.193027,28915124.5102314,199703853.703259,0.035285541816199,0.021140251799652,6,6,8,35,1.5,14,22,40,17
"18",18,14212.2229451894,66171.2189405797,486966.563461774,201511.325090797,768861.33043834,171022225.615826,28679551.3929069,199701777.008733,0.0352909548010808,0.0209955838516357,6,6,8,35,1.5,14,22,40,20
"19",19,14487.1243028765,67711.2098831586,382524.726414498,159502.981620935,624226.042221469,177493206.034956,25991648.4024997,203484854.437456,0.0359415369729732,0.0200507138289072,6,6,8,35,1.5,14,22,60,17
"20",20,14489.4378764425,67731.9146849729,378247.246453803,157686.990091943,618155.589107162,177713475.203563,25787534.6849593,203501009.888522,0.0359462343692411,0.0199138350201497,6,6,8,35,1.5,14,22,60,20
"21",21,14509.3081132778,67801.7249579356,426395.0992006,171695.953087585,680402.085359399,177594069.450587,26424639.2245977,204018708.675184,0.0359001652346043,0.0201639997210311,6,6,8,35,1.5,14,30,40,17
"22",22,14511.7725641028,67823.5317667534,421742.59184018,169701.022570914,673778.91874195,177825402.967192,26211478.0044838,204036880.971676,0.0359053716004847,0.020024268111846,6,6,8,35,1.5,14,30,40,20
"23",23,14790.6583106384,69370.8028265321,329520.577547072,134111.992043284,547794.030727526,183316319.727674,24136581.2010845,207452900.928758,0.036399954964672,0.0196305156873294,6,6,8,35,1.5,14,30,60,17
"24",24,14793.0576131275,69391.8869930965,325708.954327886,132520.08665996,542413.98559407,183534891.108657,23950010.1015149,207484901.210172,0.0364045987867824,0.0196305156873294,6,6,8,35,1.5,14,30,60,20
"25",25,10743.3310785184,50036.7826655795,505670.007929114,211162.64081735,777612.762490562,170154046.606704,28984772.153282,199138818.759986,0.0352385828170142,0.0211978207271587,6,6,8,35,1.5,17,22,40,17
"26",26,10744.9180165998,50054.981595714,500457.468806081,208881.307572151,770138.675990545,170382272.25277,28752804.3427107,199135076.595481,0.0352438807609754,0.0210557394364279,6,6,8,35,1.5,17,22,40,20
