"sim_id","HIV_neg_female","HIV_neg_male","HIV_pos_female","HIV_pos_male","hiv_prev_mse_male","hiv_prev_mse_female","b1_contact","b2_contact","hiv2_mort","hiv3_mort","hiv4_mort","tb_hiv1_mort","tb_hiv2_mort","tb_hiv3_mort","tb_hiv4_mort","hiv_prev_mse_male_norm","hiv_prev_mse_female_norm","hiv_prev_mse_male_norm_rank","hiv_prev_mse_female_norm_rank","tb_mort_mse_male_neg_norm","tb_mort_mse_female_neg_norm","tb_mort_mse_male_pos_norm","tb_mort_mse_female_pos_norm","tb_mort_mse_overall_norm","tbmort_rank_total","tbmort_HIV_neg_male","tbmort_HIV_neg_female","tbmort_HIV_pos_male","tbmort_HIV_pos_female"
5431,1787.10940173791,5132.89427217117,44356.3381646335,159048.212376055,111042769.418797,141709867.17125,12,6,8,45,1.5,14,30,60,17,0.238706191929035,0.355270274959119,2645,3665,0.000221764229811667,0.0146845539787246,0.0704436974045388,0.0205100704751574,0.0302673940056161,489,4,386,742,591
5432,1783.26061276685,5091.15754562424,47509.9551493227,164402.487998632,111374365.970658,140195625.100862,12,6,8,45,1.5,14,30,60,20,0.239792383006759,0.349982524261665,2659,3628,2.66535099618644e-05,0.0145421972906543,0.0730719777493014,0.0225451427202072,0.0315989063009758,510,2,381,763,619
5543,1396.91895926952,7235.27667172095,108533.043266574,281375.770040079,116227669.956384,136620461.544506,12,7,8,45,1.2,14,30,60,17,0.255690061849305,0.337498012070174,2804,3549,0.0100499749524353,0.000252424931362587,0.130491244093293,0.0619241775039404,0.0597851064559296,797,285,3,1012,968
5544,1390.09433933055,7163.11647593724,115682.404531173,289474.778054198,116615473.057267,134954379.508024,12,7,8,45,1.2,14,30,60,20,0.256960365372454,0.331680034467577,2815,3514,0.00971264069293046,0,0.134466845103787,0.0665377582748639,0.0622439091521814,822,279,1,1023,995
5559,1399.64272808413,7244.71859808549,108243.812268771,280393.678805145,116999643.451118,133595563.072794,12,7,8,45,1.5,14,30,60,17,0.258218769453514,0.32693503187281,2823,3488,0.0100941140405279,0.000353170051563483,0.130009160003588,0.0617375327785679,0.059613464653065,796,286,4,1010,966
5560,1392.79575674128,7172.45882701132,115360.416759129,288468.619726029,117397117.203708,131949637.076614,12,7,8,45,1.5,14,30,60,20,0.259520750554552,0.3211874393944,2836,3457,0.00975631428676404,9.99183999378398e-05,0.133972947078348,0.0663299751543033,0.0620621232071359,816,280,2,1021,994
2893,1568.3166675816,6398.97218116068,27919.988673393,32380.3227725348,174867440.254442,109350679.065257,9,7,12,35,1.2,17,30,40,17,0.447772865304634,0.242271618520625,3530,2865,0.00614042131306744,0.0065919801217296,0.00826559003298801,0.00990346896902709,0.00799719798756394,2,155,159,257,365
2894,1561.41982562633,6332.33766718789,26415.1006144177,34417.0363808879,175360007.086549,108066540.6844,9,7,12,35,1.2,17,30,40,20,0.449386337143273,0.237787392549237,3548,2812,0.005828918493759,0.00633688388593241,0.00926536193904619,0.00893234408747165,0.00789247228389364,1,143,153,272,341
3660,1709.97939242811,5466.81866865853,28584.9411017225,33990.8385329252,174936346.778353,108879949.931683,10,6,12,35,1.2,17,22,60,20,0.447998578301493,0.240627826980921,3533,2845,0.00178279296312178,0.0118317156551065,0.00905615204666465,0.0103325718809348,0.00853951890192549,3,15,311,269,375
5457,1631.31367214841,5546.67170462879,22160.7395680214,46202.2979878,167989074.004547,114376303.210666,12,6,12,35,1.5,14,22,40,17,0.425241810599665,0.259821155744365,3318,3024,0.00215608968807774,0.00892207537919875,0.0150504528874315,0.00618694661911183,0.0085868528654183,4,28,226,354,229
