"","sim_id","HIV_neg_female","HIV_neg_male","HIV_pos_female","HIV_pos_male","tb_mort_mse_total","hiv_prev_mse_male","hiv_prev_mse_female","hiv_prev_mse","max_perc_diff_male","max_perc_diff_female","b1_contact","b2_contact","hiv2_mort","hiv3_mort","hiv4_mort","tb_hiv1_mort","tb_hiv2_mort","tb_hiv3_mort","tb_hiv4_mort","tbmort_rank_total","tbmort_HIV_neg_male","tbmort_HIV_neg_female","tbmort_HIV_pos_male","tbmort_HIV_pos_female"
"938",3475,8278.0621617819,29102.3294367794,370651.073157327,453726.202172747,861757.666928636,224638453.503144,20353708.5278363,244992162.03098,0.0410600633738152,0.018142617586871,9,12,8,35,1.5,14,22,60,17,1456,1035,1115,1470,1371
"939",3476,8250.8459210466,28963.7725198445,388820.643532385,462884.631947352,888919.893920628,225492254.541453,19790578.7854745,245282833.326927,0.0410687297106419,0.018142617586871,9,12,8,35,1.5,14,22,60,20,1466,1027,1113,1474,1399
"940",3477,8234.47039841875,29050.34396933,277100.162707473,381009.790982795,695394.768058017,224366685.26058,20912702.9582255,245279388.218806,0.0411040075378125,0.0187059144464965,9,12,8,35,1.5,14,30,40,17,1367,1033,1112,1418,1229
"941",3478,8205.80849806267,28904.7300849991,294662.826682295,389674.76850698,721448.133772337,225267912.530034,20301487.366664,245569399.896698,0.0411138195902024,0.0182187992560345,9,12,8,35,1.5,14,30,40,20,1389,1025,1109,1424,1263
"942",3479,7452.25148396993,25143.3467581621,559115.195071269,608911.382981825,1200622.17629523,248420126.83292,17900727.254342,266320854.087262,0.042842738258206,0.0181717096671865,9,12,8,35,1.5,14,30,60,17,1538,931,1035,1540,1540
"943",3480,7440.03794796178,25054.4504653534,582236.521478307,619547.578178333,1234278.58806996,249815243.43883,17447635.1191336,267262878.557964,0.0429034513501663,0.0181717096671865,9,12,8,35,1.5,14,30,60,20,1542,928,1034,1546,1552
"944",3481,19050.8170123725,75964.0880868886,124982.582630033,227517.688800151,447515.176529446,198310461.850385,26463746.2637753,224774208.114161,0.0390405348879362,0.0218354512764428,9,12,8,35,1.5,17,22,40,17,1124,1535,1543,1258,849
"945",3482,18995.4468334873,75717.8816004092,138197.666349674,235054.089674039,467965.08445761,198980465.507421,25802265.0666613,224782730.574083,0.0390508576681604,0.0214029302512632,9,12,8,35,1.5,17,22,40,20,1167,1533,1541,1268,893
"946",3483,17468.0013826973,67955.0921804989,336342.024168393,420496.765994375,842261.883725964,221940483.089889,20157544.6032874,242098027.693176,0.040878656215619,0.0181505055676069,9,12,8,35,1.5,17,22,60,17,1446,1497,1523,1446,1325
"947",3484,17422.2515649604,67718.4052354382,353656.049919331,429278.535897627,868075.242617357,222777413.740455,19594653.4952369,242372067.235692,0.0408870288418322,0.0180284876022126,9,12,8,35,1.5,17,22,60,20,1460,1495,1521,1452,1348
"948",3485,17320.501081607,67625.9416368733,247074.380169536,349719.448428076,681740.271316093,220772354.086554,21111596.9590219,241883951.045576,0.0408149494779445,0.0189704791274051,9,12,8,35,1.5,17,30,40,17,1350,1493,1519,1392,1177
"949",3486,17288.1431512066,67443.217129164,263560.653937306,358094.082266663,706386.09648434,221549318.482734,20595867.6215839,242145186.104318,0.0408250104254916,0.0186667184847105,9,12,8,35,1.5,17,30,40,20,1375,1491,1517,1402,1208
"950",3487,15827.1822133113,60195.6347501638,512634.780767763,566555.375367759,1155212.973099,244981245.576808,17555957.4058044,262537202.982612,0.0426230698953666,0.0180540551942385,9,12,8,35,1.5,17,30,60,17,1522,1461,1499,1520,1514
"951",3488,15798.1254191314,60035.4471137185,532202.127058735,575918.007329481,1183953.70692107,245712620.85563,17233793.0680944,262946413.923724,0.0426308347168666,0.0180540551942385,9,12,8,35,1.5,17,30,60,20,1532,1459,1497,1526,1525
"952",3585,6943.54994987484,29521.5397933994,216114.217422381,61500.2231685771,314079.530334232,167219501.31084,42609706.8326194,209829208.143459,0.0365794027095543,0.0282312596184335,10,6,8,35,1.2,14,22,40,17,945,1050,967,649,1109
"953",3586,6947.04691647591,29530.4323570799,211355.495820779,60369.9286264689,308202.903720803,167356370.308323,42291228.8167773,209647599.125101,0.0365860324901488,0.0280976690823273,10,6,8,35,1.2,14,22,40,20,941,1052,970,631,1093
"954",3587,7215.50943433227,31191.8337356898,126041.745219142,36806.7277085065,201255.816097671,177188519.604417,37008605.5846,214197125.189017,0.0374803855047434,0.0266473978583224,10,6,8,35,1.2,14,22,60,17,709,1084,1014,407,854
"955",3588,7214.74685520767,31202.1460506814,122812.512702903,36375.7467927897,197605.152401582,177530253.65911,36518685.8008746,214048939.459984,0.037486133844299,0.0264084956805471,10,6,8,35,1.2,14,22,60,20,703,1086,1012,403,843
"956",3589,7235.95049512308,31280.5945695424,157181.653231084,42248.7807525457,237946.979048295,177575241.397963,37643393.569968,215218634.967931,0.0375046585378851,0.0267897323313655,10,6,8,35,1.2,14,30,40,17,807,1089,1020,472,963
"957",3590,7242.89705380916,31307.2046473961,153834.044440403,41599.9384969584,233984.084638566,177713778.32944,37407674.2623999,215121452.59184,0.0375109712217232,0.0266825045042941,10,6,8,35,1.2,14,30,40,20,789,1091,1022,465,945
"958",3591,7519.41971285008,33005.7569499435,87856.8474676632,28650.7643824713,157032.788512928,187259216.550172,32885205.9941197,220144422.544291,0.038325786954697,0.0251104511102293,10,6,8,35,1.2,14,30,60,17,584,1111,1042,294,687
"959",3592,7519.03284424374,33017.9575637424,85646.4050890803,28525.3605783239,154708.75607539,187599072.29553,32451863.2413951,220050935.536925,0.0383313336240465,0.0248825379651148,10,6,8,35,1.2,14,30,60,20,572,1114,1040,292,673
"960",3593,4483.38551463735,17252.2705231717,232223.835488685,68113.3474243718,322072.838950865,166590933.065916,42655804.9162255,209246737.982141,0.0365321743186109,0.0283160245351039,10,6,8,35,1.2,17,22,40,17,957,697,549,689,1143
"961",3594,4486.78363790742,17265.2638708155,227523.460993034,66974.6018680894,316250.110369847,166730032.180747,42395517.7199758,209125549.900723,0.0365386161713084,0.0282038139439399,10,6,8,35,1.2,17,22,40,20,949,699,551,681,1133
"962",3595,4661.56235884735,18493.2495053951,140496.629891293,41245.6710796727,204897.112835208,175847511.353706,37454593.6547443,213302105.00845,0.0373517438606675,0.0267206099807572,10,6,8,35,1.2,17,22,60,17,719,746,593,463,899
"963",3596,4657.94670216398,18491.1816141078,137070.781472672,40711.0915597298,200931.001348673,176180114.062604,36970075.6696857,213150189.73229,0.0373574693014209,0.0264870707068276,10,6,8,35,1.2,17,22,60,20,707,745,591,454,887
"964",3597,4672.08799708443,18563.7157392046,172665.84101482,47590.7818050401,243492.426556149,176376430.070133,38123492.4789024,214499922.549035,0.0374343091000183,0.0270081620949232,10,6,8,35,1.2,17,30,40,17,827,752,599,531,1007
"965",3598,4669.1462427816,18557.2599395523,168637.261535087,46732.431311675,238596.099029095,176933997.982581,37392857.8821516,214326855.864732,0.0374404397171111,0.0267418791799286,10,6,8,35,1.2,17,30,40,20,811,750,596,524,995
"966",3599,4860.11662449783,19872.6092521776,99994.0051966458,31255.7507155556,155982.481788877,185994015.577434,33177965.7280159,219171981.30545,0.0382266514458224,0.0252947086880048,10,6,8,35,1.2,17,30,60,17,581,805,663,338,743
"967",3600,4857.06558028645,19873.4303875535,97563.5111977229,31023.206913075,153317.214078638,186323322.350981,32750562.4589107,219073884.809892,0.0382320419790533,0.0250718768753797,10,6,8,35,1.2,17,30,60,20,565,806,661,334,727
"968",3601,6944.25861494574,29518.5971943343,216139.213821661,61523.396958285,314125.466589227,168619454.627147,40505299.370777,209124753.997924,0.0365984219179587,0.0272380775226936,10,6,8,35,1.5,14,22,40,17,946,1048,969,650,1110
"969",3602,6947.74935162879,29527.4588880758,211385.166433983,60393.5549532778,308253.929626966,168759635.444794,40197964.8626821,208957600.307476,0.0366050445206994,0.0271054030535067,10,6,8,35,1.5,14,22,40,20,942,1051,972,632,1094
"970",3603,7215.93963558673,31188.3410949134,126053.244981363,36806.8923489652,201264.418060829,178648571.011919,35089423.3175473,213737994.329466,0.0374990832246274,0.0256611574168999,10,6,8,35,1.5,14,22,60,17,710,1083,1015,408,855
"971",3604,7215.16773312553,31198.6150207986,122826.15174145,36373.5456536415,197613.480149015,178994306.009908,34618053.3845505,213612359.394459,0.0375048251267603,0.0254235770539907,10,6,8,35,1.5,14,22,60,20,704,1085,1013,402,844
"972",3605,7236.34551572341,31277.0455338583,157195.060385633,42259.7292373279,237968.180672543,179045275.218208,35691760.5203076,214737035.738515,0.0375234992116158,0.0257984747735904,10,6,8,35,1.5,14,30,40,17,808,1088,1021,473,964
"973",3606,7243.28535991624,31303.6215314066,153850.296857881,41609.9320851496,234007.135834353,179187073.836555,35464322.5504705,214651396.387026,0.0375298050660034,0.0256918457366438,10,6,8,35,1.5,14,30,40,20,790,1090,1023,466,946
"974",3607,7519.54104583315,33001.6569170664,87860.6607957392,28641.2163371775,157023.075095816,188788356.62096,31108000.8133844,219896357.434344,0.0383445599029353,0.0241259245050615,10,6,8,35,1.5,14,30,60,17,583,1110,1043,293,688
"975",3608,7519.14455748873,33013.8225946876,85650.8354425413,28512.4631141467,154696.265708864,189132047.286291,30692375.5671571,219824422.853448,0.0383501004009595,0.0238992832173711,10,6,8,35,1.5,14,30,60,20,571,1113,1041,291,674
"976",3609,4486.44719384175,17253.17415738,232250.252256765,68139.5704980609,322129.444106048,167984529.863301,40544405.0784586,208528934.941759,0.0365511641449261,0.027322491615614,10,6,8,35,1.5,17,22,40,17,958,698,550,690,1144
"977",3610,4489.8415626172,17266.1540984866,227555.073951832,67001.7555051457,316312.825118082,168126769.856933,40292585.0664926,208419354.923426,0.0365575990333529,0.0272109036885991,10,6,8,35,1.5,17,22,40,20,950,700,553,682,1134
"978",3611,4664.16658100382,18493.2626341526,140509.548451415,41249.7243795332,204916.702046105,177305990.422396,35509770.7773057,212815761.199702,0.037370909374996,0.0257330251916232,10,6,8,35,1.5,17,22,60,17,720,747,594,464,900
"979",3612,4660.53930957524,18491.1669688168,137086.381538959,40713.3594098643,200951.447227216,177642537.462489,35043472.8197453,212686010.282234,0.0373766283998207,0.025500784282891,10,6,8,35,1.5,17,22,60,20,708,744,592,455,888
"980",3613,4674.66405870233,18563.6695208797,172680.735994929,47605.1137264383,243524.18330095,177838010.783785,36146960.9209882,213984971.704773,0.0374531132926694,0.026015290864777,10,6,8,35,1.5,17,30,40,17,828,751,602,532,1008
"981",3614,4671.72068818826,18557.2000367509,168655.497435044,46746.4107354704,238630.828895454,178403223.708963,35443246.4957202,213846470.204683,0.0374592372890453,0.0257502974279482,10,6,8,35,1.5,17,30,40,20,812,749,598,525,997
"982",3615,4862.26187834294,19871.7315312892,99999.0848439103,31250.1960404679,155983.27429401,187513519.877347,31382614.8991396,218896134.776487,0.0382454001426628,0.0243094503935705,10,6,8,35,1.5,17,30,60,17,582,803,665,337,744
"983",3616,4859.19958530349,19872.5261496788,97569.765225061,31014.9029580635,153316.393918107,187846623.16934,30972561.0292026,218819184.198543,0.0382507846886069,0.0240878626319441,10,6,8,35,1.5,17,30,60,20,564,804,662,333,728
"984",3713,4896.93956295652,18108.6623031664,119788.850161402,28198.57049164,170993.022519165,172139471.707838,40790669.3854262,212930141.093264,0.0369615988927036,0.0275445512147644,10,7,8,35,1.2,14,22,40,17,629,731,671,285,829
"985",3714,4892.85954177825,18102.9926032671,116398.465701994,27894.4547870819,167288.772634122,172575664.721935,40138246.2946446,212713911.01658,0.0369695777040901,0.0272446114436429,10,7,8,35,1.2,14,22,40,20,609,729,669,282,815
