"","sim_id","HIV_neg_female","HIV_neg_male","HIV_pos_female","HIV_pos_male","tb_mort_mse_total","hiv_prev_mse_male","hiv_prev_mse_female","hiv_prev_mse","max_perc_diff_male","max_perc_diff_female","b1_calib_id","b2_calib_id","mh2_calib_id","mh3_calib_id","mh4_calib_id","mtb_calib_id","mtbh2_calib_id","mtbh3_calib_id","mtbh4_calib_id","norm_hiv_prev_mse","norm_tb_mort_mse","norm_hiv_prev_tb_mort_mse","tbmort_rank_total","tbmort_HIV_neg_male","tbmort_HIV_neg_female","tbmort_HIV_pos_male","tbmort_HIV_pos_female","hivprev_rank_total","hivprev_male","hivprev_female","hiv_tb_rank"
"27",27,13832.5896152822,62896.0551772872,385413.841618737,186985.840624546,649128.327035853,609367465.778396,18502079.9790112,627869545.757407,0.0612235326613004,0.0194693017363633,6,6,10,50,1.2,15,30,70,15,0.613592109940831,0.49880074977205,1.11239285971288,4391,4232,4136,4160,4435,2665,2621,2251,4448
"28",28,13628.2335005991,61765.6616958398,442727.864852441,210959.5578301,729081.31787898,604484973.863748,18502022.2526196,622986996.116368,0.0609952211960785,0.0196383632336135,6,6,10,50,1.2,15,30,50,25,0.595581919232325,0.543681375198074,1.1392632944304,4489,4194,4080,4282,4547,2501,2492,2250,4501
"29",29,13622.4048166338,61737.2669304569,450321.858675826,213319.927957294,739001.458380211,603278396.070039,18900436.9275405,622178832.99758,0.0609951305916257,0.0198513882233611,6,6,10,50,1.2,15,30,50,20,0.592594060760012,0.549074542961761,1.14166860372177,4512,4192,4078,4289,4563,2482,2467,2295,4502
"30",30,13618.8735818874,61704.4805961938,458517.124578792,215861.87921277,749702.357969643,602513498.796803,19221269.6655071,621734768.46231,0.0609852480981237,0.0200992154088868,6,6,10,50,1.2,15,30,50,15,0.590951484439246,0.554851748817502,1.14580323325675,4522,4190,4076,4307,4572,2468,2452,2319,4511
"31",31,13552.9932329364,61362.7509637951,427985.52166567,210647.977751328,713549.243613729,599817002.898156,18759816.9934827,618576819.891639,0.0607270104776096,0.0197871574835386,6,6,10,50,1.2,15,22,70,25,0.5792534048113,0.535162993682357,1.11441639849366,4454,4180,4074,4280,4515,2409,2414,2278,4455
"32",32,13549.7281089234,61332.132305558,435471.412496562,212919.287891421,723272.560802464,599105224.015046,19067633.9012421,618172857.916288,0.0607179492528667,0.020025499518734,6,6,10,50,1.2,15,22,70,20,0.577754844731889,0.540506353056608,1.1182611977885,4471,4178,4072,4287,4527,2406,2401,2311,4464
"33",33,13546.3658065473,61300.5710244324,443499.684998538,215371.345605469,733717.967434987,598356757.232626,19390246.802838,617747004.035464,0.0607085199220196,0.0202724564201838,6,6,10,50,1.2,15,22,70,15,0.576174542952822,0.546206665715925,1.12238120866875,4500,4176,4070,4302,4550,2400,2395,2330,4476
"34",34,13339.7827411494,60157.5090240878,508246.090486419,243348.735651894,825092.11790355,593147819.37826,19525996.0873616,612673815.465622,0.0604612078809893,0.0204637341579695,6,6,10,50,1.2,15,22,50,25,0.557306378114612,0.594436128209157,1.15174250632377,4564,4132,4026,4385,4607,2356,2357,2336,4518
"35",35,13334.0217333492,60129.4068607265,516856.315018535,246041.041290707,836360.784903318,591917512.881692,19963437.2836627,611880950.165355,0.0604607184674311,0.0206871757126194,6,6,10,50,1.2,15,22,50,20,0.554350511061314,0.600194900745936,1.15454541180725,4577,4130,4024,4391,4609,2354,2355,2346,4523
"36",36,13330.618024936,60097.2042773502,526099.563444083,248932.656683367,848460.042429736,591124776.816537,20320021.5294444,611444798.345982,0.0604504448118915,0.020945174104662,6,6,10,50,1.2,15,22,50,15,0.552723684681915,0.606335115470097,1.15905880015201,4585,4126,4022,4400,4621,2353,2353,2351,4529
