"","sim_id","HIV_neg_female","HIV_neg_male","HIV_pos_female","HIV_pos_male","hiv_prev_mse_male","hiv_prev_mse_female","hiv_prev_mse","max_perc_diff_male","max_perc_diff_female","b1_contact","b2_contact","hiv2_mort","hiv3_mort","hiv4_mort","tb_hiv1_mort","tb_hiv2_mort","tb_hiv3_mort","tb_hiv4_mort","hiv_prev_mse_male_norm","hiv_prev_mse_female_norm","hiv_prev_mse_male_norm_rank","hiv_prev_mse_female_norm_rank"
"18",18,20491.9403486436,91059.1337579377,667236.240930011,255982.675546653,40718440.4922143,371771349.415979,412489789.908193,0.0196827767705426,0.0682536647506061,6,6,8,35,1.5,14,22,40,20,0,0.980955089067777,1,6262
"19",19,20658.5391267716,92074.0563404766,586635.056215707,214052.213982471,42860709.6702432,361687041.945467,404547751.61571,0.0202155167731044,0.0676644926360074,6,6,8,35,1.5,14,22,60,17,0.00742742702984628,0.949336694644458,72,6193
"20",20,20660.8268829441,92092.6241164426,581601.670002919,212133.949746215,42845704.9797196,360992214.451956,403837919.431676,0.0202164577534966,0.0675604077317881,6,6,8,35,1.5,14,22,60,20,0.0073754045085346,0.947158128609038,71,6189
"21",21,20650.3575391332,91997.6297038491,620646.826753481,228675.213727088,42230028.6320824,363823372.215189,406053400.847272,0.0201204347455989,0.0677268673155567,6,6,8,35,1.5,14,30,40,17,0.00524080294073104,0.956034956600877,27,6220
"22",22,20652.7346649511,92016.8550864208,615421.120467498,226598.094833797,42215924.4832544,363111507.511558,405327431.994812,0.0201214657262267,0.0676212787954095,6,6,8,35,1.5,14,30,40,20,0.00519190267305563,0.953802972000916,25,6211
"23",23,20814.0341491921,92985.1550006992,540142.891565079,188887.635162601,43892506.9643675,354004461.110963,397896968.07533,0.0206193882647868,0.0670768653374744,6,6,8,35,1.5,14,30,60,17,0.0110047548420087,0.925248687438741,224,6077
"24",24,20816.3026243568,93003.5672354281,535437.744634258,187147.457127672,43882632.5423823,353335113.300082,397217745.842464,0.0206203040636098,0.0669754925443386,6,6,8,35,1.5,14,30,60,20,0.0109705193922764,0.923150010543704,221,6061
"25",25,17518.842062412,76482.1712534356,680715.654372582,263076.121502828,41427117.4158514,371774210.852836,413201328.268687,0.019685717448268,0.0683551666932228,6,6,8,35,1.5,17,22,40,17,0.00245704236985435,0.980964060833009,8,6263
"26",26,17521.3458207078,76502.1835893006,675173.604566701,260801.62405272,41406904.1516225,371045283.605414,412452187.757036,0.0196867518455403,0.0682480962636771,6,6,8,35,1.5,17,22,40,20,0.00238696128637772,0.978678578237176,7,6261
"27",27,17699.4217559408,77543.8634446556,594624.931116312,218729.05357109,42811184.1855476,361938406.120083,404749590.305631,0.0201819250809958,0.0676929618575014,6,6,8,35,1.5,17,22,60,17,0.0072557180179877,0.950124823292872,68,6199
"28",28,17701.8206194604,77563.1185154615,589628.833535497,216814.696114968,42795833.500609,361252940.786621,404048774.28723,0.0201828477365821,0.0675901764842168,6,6,8,35,1.5,17,22,60,20,0.00720249590500166,0.947975611426783,65,6191
