"","sim_id","HIV_neg_female","HIV_neg_male","HIV_pos_female","HIV_pos_male","tb_mort_mse_total","hiv_prev_mse_male","hiv_prev_mse_female","hiv_prev_mse","max_perc_diff_male","max_perc_diff_female","b1_contact","b2_contact","hiv2_mort","hiv3_mort","hiv4_mort","tb_hiv1_mort","tb_hiv2_mort","tb_hiv3_mort","tb_hiv4_mort","tbmort_rank_total","tbmort_HIV_neg_male","tbmort_HIV_neg_female","tbmort_HIV_pos_male","tbmort_HIV_pos_female"
"807",3207,3984.18268466108,9383.18953158457,232401.138850432,234998.728840769,480767.239907447,272453952.882192,15460203.7422318,287914156.624424,0.0434561465428431,0.0175151395773167,9,10,8,35,1.2,14,30,60,17,4793,667,1117,5313,4531
"808",3208,3980.50226628243,9365.45252692728,243011.761262859,239657.514840852,496015.230896921,272833684.492942,15522028.5564002,288355713.049342,0.043469285604482,0.0175151395773167,9,10,8,35,1.2,14,30,60,20,4857,657,1106,5346,4635
"809",3209,8208.37175465937,25015.9941418365,40845.2643517195,61594.2602903985,135663.890538614,230174864.175468,10410290.8652329,240585155.040701,0.040087055069676,0.0173123797203191,9,10,8,35,1.2,17,22,40,17,2161,3727,4264,2834,1290
"810",3210,8198.58038838858,24952.8093885728,47157.1168084401,64750.1316550755,145058.638240477,230736264.788338,10385937.2796832,241122202.068022,0.0401434948722685,0.0173123797203191,9,10,8,35,1.2,17,22,40,20,2301,3712,4254,2936,1566
"811",3211,7315.04276905883,21127.7050341124,126778.740457963,145649.268014839,300870.756275973,250737523.916334,12351170.6615721,263088694.577906,0.0417691426695177,0.0173649576238061,9,10,8,35,1.2,17,22,60,17,3823,3319,3925,4543,3342
"812",3212,7300.79398372469,21058.3581873207,135613.663419277,149662.856281656,313635.671871978,251283024.052286,12385287.6511555,263668311.703441,0.0417824424629554,0.0173649576238061,9,10,8,35,1.2,17,22,60,20,3934,3315,3922,4586,3489
"813",3213,7363.89024305325,21430.6788048034,79276.5161978354,109769.874816636,217840.960062328,250013607.204204,11531364.3840911,261544971.588295,0.0417553192180056,0.017324216371101,9,10,8,35,1.2,17,30,40,17,3149,3361,3933,3967,2462
"814",3214,7354.72201272643,21382.5002059477,87167.4149467265,113427.990302113,229332.627467514,250413502.748251,11534765.5744275,261948268.322678,0.0417709332588622,0.017324216371101,9,10,8,35,1.2,17,30,40,20,3233,3351,3929,4036,2635
"815",3215,6523.70221908635,17916.6981224085,204135.02873425,210790.433302954,439365.862378698,269448337.94841,14959328.5840488,284407666.532459,0.0432729707578357,0.0173764503461472,9,10,8,35,1.2,17,30,60,17,4596,2886,3543,5174,4279
"816",3216,6504.23820443362,17836.4688463188,213650.97448579,214912.534414042,452904.215950584,269901771.705047,15013231.1698512,284915002.874898,0.0432855930756129,0.0173764503461472,9,10,8,35,1.2,17,30,60,20,4664,2873,3532,5213,4365
"817",3217,4623.65940709032,11710.9739912918,45539.2362221766,70801.6398851055,132675.509505664,233021483.792893,10430959.0228162,243452442.815709,0.0402848069617931,0.0174469270781185,9,10,8,35,1.5,14,22,40,17,2106,1652,2065,3134,1477
