"","sim_id","HIV_neg_female","HIV_neg_male","HIV_pos_female","HIV_pos_male","hiv_prev_mse_male","hiv_prev_mse_female","hiv_prev_mse","max_perc_diff_male","max_perc_diff_female","b1_contact","b2_contact","hiv2_mort","hiv3_mort","hiv4_mort","tb_hiv1_mort","tb_hiv2_mort","tb_hiv3_mort","tb_hiv4_mort"
"34",34,16407.0559208733,69563.705276903,572932.908902673,206764.962036897,99148629.5199112,230116876.670166,329265506.190077,0.0301263109017114,0.0585614932395717,6,6,8,45,1.2,14,22,40,20
"35",35,16611.3305060405,70721.7358441571,491203.742043017,167788.790376475,101925063.422256,224269322.520473,326194385.942729,0.0305775467109694,0.0580240697153109,6,6,8,45,1.2,14,22,60,17
"36",36,16614.0235512684,70743.0901913547,485597.666738809,165834.984819736,101999816.038969,223574610.413106,325574426.452075,0.0305785176559822,0.0578974612253145,6,6,8,45,1.2,14,22,60,20
"37",37,16638.6079315654,70864.5056391654,518500.084785432,176362.075110108,102574319.695558,224302495.498814,326876815.194371,0.0305370371447554,0.0579724858522346,6,6,8,45,1.2,14,30,40,17
"38",38,16641.439804777,70886.8181656491,512733.454891363,174260.538701989,102654470.182406,223597189.863319,326251660.045726,0.0305383099631588,0.0578449103320839,6,6,8,45,1.2,14,30,40,20
"39",39,16833.3428277709,72005.7151011402,438092.619614762,140799.225244275,106007797.615345,216410110.514188,322417908.129533,0.0311009151194903,0.0572401150461173,6,6,8,45,1.2,14,30,60,17
"40",40,16836.0334259056,72027.0829070541,432976.08480154,139099.239136307,106086435.643126,215749607.55275,321836043.195876,0.0311018554955256,0.0571176292616843,6,6,8,45,1.2,14,30,60,20
"41",41,13231.3608475224,54392.3733288686,589001.402933257,214923.446213238,98412173.7493904,231316394.649017,329728568.398408,0.0300739756578664,0.0587342953719709,6,6,8,45,1.2,17,22,40,17
"42",42,13234.0114242045,54412.8156130709,582766.234562395,212533.704646044,98485510.0822561,230590146.037794,329075656.12005,0.0300750043251869,0.0586045681821657,6,6,8,45,1.2,17,22,40,20
"43",43,13450.8930660434,55607.4178191902,501987.40468312,173697.983268929,101561894.537881,224524852.948767,326086747.486647,0.0305374692119114,0.058066158359762,6,6,8,45,1.2,17,22,60,17
"44",44,13453.4755893777,55627.4719506378,496420.285611767,171738.570579678,101634602.375326,223841726.187815,325476328.56314,0.0305384137756174,0.057941555911797,6,6,8,45,1.2,17,22,60,20
"45",45,13476.4393624939,55734.5708600891,528835.966841038,182187.766114042,101814530.175247,224910314.59707,326724844.772317,0.0304755801908412,0.0580289194662834,6,6,8,45,1.2,17,30,40,17
"46",46,13479.1643473699,55755.5865290806,523110.277808235,180083.206471686,101892448.03825,224216357.549161,326108805.58741,0.0304768198193665,0.0579033482614773,6,6,8,45,1.2,17,30,40,20
"47",47,13683.5405539838,56914.9123522197,449227.073002345,146612.741970411,105547484.788743,216811913.874491,322359398.663234,0.031050315050524,0.0572973499766005,6,6,8,45,1.2,17,30,60,17
"48",48,13686.1450650787,56935.2044881312,444137.564721107,144901.293341116,105623924.71327,216162220.079561,321786144.792831,0.0310512299519553,0.0571768079245509,6,6,8,45,1.2,17,30,60,20
