"","year","gender","year_gender","hiv_incidence","PLHIV_2b_CD4_350_more","PLHIV_2a_CD4_350_less","PLHIV_2_CD4_200_more","PLHIV_3_CD4_200_less","art_coverage","hiv_prevalence","n1_prop","n2_prop","n3_prop","n4_prop","n2_prop_eligible","eta_24","eta_34"
"61",1991,"Females","1991_Females",0.0428778257507453,0.715549118866258,0.212489431279096,0.928038550145354,0.0719614498546447,0,0.12557594422916,0.87442405577084,0.116539317215564,0.00903662701359636,0,0,0,0
"62",1992,"Females","1992_Females",0.0482594329863607,0.693443834640843,0.22605009693771,0.919493931578553,0.0805060684214495,0,0.153506697247382,0.846493302752618,0.141148476575634,0.0123582206717485,0,0,0,0
"63",1993,"Females","1993_Females",0.0531975074826597,0.670510764971904,0.239462849248432,0.909973614220336,0.0900263857796647,0,0.182350481668406,0.817649518331594,0.165934126858618,0.0164163548097876,0,0,0,0
"64",1994,"Females","1994_Females",0.0576677481197471,0.647494955067429,0.252256546936378,0.899751502003807,0.100248497996193,0,0.211301339701394,0.788698660298606,0.190118697771746,0.0211826419296481,0,0,0,0
"65",1995,"Females","1995_Females",0.0602721796431423,0.624967749051987,0.264121388206022,0.889089137258009,0.110910862741992,0,0.239677975524954,0.760322024475046,0.213095084479228,0.0265828910457267,0,0,0,0
"66",1996,"Females","1996_Females",0.0600111623745737,0.601292261654154,0.276285268538641,0.877577530192795,0.122422469807205,0,0.265518644868303,0.734481355131697,0.233013196583663,0.0325054482846398,0,0,0,0
"67",1997,"Females","1997_Females",0.0589622541640323,0.576080283548953,0.288907057698693,0.864987341247646,0.135012658752354,0,0.287352092147438,0.712647907852562,0.248555922188561,0.038796169958877,0,0,0,0
"68",1998,"Females","1998_Females",0.057258295424496,0.550860736715611,0.300824841588756,0.851685578304367,0.148314421695632,0,0.305074002500346,0.694925997499654,0.259827128245135,0.0452468742552106,0,0,0,0
"69",1999,"Females","1999_Females",0.0549816311602348,0.52662493780908,0.311418646726259,0.838043584535339,0.161956415464663,0,0.318715530075923,0.681284469924077,0.267097505271907,0.0516180248040165,0,0,0,0
"70",2000,"Females","2000_Females",0.0543626169037416,0.503960069105927,0.320445932342891,0.824406001448818,0.175593998551184,0,0.328452416461837,0.671547583538163,0.270778143321505,0.0576742731403327,0,0,0,0
"71",2001,"Females","2001_Females",0.0551259187034329,0.485475423931571,0.326451887021033,0.811927310952604,0.188072689047395,0,0.33612223578563,0.66387776421437,0.272906823052804,0.063215412732826,0,0,0,0
"72",2002,"Females","2002_Females",0.0557156776902753,0.471634511342501,0.329577122016628,0.801211633359129,0.19878836664087,0,0.342602063161067,0.657397936838933,0.274496758617486,0.0681053045435807,0,0,0,0
"73",2003,"Females","2003_Females",0.0561628451794714,0.461380943204949,0.33089205297015,0.792272996175099,0.207727003824902,0,0.348031294553769,0.651968705446231,0.275735796498813,0.0722954980549564,0,0,0,0
"74",2004,"Females","2004_Females",0.0563526418716989,0.453599691831529,0.331107317547796,0.784707009379325,0.21205170511114,0.00324128550953642,0.352615286996776,0.647384713003224,0.276699687320672,0.0747726728559203,0.00114292682018368,0,0,0.0557273965716127
"75",2005,"Females","2005_Females",0.0561098123979208,0.44679381486462,0.330382959050342,0.777176773914962,0.207764851111086,0.0150583749739516,0.356685320269274,0.643314679730726,0.277207546509699,0.0741066724592557,0.00537110130031875,0,0,0.111223472787225
"76",2006,"Females","2006_Females",0.0553727898276837,0.439277329538629,0.328490803524329,0.767768133062958,0.194065163699395,0.0381667032376474,0.360616310269202,0.639383689730798,0.276869711287438,0.0699830632850645,0.0137635356967,0,0,0.176195480353543
"77",2007,"Females","2007_Females",0.054199844260432,0.429744680616384,0.325105722091521,0.754850402707905,0.172789489316545,0.0723601079755513,0.364697007462506,0.635302992537494,0.275291682949441,0.0630158096747186,0.0263895148383474,0,0,0.227299637115566
"78",2008,"Females","2008_Females",0.0528569278643016,0.417727663975648,0.320084577569187,0.737812241544835,0.15055266226058,0.111635096194586,0.369017200804857,0.630982799195143,0.272265408094432,0.0555565220011183,0.0411952707093071,0,0,0.244037233999674
"79",2009,"Females","2009_Females",0.051534749310352,0.403982278182925,0.313709251009391,0.717691529192316,0.133932919343738,0.148375551463945,0.373388058599324,0.626611941400676,0.267977446758299,0.0500089527362982,0.0554016591047265,0,0,0.271600899443948
"80",2010,"Females","2010_Females",0.0500463627807634,0.389503777622194,0.306369007751731,0.695872785373925,0.119375361803217,0.184751852822858,0.377576777648832,0.622423222351168,0.262745403955004,0.0450733644403221,0.069758009253506,0,0,0.372534441723657
"81",2011,"Females","2011_Females",0.0481417421968398,0.374402364516684,0.288432862818369,0.662835227335053,0.10794148607717,0.229223286587779,0.381541583450921,0.618458416549079,0.252899202204467,0.041184165517929,0.0874582157285255,0.435150171450635,0.0733244894309975,0.16850387347099
"82",2012,"Females","2012_Females",0.0456705723566028,0.359209239986966,0.234859377925632,0.594068617912598,0.109917482366181,0.296013899721219,0.384550170612207,0.615449829387793,0.228449188373648,0.0422687865971792,0.11383219564138,0.395340489034527,0.0730118504485063,0.184680933204719
"83",2013,"Females","2013_Females",0.0430407712349595,0.343362074996644,0.195679138403859,0.539041213400503,0.101271174572192,0.359687612027304,0.386604888004086,0.613395111995914,0.208395967936288,0.0391519311035245,0.139056988964273,0.363013316123699,0.0751724910165602,0.207079155715998
"84",2014,"Females","2014_Females",0.0403316631350704,0.326546044566647,0.164336276519503,0.49088232108615,0.0879378467858631,0.421179832127986,0.388073355542828,0.611926644457172,0.190498349520554,0.034126335281401,0.163448670740873,0.334777337582426,0.0809303553342999,0.241743828655588
"85",2015,"Females","2015_Females",0.0375207501305778,0.301153733851476,0.1418735858452,0.443027319696676,0.0748071357367696,0.482165544566557,0.389101879903614,0.610898120096386,0.172382762942636,0.0291075971453819,0.187611519815597,0.320236652543991,0.0980396925627004,0.306147631084273
"86",2016,"Females","2016_Females",0.0346609174895146,0.247228882006907,0.13396771756342,0.381196599570327,0.0703015662491669,0.548501834180508,0.389300147976519,0.610699852023481,0.148399892620874,0.0273684101437817,0.213531845211864,1,0.0839371876051124,0.0839371876051124
"87",2017,"Females","2017_Females",0.0327877900221015,0.215249517328307,0.128835780257837,0.344085297586144,0.0695153819855941,0.586399320428263,0.388336289449647,0.611663710550353,0.133620807718781,0.0269953454999604,0.227720136230906,1,0.0350440484515208,0.0350440484515208
"88",2018,"Females","2018_Females",0.0315790976486857,0.200277618302848,0.12712727954529,0.327404897848138,0.0717015394691078,0.600893562682757,0.387372430922775,0.6135842960486,0.126407327332436,0.0277744642734716,0.232233912345506,1,0.0149732815452831,0.0149732815452831
"89",2019,"Females","2019_Females",0.0305889870749763,NA,NA,0.318143268030452,0.0748897788885106,0.606869495735243,0.383720067185335,0.61627993281468,0.122077956183207,0.0287367109865942,0.232905400015534,1,0.00699431058173804,0.00699431058173804
"90",2020,"Females","2020_Females",0.029814133834596,NA,NA,0.312725334877457,0.0775630272158649,0.609618490934281,0.380362319472875,0.619637680527136,0.118948933731921,0.0295020529371641,0.23191133280379,1,0.0032485081937616,0.0032485081937616
"91",2021,"Females","2021_Females",0.0290181068697038,NA,NA,0.309669446171984,0.0793554409456376,0.610886345876471,0.377136592820144,0.622863407179869,0.116787679829803,0.0299278406199779,0.230421072370363,1,0.00244412565871282,0.00244412565871282
"92",2022,"Females","2022_Females",0.0282650592186683,NA,NA,0.306986428012108,0.0810935684554167,0.611837171584953,0.372846828586932,0.62715317141308,0.114458916103545,0.0302354798173994,0.228152432665988,1,0.00160270816919066,0.00160270816919066
"93",2023,"Females","2023_Females",0.0275653954891841,NA,NA,0.305012400825837,0.0824516842458144,0.612459150565591,0.368192783641386,0.631807216358625,0.112303364905207,0.030358115138387,0.225531303597792,1,0.0010893133426082,0.0010893133426082
"94",2024,"Females","2024_Females",0.0269142929726172,NA,NA,0.303560061862332,0.0834884344470663,0.612881220363241,0.363264532218349,0.636735467781658,0.110272603872593,0.0303283870850558,0.2226635412607,1,0.000723381676380821,0.000723381676380821
"95",2025,"Females","2025_Females",0.026306997857149,NA,NA,0.302516483571551,0.0842587649566267,0.613161204153342,0.358145384888091,0.641854615111918,0.108344882443725,0.0301768878055863,0.21962361463878,1,0.000446386013458848,0.000446386013458848
"96",2026,"Females","2026_Females",0.0257390980559824,NA,NA,0.301810695286828,0.08479862671714,0.613333855214637,0.352911251632998,0.647088748367009,0.1065123902299,0.0299263894915053,0.216472471911593,1,0.000221646346709487,0.000221646346709487
"97",2027,"Females","2027_Females",0.0252059968330434,NA,NA,0.301381183929611,0.085149134806415,0.613419545758463,0.347629791158957,0.652370208841052,0.10476907802869,0.0296003759501199,0.213260337180147,1,4.0840422711562e-05,4.0840422711562e-05
"98",2028,"Females","2028_Females",0.0247037096118389,NA,NA,0.301177612882178,0.0853433658710627,0.613435331820071,0.342359904700993,0.657640095299016,0.103111138844415,0.029218146606479,0.210030619250099,1,0,0
