"sim_id","HIV_neg_female","HIV_neg_male","HIV_pos_female","HIV_pos_male","hiv_prev_mse_male","hiv_prev_mse_female","b1_contact","b2_contact","hiv2_mort","hiv3_mort","hiv4_mort","tb_hiv1_mort","tb_hiv2_mort","tb_hiv3_mort","tb_hiv4_mort","hiv_prev_mse_male_norm","hiv_prev_mse_female_norm","hiv_prev_mse_male_norm_rank","hiv_prev_mse_female_norm_rank","tb_mort_mse_male_neg_norm","tb_mort_mse_female_neg_norm","tb_mort_mse_male_pos_norm","tb_mort_mse_female_pos_norm","tb_mort_mse_overall_norm","tbmort_rank_total","tbmort_HIV_neg_male","tbmort_HIV_neg_female","tbmort_HIV_pos_male","tbmort_HIV_pos_female"
43,19543.86051553,77923.88896571,892629.174555756,374659.631318852,179392028.600206,44198323.0652835,6,6,8,45,1.2,17,22,60,17,0.223480272830684,0.19062077313672,63,53,0.491128944352651,0.460898014515383,0.60369357315199,0.638795041162936,0.54862889329574,51,54,34,83,85
44,19547.2675163869,77949.3675437934,882096.179755535,370785.493240376,179665158.221725,43845278.0269958,6,6,8,45,1.2,17,22,60,20,0.224276561219803,0.185374910174711,64,50,0.491625211746433,0.461242291505154,0.593077080096177,0.62226468989265,0.542052318310104,45,56,36,77,81
45,19615.9353475692,78257.6333949809,947790.579871214,378871.11300652,181283643.919609,44490035.7381555,6,6,8,45,1.2,17,30,40,17,0.228995131699323,0.194955304259406,70,56,0.497629561363591,0.468181166840436,0.615234505660366,0.725364665825435,0.576602474922457,57,58,38,89,108
46,19619.7052903496,78285.6751595909,936729.571254135,374670.488516454,181575384.900334,44125813.9232964,6,6,8,45,1.2,17,30,40,20,0.229845680073718,0.189543366627334,72,52,0.498175754066908,0.468562119063973,0.603723325669999,0.708005656226366,0.569616713756812,55,61,40,84,99
47,20100.2654740728,81053.6339288687,809390.46937644,326880.360394947,186886826.111714,42459763.9176605,6,6,8,45,1.2,17,30,60,17,0.245330778111033,0.164787686559404,79,40,0.552089582382943,0.517122662604411,0.472761663214743,0.508161250679239,0.512533789720334,37,80,66,53,53
48,20103.9339235701,81081.6297775173,799753.201000823,323513.283506056,187157068.983192,42138768.8782446,6,6,8,45,1.2,17,30,60,20,0.246118650402598,0.160018051511062,80,38,0.552634880743004,0.517493358944992,0.463534695129145,0.493036641339108,0.506674894039062,35,82,68,51,51
49,23733.2701289413,97927.0702237672,1027698.97293683,424234.236644934,174981801.804323,45908167.8994472,6,6,8,45,1.5,14,22,40,17,0.210622596056491,0.216027196435642,61,59,0.880747493621306,0.884237306515417,0.739545327149384,0.850771905824363,0.838825508277617,134,95,91,114,136
50,23737.6019461315,97961.9064327142,1015454.48582096,419378.176407716,175286668.421139,45505558.4179436,6,6,8,45,1.5,14,22,40,20,0.211511411212646,0.210044860081569,62,57,0.881426027351358,0.884675036074379,0.726238024016989,0.831555559762408,0.830973661801284,132,97,93,112,128
51,24192.1154827235,100661.338998015,870226.965470903,361696.337075081,181197321.519747,43070056.6489603,6,6,8,45,1.5,14,22,60,17,0.228743465386646,0.173855968755457,69,47,0.934005113966264,0.930603569338186,0.568169613878551,0.603637292352952,0.759103897383988,116,119,109,72,76
52,24196.2811968037,100695.31120003,859615.315177313,357828.955315489,181481027.550282,42720822.263394,6,6,8,45,1.5,14,22,60,20,0.2295705884822,0.168666727923217,71,43,0.93466681871681,0.931024514199662,0.55757163549905,0.586983500127896,0.752561617135854,110,121,113,66,68
53,24249.9050709671,100958.283493273,923729.670121991,365287.4833163,184351949.239641,42937130.6673276,6,6,8,45,1.5,14,30,40,17,0.237940539696558,0.171880834117911,77,46,0.939788948145603,0.936443199651178,0.578010610342804,0.687603772785881,0.785461632731367,122,123,115,74,94
54,24254.3301347661,100994.315646395,912653.790300153,361114.040297019,184655862.812184,42583435.7332914,6,6,8,45,1.5,14,30,40,20,0.23882657632549,0.166625314416205,78,42,0.940490776272091,0.936890351767728,0.566573917087291,0.670221424502691,0.77854411740745,120,125,117,70,90
55,24711.8693905652,103742.023774438,783544.774953541,313320.227463551,189839571.597859,40988107.8916555,6,6,8,45,1.5,14,30,60,17,0.253939280307053,0.142920488320109,85,35,0.994010166055682,0.983124633560595,0.435602157232783,0.467599338731266,0.720084073895081,102,143,139,46,44
56,24716.0839769834,103776.799432553,773911.344602131,309990.938249509,190121025.91,40677432.4935982,6,6,8,45,1.5,14,30,60,20,0.254759838690943,0.138304191850456,86,33,0.994687520386983,0.983550516965421,0.426478740589982,0.452480752738676,0.714299382670266,100,145,141,44,40
57,19059.7563581439,75223.4239074314,1049117.54388648,437607.506156123,174223870.527686,45990095.053353,6,6,8,45,1.5,17,22,40,17,0.208412905756403,0.217244544296815,59,60,0.438529747015808,0.411979352901099,0.77619276201699,0.884385945157015,0.627771951772728,70,21,13,118,142
58,19063.1975183887,75248.3184282301,1036974.05737851,432749.306380973,174521847.094686,45593181.263147,6,6,8,45,1.5,17,22,40,20,0.209281633502639,0.211346839683119,60,58,0.439014638241517,0.412327081692533,0.762879595802501,0.865328108195152,0.619887355982926,68,23,15,116,138
59,19542.4069700911,77917.6865193618,893016.786431793,375008.04203713,180519034.941896,42925836.4766326,6,6,8,45,1.5,17,22,60,17,0.226765973075722,0.171713014802449,67,45,0.491008134161665,0.460751133939413,0.60464834035343,0.639403354428911,0.548952740720855,52,53,33,86,86
60,19545.8104790933,77943.1453489476,882475.522301288,371122.74263302,180797853.016174,42582702.5129676,6,6,8,45,1.5,17,22,60,20,0.227578845711029,0.166614419564494,68,41,0.491504016897582,0.461095058077718,0.594001261362449,0.622860025374342,0.542365090428023,46,55,35,78,82
61,19614.309650173,78250.9884046764,948081.801265289,379162.906074233,182434260.671104,43197700.1290536,6,6,8,45,1.5,17,30,40,17,0.232349666276888,0.175752611200317,73,48,0.497500131376983,0.46801689033176,0.616034120701016,0.725821705065726,0.576843211868871,58,57,37,90,110
62,19618.0762582378,78279.0116294957,937014.250721486,374952.321971888,182731871.158001,42843745.2452041,6,6,8,45,1.5,17,30,40,20,0.233217326744759,0.170493228928826,74,44,0.498045962965421,0.46839750558272,0.604495647890297,0.708452428648075,0.569847886271628,56,59,39,85,100
63,20098.5489438955,81046.420633005,809744.099165575,327188.662746653,188068912.296237,41244073.9842574,6,6,8,45,1.5,17,30,60,17,0.248777059398434,0.146723864374403,81,36,0.551949083037685,0.516949207455114,0.473606519466556,0.508716232879926,0.51280526070982,38,79,65,54,54
64,20102.2141162622,81074.3977735165,800099.221523186,323811.281013653,188344491.543263,40932604.5296672,6,6,8,45,1.5,17,30,60,20,0.249580489482173,0.142095769093539,82,34,0.552494017003845,0.517319572642083,0.464351312504668,0.493579681650992,0.506936145950397,36,81,67,52,52
65,23798.6704401141,97538.9200993987,1015737.79684265,442769.757774548,308683496.479456,32508925.0827552,6,6,12,35,1.2,14,22,40,17,0.600419596042823,0.0169291098233358,89,31,0.873187171770302,0.890845999382267,0.790339136603859,0.83200018456248,0.846593123079727,139,91,97,123,130
