"sim_id","HIV_neg_female","HIV_neg_male","HIV_pos_female","HIV_pos_male","hiv_prev_mse_male","hiv_prev_mse_female","b1_contact","b2_contact","hiv2_mort","hiv3_mort","hiv4_mort","tb_hiv1_mort","tb_hiv2_mort","tb_hiv3_mort","tb_hiv4_mort","hiv_prev_mse_male_norm","hiv_prev_mse_female_norm","hiv_prev_mse_male_norm_rank","hiv_prev_mse_female_norm_rank"
14,19729.5771721391,77547.1544295836,854803.395384845,316744.899106454,108862187.055859,92242628.5230843,6,6,8,35,1.2,17,30,40,20,0.0178559483948687,0.904506581471287,18,136
15,20245.4984269264,80569.985088013,714188.36363429,265429.689149673,114360507.973931,84871291.6464756,6,6,8,35,1.2,17,30,60,17,0.0338858798331652,0.794976581307452,39,112
16,20249.1726935251,80597.4011885613,704820.500933649,262456.438278597,114542586.499261,84296241.8989594,6,6,8,35,1.2,17,30,60,20,0.0344167157594259,0.786431971287047,40,110
17,23827.5942014608,97079.6749404348,937958.314831975,359667.735667302,104039184.677485,96039316.9748632,6,6,8,35,1.5,14,22,40,17,0.00379485618070429,0.960921217473744,7,145
18,23831.9733916165,97114.4217428057,925777.136789586,355143.149451919,104236226.021064,95331078.0282369,6,6,8,35,1.5,14,22,40,20,0.00436931505190309,0.950397561692094,8,143
19,24351.8217379144,100235.097876565,769251.360181679,294487.755920409,109868261.917738,88164170.8599442,6,6,8,35,1.5,14,22,60,17,0.0207890822184533,0.843905163303916,25,123
20,24356.0216098635,100269.050825977,758905.470690788,291044.728379124,110055645.801677,87540843.6561267,6,6,8,35,1.5,14,22,60,20,0.0213353855093909,0.834643203108757,26,121
21,24355.7120825272,100192.15939499,841648.510176483,307465.097704648,110930229.381257,89414407.1557691,6,6,8,35,1.5,14,30,40,17,0.0238851666201378,0.862482306633381,29,127
22,24360.1677208593,100228.061840968,830612.085038168,303593.946744165,111135262.560175,88764997.7345491,6,6,8,35,1.5,14,30,40,20,0.0244829250721469,0.852832793227158,30,125
23,24872.7866463494,103311.627650768,690443.536239541,253099.995000214,116383731.118479,82363365.428796,6,6,8,35,1.5,14,30,60,17,0.0397844311863406,0.757711541921583,49,103
24,24877.0490300625,103346.566037646,681045.245526224,250159.18977841,116577448.081488,81791004.9232417,6,6,8,35,1.5,14,30,60,20,0.0403491980818604,0.749206891094124,50,101
25,19165.7406295189,74406.130359937,959975.854247224,372793.816828238,103387911.436469,96403762.1698919,6,6,8,35,1.5,17,22,40,17,0.00189611917414435,0.966336474290709,4,146
26,19169.1841368259,74430.0689835542,947866.46565911,368247.381234705,103579653.698842,95705774.0076959,6,6,8,35,1.5,17,22,40,20,0.00245512898194904,0.955965133949138,6,144
27,19701.894580455,77510.5689157288,791940.989549468,307288.626904311,109074338.993029,88344582.4943586,6,6,8,35,1.5,17,22,60,17,0.0184744610386398,0.846585882782314,19,124
28,19705.3014415409,77535.3048471297,781638.922319624,303805.130125474,109256937.201729,87731142.7966403,6,6,8,35,1.5,17,22,60,20,0.0190068120617653,0.837470840108739,21,122
29,19714.579638952,77478.6682763079,865442.983245268,320715.610820327,109493633.92245,90264854.8768675,6,6,8,35,1.5,17,30,40,17,0.0196968831328005,0.875119029196804,23,131
30,19718.3272919699,77505.6665412943,854416.170013906,316798.995640572,109693474.117199,89621477.3969405,6,6,8,35,1.5,17,30,40,20,0.0202795018391606,0.865559143837959,24,128
31,20243.8652043396,80562.9620798737,714572.181878159,265719.04713433,115132301.655683,82804294.2102892,6,6,8,35,1.5,17,30,60,17,0.0361359849083956,0.764263261143973,43,104
32,20247.5360609682,80590.3575130844,705194.792759944,262733.613032023,115320631.772163,82239839.4342746,6,6,8,35,1.5,17,30,60,20,0.0366850468674775,0.755876080806911,44,102
33,23735.0369712567,97934.4327057154,1027393.43803101,423915.2360506,173893999.880194,47280478.9337404,6,6,8,45,1.2,14,22,40,17,0.207451193273339,0.236418236802815,57,63
34,23739.3702067619,97969.2770636093,1015155.89819064,419070.143005857,174192492.401993,46866946.342325,6,6,8,45,1.2,14,22,40,20,0.208321425246078,0.230273594987677,58,61
35,24193.7604394206,100668.542479274,869835.217171953,361350.543239541,180073366.285575,44341672.9524744,6,6,8,45,1.2,14,22,60,17,0.225466660410734,0.192750795604873,65,55
36,24197.9274082525,100702.522145285,859232.161206626,357494.694147823,180351299.71299,43982383.3301862,6,6,8,45,1.2,14,22,60,20,0.226276953926203,0.18741214495753,66,51
37,24251.709192802,100965.916176651,923443.99488894,365003.902748912,183201807.517404,44207035.4719952,6,6,8,45,1.2,14,30,40,17,0.234587390030232,0.190750229967214,75,54
38,24256.1354474638,101001.955233455,912374.766469495,360840.57876068,183499787.988739,43842959.1657253,6,6,8,45,1.2,14,30,40,20,0.235456129159254,0.185340454433562,76,49
39,24713.7394605114,103750.139951687,783198.593586227,313022.904163338,188658008.239629,42180458.8019544,6,6,8,45,1.2,14,30,60,17,0.250494523279471,0.160637518159678,83,39
40,24717.9553426985,103784.923628777,773572.903234943,309704.105194991,188934070.206582,41860152.3458835,6,6,8,45,1.2,14,30,60,20,0.251299360696007,0.155878114706384,84,37
41,19061.2703428254,75229.5255292474,1048813.65790976,437286.466426271,173141086.251054,47365822.8428773,6,6,8,45,1.2,17,22,40,17,0.205256131538327,0.23768635390806,55,64
42,19064.7153559626,75254.4416652853,1036676.86057625,432438.930371934,173432788.130049,46958167.4450607,6,6,8,45,1.2,17,22,40,20,0.206106565914638,0.231629040758891,56,62
43,19543.86051553,77923.88896571,892629.174555756,374659.631318852,179392028.600206,44198323.0652835,6,6,8,45,1.2,17,22,60,17,0.223480272830684,0.19062077313672,63,53
44,19547.2675163869,77949.3675437934,882096.179755535,370785.493240376,179665158.221725,43845278.0269958,6,6,8,45,1.2,17,22,60,20,0.224276561219803,0.185374910174711,64,50
45,19615.9353475692,78257.6333949809,947790.579871214,378871.11300652,181283643.919609,44490035.7381555,6,6,8,45,1.2,17,30,40,17,0.228995131699323,0.194955304259406,70,56
46,19619.7052903496,78285.6751595909,936729.571254135,374670.488516454,181575384.900334,44125813.9232964,6,6,8,45,1.2,17,30,40,20,0.229845680073718,0.189543366627334,72,52
47,20100.2654740728,81053.6339288687,809390.46937644,326880.360394947,186886826.111714,42459763.9176605,6,6,8,45,1.2,17,30,60,17,0.245330778111033,0.164787686559404,79,40
48,20103.9339235701,81081.6297775173,799753.201000823,323513.283506056,187157068.983192,42138768.8782446,6,6,8,45,1.2,17,30,60,20,0.246118650402598,0.160018051511062,80,38
49,23733.2701289413,97927.0702237672,1027698.97293683,424234.236644934,174981801.804323,45908167.8994472,6,6,8,45,1.5,14,22,40,17,0.210622596056491,0.216027196435642,61,59
50,23737.6019461315,97961.9064327142,1015454.48582096,419378.176407716,175286668.421139,45505558.4179436,6,6,8,45,1.5,14,22,40,20,0.211511411212646,0.210044860081569,62,57
51,24192.1154827235,100661.338998015,870226.965470903,361696.337075081,181197321.519747,43070056.6489603,6,6,8,45,1.5,14,22,60,17,0.228743465386646,0.173855968755457,69,47
52,24196.2811968037,100695.31120003,859615.315177313,357828.955315489,181481027.550282,42720822.263394,6,6,8,45,1.5,14,22,60,20,0.2295705884822,0.168666727923217,71,43
53,24249.9050709671,100958.283493273,923729.670121991,365287.4833163,184351949.239641,42937130.6673276,6,6,8,45,1.5,14,30,40,17,0.237940539696558,0.171880834117911,77,46
54,24254.3301347661,100994.315646395,912653.790300153,361114.040297019,184655862.812184,42583435.7332914,6,6,8,45,1.5,14,30,40,20,0.23882657632549,0.166625314416205,78,42
55,24711.8693905652,103742.023774438,783544.774953541,313320.227463551,189839571.597859,40988107.8916555,6,6,8,45,1.5,14,30,60,17,0.253939280307053,0.142920488320109,85,35
56,24716.0839769834,103776.799432553,773911.344602131,309990.938249509,190121025.91,40677432.4935982,6,6,8,45,1.5,14,30,60,20,0.254759838690943,0.138304191850456,86,33
57,19059.7563581439,75223.4239074314,1049117.54388648,437607.506156123,174223870.527686,45990095.053353,6,6,8,45,1.5,17,22,40,17,0.208412905756403,0.217244544296815,59,60
58,19063.1975183887,75248.3184282301,1036974.05737851,432749.306380973,174521847.094686,45593181.263147,6,6,8,45,1.5,17,22,40,20,0.209281633502639,0.211346839683119,60,58
59,19542.4069700911,77917.6865193618,893016.786431793,375008.04203713,180519034.941896,42925836.4766326,6,6,8,45,1.5,17,22,60,17,0.226765973075722,0.171713014802449,67,45
60,19545.8104790933,77943.1453489476,882475.522301288,371122.74263302,180797853.016174,42582702.5129676,6,6,8,45,1.5,17,22,60,20,0.227578845711029,0.166614419564494,68,41
61,19614.309650173,78250.9884046764,948081.801265289,379162.906074233,182434260.671104,43197700.1290536,6,6,8,45,1.5,17,30,40,17,0.232349666276888,0.175752611200317,73,48
62,19618.0762582378,78279.0116294957,937014.250721486,374952.321971888,182731871.158001,42843745.2452041,6,6,8,45,1.5,17,30,40,20,0.233217326744759,0.170493228928826,74,44
63,20098.5489438955,81046.420633005,809744.099165575,327188.662746653,188068912.296237,41244073.9842574,6,6,8,45,1.5,17,30,60,17,0.248777059398434,0.146723864374403,81,36
64,20102.2141162622,81074.3977735165,800099.221523186,323811.281013653,188344491.543263,40932604.5296672,6,6,8,45,1.5,17,30,60,20,0.249580489482173,0.142095769093539,82,34
65,23798.6704401141,97538.9200993987,1015737.79684265,442769.757774548,308683496.479456,32508925.0827552,6,6,12,35,1.2,14,22,40,17,0.600419596042823,0.0169291098233358,89,31
66,23802.8984502991,97573.0602404109,1003932.17891525,438131.065360127,309157133.641586,32295110.3287029,6,6,12,35,1.2,14,22,40,20,0.601800448733799,0.0137520565372911,90,25
67,24287.5531913522,100534.764070364,847977.829435365,376065.980749392,318526289.361394,32182600.5504443,6,6,12,35,1.2,14,22,60,17,0.629115501103627,0.0120802843421817,97,21
68,24291.5911833731,100567.895123942,837844.779880171,372368.472304078,318960803.041261,32010705.9543187,6,6,12,35,1.2,14,22,60,20,0.630382292293348,0.0095261187332882,99,17
69,24293.4386649582,100514.93438952,920909.803509075,389494.521080454,319904126.154563,32319184.8982739,6,6,12,35,1.2,14,30,40,17,0.633132478223875,0.0141097782983769,102,26
70,24297.7188596699,100549.918790657,910127.266084022,385418.598731071,320366578.720853,32137490.8046838,6,6,12,35,1.2,14,30,40,20,0.634480723086542,0.0114100028799121,105,20
71,24786.6150036996,103518.558816353,770681.263951646,332766.141697387,329606620.262963,32567408.5390871,6,6,12,35,1.2,14,30,60,17,0.661419353009034,0.0177981099909914,113,32
72,24790.6958789678,103552.412170145,761402.263348772,329514.380403806,330030023.325209,32422745.0725353,6,6,12,35,1.2,14,30,60,20,0.66265375204825,0.0156485691708723,114,28
73,19132.7876432708,74845.6270659342,1037536.89181072,456321.623546622,307778797.380588,32465124.4463006,6,6,12,35,1.2,17,22,40,17,0.597782015453543,0.0162782802929062,87,29
74,19136.1598358087,74870.1505988455,1025827.94406609,451686.730186547,308242811.261291,32253760.9348869,6,6,12,35,1.2,17,22,40,20,0.599134812208212,0.0131376497902843,88,22
75,19646.645973433,77802.9890584488,872078.991351923,389864.94196614,317740067.997848,32264448.5451134,6,6,12,35,1.2,17,22,60,17,0.626823333232607,0.0132964559837143,95,23
76,19649.9648175509,77827.9914300159,862002.222340323,386153.478077155,318165631.205603,32094271.2095985,6,6,12,35,1.2,17,22,60,20,0.62806403000979,0.010767806988445,96,19
77,19641.7630806829,77760.3931672687,943688.027974337,403228.488386882,318722163.746559,32266631.0092796,6,6,12,35,1.2,17,30,40,17,0.629686557797388,0.0133288850131398,98,24
78,19645.281571882,77786.7373333307,932980.306338776,399144.591027985,319174894.121003,32086375.8695627,6,6,12,35,1.2,17,30,40,20,0.631006458358036,0.0106504908747076,100,18
79,20153.7691274599,80732.3872295385,794313.714844699,346278.716139463,328203664.357769,32475039.2751266,6,6,12,35,1.2,17,30,60,17,0.657329143051065,0.0164256038003123,111,30
80,20157.2078804617,80758.9067474656,785081.259555382,343006.088736366,328617975.002475,32330803.9997651,6,6,12,35,1.2,17,30,60,20,0.658537033846773,0.0142824254327479,112,27
81,23791.6327885126,97547.4109530042,1015714.28387146,443109.585221009,310460149.603623,31774041.3615213,6,6,12,35,1.5,14,22,40,17,0.60559929147974,0.00600954184611153,93,13
82,23795.8557607538,97581.4944591733,1003909.62189302,438462.413038035,310939430.352735,31570704.3003665,6,6,12,35,1.5,14,22,40,20,0.606996597614182,0.00298817561168167,94,7
83,24285.9402161692,100528.053614799,848377.720138254,376431.233973113,320347142.00188,31531655.4587731,6,6,12,35,1.5,14,22,60,17,0.634424056828394,0.00240795255340615,104,6
84,24289.9771558794,100561.179372578,838236.119710218,372723.334236236,320786838.420394,31369600.9583851,6,6,12,35,1.5,14,22,60,20,0.635705957893733,0,107,1
85,24291.6668660553,100507.814764053,921203.932756708,389798.029466734,321737113.518273,31642722.9103155,6,6,12,35,1.5,14,30,40,17,0.638476411800206,0.00405829335172779,109,10
86,24295.9460903071,100542.794533083,910414.716692912,385712.875594928,322204986.032217,31471301.0258336,6,6,12,35,1.5,14,30,40,20,0.639840458103092,0.00151115172061237,110,4
87,24784.9526689184,103511.507114755,771050.595539927,333091.974598332,331472000.850516,31986503.460553,6,6,12,35,1.5,14,30,60,17,0.666857726536219,0.00916649615864642,117,16
88,24789.0325741331,103545.355471186,761763.546232936,329830.599387155,331900274.887987,31851277.057139,6,6,12,35,1.5,14,30,60,20,0.668106326528791,0.00715717977058518,118,14
89,19131.2761008437,74839.8264972824,1037851.469283,456659.809811428,309561443.739669,31710054.7435792,6,6,12,35,1.5,17,22,40,17,0.602979183705559,0.00505877071856813,91,11
90,19134.6447913889,74864.3324956031,1026135.72687167,452015.206683002,310031130.969796,31509236.4638239,6,6,12,35,1.5,17,22,40,20,0.604348520673802,0.00207483081964671,92,5
91,19645.2152257534,77797.1342368238,872476.261767952,390233.603380292,319558293.070364,31609751.6273049,6,6,12,35,1.5,17,22,60,17,0.632124228485196,0.00356837616384029,101,9
92,19648.5309321658,77822.1205234179,862391.257938436,386512.061419185,319988950.212675,31449254.5203742,6,6,12,35,1.5,17,22,60,20,0.633379776236506,0.00118356477308742,103,3
93,19640.1988601686,77754.2191082192,943981.006781479,403534.507184214,320550750.6054,31585283.2067386,6,6,12,35,1.5,17,30,40,17,0.635017662040477,0.00320480220792189,106,8
94,19643.7140809556,77780.5471691177,933266.845672295,399441.649278412,321008812.78996,31415122.948293,6,6,12,35,1.5,17,30,40,20,0.636353107083135,0.000676406959216931,108,2
95,20152.2897397879,80726.1689305776,794681.951476844,346608.888050696,330063972.534308,31887510.6022298,6,6,12,35,1.5,17,30,60,17,0.662752728354353,0.00769557060336882,115,15
96,20155.7256266641,80752.6736962291,785441.729523787,343326.935950662,330483073.604398,31752548.5129334,6,6,12,35,1.5,17,30,60,20,0.663974585266557,0.0056901816338794,116,12
97,23698.0937716825,98356.5757534264,1101082.53552515,505421.857668656,422033114.773641,50091238.1334469,6,6,12,45,1.2,14,22,40,17,0.930881683812357,0.278183042937411,121,69
