"","sim_id","HIV_neg_female","HIV_neg_male","HIV_pos_female","HIV_pos_male","tb_mort_mse_total","hiv_prev_mse_male","hiv_prev_mse_female","hiv_prev_mse","max_perc_diff_male","max_perc_diff_female","b1_contact","b2_contact","hiv2_mort","hiv3_mort","hiv4_mort","tb_hiv1_mort","tb_hiv2_mort","tb_hiv3_mort","tb_hiv4_mort"
"1995",1995,5055.91123330879,20459.3667675531,153202.661791337,56312.4819858192,235030.421778018,556277660.558595,102248545.65489,658526206.213485,0.0596705295259835,0.0285632715457954,8,7,12,35,1.2,17,22,60,17
"1996",1996,5053.47580875161,20453.5447594908,151386.437933815,55773.2152814808,232666.673783538,556673912.366078,102519942.909623,659193855.275701,0.0596808486951082,0.0285887398125241,8,7,12,35,1.2,17,22,60,20
"1997",1997,5072.27103249149,20490.9037898634,201287.65316336,68190.5392428174,295041.367228532,554117973.338148,98640464.9136455,652758438.251794,0.0596191369841083,0.028071926067966,8,7,12,35,1.2,17,30,40,17
"1998",1998,5069.72801163394,20484.7326356318,199016.127352711,67466.4574278436,292037.04542782,554530540.918132,98915533.130507,653446074.048639,0.059630334060571,0.0280990110280619,8,7,12,35,1.2,17,30,40,20
"1999",1999,5244.08122022309,21639.890474281,113948.032885823,41682.9619236387,182514.966503965,571091489.807341,109994977.707628,681086467.514968,0.0604481608544018,0.0296432070309603,8,7,12,35,1.2,17,30,60,17
"2000",2000,5241.95319695839,21635.8540129253,112633.099545401,41332.3580036794,180843.264758964,571474794.874695,110269982.878246,681744777.752941,0.0604580416858279,0.029667730960589,8,7,12,35,1.2,17,30,60,20
"2001",2001,7475.07296775034,31605.9958450106,244757.123081483,85918.1657112783,369756.357605522,541529990.320299,92175943.7587039,633705934.079003,0.0588799274125763,0.0270159399923983,8,7,12,35,1.5,14,22,40,17
"2002",2002,7474.09806074956,31607.431613468,241952.503135079,84989.6916986514,366023.724507948,541964428.000378,92456654.3447168,634421082.345095,0.0588918828359097,0.0270447142552389,8,7,12,35,1.5,14,22,40,20
"2003",2003,7730.73793201005,33151.3105516667,140000.724383634,51073.1496645826,231955.922531894,559522865.230911,103603279.498869,663126144.72978,0.0597867894285361,0.0287156140343392,8,7,12,35,1.5,14,22,60,17
"2004",2004,7730.00780338818,33153.9841924246,138290.667989577,50581.592662497,229756.252647887,559929096.483751,103886654.539821,663815751.023572,0.059797327408139,0.0287416476700708,8,7,12,35,1.5,14,22,60,20
"2005",2005,7745.24575365932,33171.7910257661,187261.45858971,62367.5628798944,290546.05824903,557369368.66007,100407036.476637,657776405.136708,0.0597381994984651,0.0282264502808249,8,7,12,35,1.5,14,30,40,17
"2006",2006,7744.48855016158,33174.5227364004,185091.120043712,61689.9171431816,287700.048473456,557791258.029248,100693271.519722,658484529.54897,0.05974962938557,0.0282541256912057,8,7,12,35,1.5,14,30,40,20
"2007",2007,8001.10770847405,34724.3311105355,101573.971644011,37396.7569020619,181696.167365082,574989864.71818,112778912.736759,687768777.454939,0.0606420471066205,0.0299480259420075,8,7,12,35,1.5,14,30,60,17
"2008",2008,8000.56527844161,34728.0267649426,100416.895954125,37108.7620446631,180254.250042172,575379567.251194,113064980.897025,688444548.148219,0.0606564131390503,0.0299729137723211,8,7,12,35,1.5,14,30,60,20
"2009",2009,4904.40774550927,19411.7544694018,260106.548438722,92806.6305705205,377229.341224154,540346537.421354,91864261.6609616,632210799.082315,0.0588237648912817,0.0269943721782517,8,7,12,35,1.5,17,22,40,17
"2010",2010,4901.52005293662,19403.5652262636,257198.428450825,91830.2216626008,373333.735392626,540773802.818891,92138665.1539277,632912467.972818,0.0588354493640826,0.0270224873363478,8,7,12,35,1.5,17,22,40,20
"2011",2011,5057.27612600074,20460.2731431959,153258.413451226,56350.9241744039,235126.886894827,558094737.367386,103342656.643419,661437394.010805,0.0597113339538084,0.0286554010915505,8,7,12,35,1.5,17,22,60,17
"2012",2012,5054.83553380062,20454.4429736067,151438.229571503,55808.9094292433,232756.417508154,558492000.933263,103618999.607487,662111000.540749,0.0597216340038769,0.0286808378718857,8,7,12,35,1.5,17,22,60,20
"2013",2013,5073.63259290553,20491.7625713753,201341.199781798,68235.858285566,295142.453231645,555936514.179266,99713822.4355902,655650336.614856,0.0596602757788276,0.0281649997996978,8,7,12,35,1.5,17,30,40,17
"2014",2014,5071.08415745555,20485.5831332568,199066.628277086,67509.4837561291,292132.779323927,556350136.93283,99994010.2861045,656344147.218934,0.0596714527172557,0.0281920518790992,8,7,12,35,1.5,17,30,40,20
"2015",2015,5245.26886851289,21640.4505158584,113988.627269801,41706.6049493948,182580.951603567,572930661.787491,111148591.933255,684079253.720746,0.060500642375501,0.0297352826326515,8,7,12,35,1.5,17,30,60,17
"2016",2016,5243.13596944537,21636.4057912852,112669.597830209,41353.2114409931,180902.351031933,573314885.978238,111428307.965102,684743193.94334,0.0605147938253915,0.0297597762360032,8,7,12,35,1.5,17,30,60,20
"2017",2017,7444.73636924227,32255.483186766,307095.688879831,122085.354235707,468881.262671546,716285677.742415,221852855.306724,938138533.049139,0.066848766737058,0.0409826201325663,8,7,12,45,1.2,14,22,40,17
"2018",2018,7443.90726151777,32257.7036215608,303991.905929228,120972.06584647,464665.582658776,716726458.765801,222277590.699365,939004049.465166,0.0668629677939513,0.0410073154236732,8,7,12,45,1.2,14,22,40,20
"2019",2019,7686.51031644873,33693.1610079634,201486.203448772,83818.8082116009,326684.682984785,731524799.557742,235963502.833807,967488302.391549,0.067491148976422,0.0421954802648404,8,7,12,45,1.2,14,22,60,17
"2020",2020,7685.86530632163,33696.2179673095,199288.997105838,83068.4657176345,323739.546097104,731938461.773575,236375878.177761,968314339.951336,0.0675038781859273,0.0422181080161712,8,7,12,45,1.2,14,22,60,20
"2021",2021,7724.97601400397,33882.1591262332,241393.210382362,92268.6196860027,375268.965208602,734885901.328114,234927910.875457,969813812.203571,0.0676747395013536,0.0421081525587183,8,7,12,45,1.2,14,30,40,17
"2022",2022,7724.33921401568,33885.4774351242,238882.084313441,91392.7865281257,371884.687490707,735313230.743225,235351113.970326,970664344.713551,0.0676883243729048,0.0421319586668465,8,7,12,45,1.2,14,30,40,20
"2023",2023,7966.28736694442,35319.395407349,153480.027033348,63094.7526395655,259860.462447207,748377162.658102,248399525.902466,996776688.560568,0.0682819732021703,0.0433005125874783,8,7,12,45,1.2,14,30,60,17
"2024",2024,7965.82389142841,35323.4314717355,151785.822079934,62538.2231347272,257613.300577825,748775430.042094,248808715.16156,997584145.203655,0.0682941208332409,0.043322279579765,8,7,12,45,1.2,14,30,60,20
"2025",2025,4853.27132991339,19735.1303948407,322747.007516404,129553.682755596,476889.091996754,715080345.021968,221483333.436881,936563678.458849,0.0668024973839231,0.0409502492196405,8,7,12,45,1.2,17,22,40,17
"2026",2026,4850.751486346,19729.1565166585,319594.367305018,128415.539000511,472589.814308533,715511668.345769,221898112.236814,937409780.582583,0.0668163754075141,0.0409743711566157,8,7,12,45,1.2,17,22,40,20
"2027",2027,4997.64289869488,20732.4955497126,215370.562592893,90166.9177374501,331267.61877875,730099307.547315,235707621.225456,965806928.772771,0.0674698095709724,0.0422477554952547,8,7,12,45,1.2,17,22,60,17
"2028",2028,4995.46155729681,20728.1863128476,213117.31089627,89387.8261748507,328228.784941265,730501936.626805,236109555.657483,966611492.284288,0.0674821577664224,0.0422697058708765,8,7,12,45,1.2,17,22,60,20
"2029",2029,5027.5104396437,20889.6925227966,255937.242662674,98954.2150515844,380808.660676699,732619999.215768,234252749.274417,966872748.490184,0.0676299577964718,0.0421129779667476,8,7,12,45,1.2,17,30,40,17
"2030",2030,5025.3038657717,20885.4847390476,253377.046978704,98053.2792173466,377341.11480087,733035241.9201,234665246.276755,967700488.196856,0.0676431892207429,0.0421361631434319,8,7,12,45,1.2,17,30,40,20
"2031",2031,5192.22092759782,21987.7290947891,166959.721528359,68789.1367144333,262928.808265179,746618670.134188,247247657.925588,993866328.059775,0.0682157227723118,0.0432551386963786,8,7,12,45,1.2,17,30,60,17
"2032",2032,5190.32611509491,21985.0174741053,165173.266318736,68192.4008645935,260541.01077253,747008197.865807,247646968.636937,994655166.502743,0.0682275439689865,0.0432763059217911,8,7,12,45,1.2,17,30,60,20
"2033",2033,7445.15803079427,32254.9426907924,307162.941767418,122148.221192343,469011.263681348,718164806.521097,223465097.473876,941629903.994973,0.0669005256845989,0.0410638367035076,8,7,12,45,1.5,14,22,40,17
"2034",2034,7444.32574031245,32257.156489195,304057.295967434,121033.512290138,464792.290487079,718606273.379075,223894100.743742,942500374.122816,0.0669146930009993,0.0410884997811243,8,7,12,45,1.5,14,22,40,20
"2035",2035,7686.53968918856,33689.9945663755,201522.214538521,83860.3946488766,326759.143442962,733370268.596111,237690727.322583,971060995.918695,0.0675426032313332,0.0422763339051666,8,7,12,45,1.5,14,22,60,17
