"","sim_id","HIV_neg_female","HIV_neg_male","HIV_pos_female","HIV_pos_male","tb_mort_mse_total","hiv_prev_mse_male","hiv_prev_mse_female","hiv_prev_mse","max_perc_diff_male","max_perc_diff_female","b1_calib_id","b2_calib_id","mh2_calib_id","mh3_calib_id","mh4_calib_id","mtb_calib_id","mtbh2_calib_id","mtbh3_calib_id","mtbh4_calib_id","norm_hiv_prev_mse","norm_tb_mort_mse","norm_hiv_prev_tb_mort_mse","tbmort_rank_total","tbmort_HIV_neg_male","tbmort_HIV_neg_female","tbmort_HIV_pos_male","tbmort_HIV_pos_female","hivprev_rank_total","hivprev_male","hivprev_female","hiv_tb_rank"
"799",799,9446.05668783701,43223.6329808641,317882.944164409,133375.930153363,503928.563986473,539172195.965513,86564783.8984441,625736979.863958,0.0581152643849147,0.0302330268468907,6.8,6.8,10,50,1.2,15,22,70,25,0.698504136782915,0.457494356274871,1.15599849305779,4087,3418,3292,3710,4245,2621,2576,2715,4257
"800",800,9444.84724049946,43201.7075966162,324684.270060493,135274.104339202,512604.929236811,538392292.443766,86188648.3964155,624580940.840181,0.0581044224281656,0.0302224262225144,6.8,6.8,10,50,1.2,15,22,70,20,0.696255255107688,0.463851669414502,1.16010692452219,4101,3416,3290,3729,4275,2593,2550,2691,4270
"801",801,9447.32631012872,43184.7906213882,332197.915368004,137376.131573149,522206.16387267,538081406.301451,85829264.7950601,623910671.096511,0.0580861354362768,0.030211584445181,6.8,6.8,10,50,1.2,15,22,70,15,0.694950403546799,0.470824255544655,1.16577465909145,4127,3413,3294,3761,4299,2580,2545,2672,4287
"802",802,9229.74939602019,41939.6079189868,398823.42521664,164313.302545227,614306.085076874,530328612.540747,80569872.5900547,610898485.130801,0.0576941266866011,0.029391910351945,6.8,6.8,10,50,1.2,15,22,50,25,0.669478543371235,0.534697981764015,1.20417652513525,4361,3356,3222,4020,4501,2398,2396,2404,4392
"803",803,9228.68271384647,41917.9205234765,407023.323174818,166736.255106752,624906.181518894,529495667.758314,80197385.2922426,609693053.050556,0.0576820070574173,0.0293802856633659,6.8,6.8,10,50,1.2,15,22,50,20,0.667105192690177,0.541732487787365,1.20883768047754,4381,3354,3220,4037,4523,2391,2389,2397,4399
"804",804,9223.43200749906,41896.5179631921,415702.516545128,169375.333471605,636197.799987424,528962144.553963,80083815.3565645,609045959.910527,0.0576882011390725,0.0293683963063168,6.8,6.8,10,50,1.2,15,22,50,15,0.665830176360543,0.54916058823884,1.21499076459938,4405,3352,3218,4060,4539,2388,2383,2395,4415
"805",805,17129.7595239925,79794.9552136089,238362.679137075,96902.5079669739,432189.901841651,555126907.833981,93357434.930184,648484342.764165,0.0589080529120105,0.0312124320782687,6.8,6.8,10,50,1.2,10,30,70,25,0.742340066061932,0.402679275826572,1.1450193418885,3834,4512,4506,3179,3826,3236,3224,3259,4223
"806",806,17129.4476733861,79775.5229905965,244093.382008318,98397.4968683438,439395.849540644,553838405.968532,92722961.7929029,646561367.761435,0.0588902198979819,0.031201940204647,6.8,6.8,10,50,1.2,10,30,70,20,0.738664404622566,0.408381344250188,1.14704574887275,3853,4510,4505,3212,3863,3182,3164,3206,4229
"807",807,17119.8903897293,79732.0781850963,250029.027650415,99997.074181789,446878.07040703,553065521.154797,92506385.9043712,645571907.059168,0.0588956787858607,0.0311912001040174,6.8,6.8,10,50,1.2,10,30,70,15,0.736770974772471,0.414252763295661,1.15102373806813,3891,4508,4502,3238,3899,3145,3131,3184,4240
"808",808,16892.2421722811,78453.8290714062,306618.172773205,120721.817819503,522686.061836395,546391954.422733,87355464.2260929,633747418.648826,0.0585239927071447,0.0304083182695136,6.8,6.8,10,50,1.2,10,30,50,25,0.714030380478953,0.471171076905953,1.18520145738491,4130,4500,4488,3562,4197,2809,2837,2769,4342
"809",809,16888.3282589661,78419.6589410391,313504.270512232,122660.406038997,531472.663751234,545556794.479946,86944377.6179913,632501172.097937,0.058512062140546,0.0303968176364577,6.8,6.8,10,50,1.2,10,30,50,20,0.711621313764665,0.477493220960922,1.18911453472559,4160,4498,4486,3592,4225,2778,2800,2744,4351
"810",810,16887.7451683197,78397.8467589263,321128.314259217,124810.817380074,541224.723566537,544176693.309466,86316932.9240194,630493626.233486,0.058492475320152,0.0303850562213197,6.8,6.8,10,50,1.2,10,30,50,15,0.707735615039915,0.484449146121872,1.19218476116179,4182,4496,4485,3624,4255,2729,2746,2698,4362
"811",811,16802.1012574459,77998.5239527796,290943.212184818,120596.5581212,506340.395516244,541019237.125761,86499885.4842169,627519122.609978,0.0582105572556717,0.0302945088651396,6.8,6.8,10,50,1.2,10,22,70,25,0.701966933328633,0.45926699993561,1.16123393326424,4093,4494,4482,3558,4123,2658,2637,2711,4272
"812",812,16798.3716330505,77965.6722478596,297610.30349413,122417.304856887,514791.652231927,540206726.435712,86102947.1744495,626309673.610162,0.0581992453653119,0.0302834097396277,6.8,6.8,10,50,1.2,10,22,70,20,0.699617447753874,0.465445409986176,1.16506285774005,4113,4492,4480,3586,4151,2633,2609,2686,4283
"813",813,16798.3107061626,77927.67821395,305132.609031786,124446.23888783,524304.836839728,539265297.572707,85477438.0693938,624742735.6421,0.0581712578639579,0.0302720484539101,6.8,6.8,10,50,1.2,10,22,70,15,0.696570125172052,0.472339789798518,1.16890991497057,4133,4490,4479,3615,4191,2597,2582,2649,4296
