"sim_id","HIV_neg_female","HIV_neg_male","HIV_pos_female","HIV_pos_male","hiv_prev_mse_male","hiv_prev_mse_female","b1_contact","b2_contact","hiv2_mort","hiv3_mort","hiv4_mort","tb_hiv1_mort","tb_hiv2_mort","tb_hiv3_mort","tb_hiv4_mort","hiv_prev_mse_male_norm","hiv_prev_mse_female_norm","hiv_prev_mse_male_norm_rank","hiv_prev_mse_female_norm_rank"
4443,7970.79226677019,92246.3684983668,99740.099916972,256059.192752885,379069691.309716,37010407.1914957,10,12,12,35,1.5,17,22,60,17,0.636233650621333,0.102399490873543,4473,2300
4444,7930.5882565744,91768.4452494424,102811.459972448,265214.333985308,380516611.238713,37007229.7816693,10,12,12,35,1.5,17,22,60,20,0.639565073082657,0.102353235675019,4491,2298
4445,7994.58004310559,93089.6722620563,49661.6179669904,222115.801484981,382412993.290261,34410698.8837037,10,12,12,35,1.5,17,30,40,17,0.64393134770171,0.0645541922031599,4513,1659
4446,7963.73949935417,92695.6484311704,52422.4651978185,231829.260467889,383862938.923224,34429764.078345,10,12,12,35,1.5,17,30,40,20,0.647269736614981,0.0648317341040143,4525,1662
4447,7227.34613364187,82347.8900007303,161778.469532983,363093.941465907,412317686.895079,42860530.8501648,10,12,12,35,1.5,17,30,60,17,0.712784617310897,0.187562767252438,4675,3063
4448,7198.95426221332,81991.476661662,168474.322536289,374027.95454668,413662202.99396,43057123.0879269,10,12,12,35,1.5,17,30,60,20,0.715880262786269,0.190424662155064,4678,3078
4449,4297.57528412605,45187.3173448383,58243.5055149762,96290.925286634,455017038.492292,57872215.1072965,10,12,12,45,1.2,14,22,40,17,0.811096608281662,0.406095620555178,5407,4112
4450,4279.63633714529,44943.9944318515,54226.6540618097,102028.694458043,456585197.842766,58233121.0184491,10,12,12,45,1.2,14,22,40,20,0.814707175237309,0.411349514601113,5444,4177
4451,4099.88898002823,40202.2161707173,80851.2027186964,181249.019529875,482239953.389207,72426042.0707406,10,12,12,45,1.2,14,22,60,17,0.873775287545682,0.617963208383294,5975,5511
4452,4083.45650653588,39982.2318128791,81164.7964446046,188857.783741198,483693610.178028,72908960.6380341,10,12,12,45,1.2,14,22,60,20,0.877122221111448,0.624993303782042,5997,5547
4453,4083.12787649987,39907.1536718378,45671.4070514435,162261.035619892,493976937.944822,70305014.4659172,10,12,12,45,1.2,14,30,40,17,0.900798796720725,0.587086312328426,6112,5336
4454,4065.86437301474,39676.4338065961,45808.5859164428,169789.286107693,495538602.879402,70833553.3289901,10,12,12,45,1.2,14,30,40,20,0.904394410780536,0.594780525972297,6129,5380
4455,3927.62557312123,35338.6882341579,121657.990897017,269008.377524098,520316373.590618,86963098.2367233,10,12,12,45,1.2,14,30,60,17,0.961443332586546,0.8295866550372,6248,6144
4456,3911.85608955687,35130.7731316393,125329.183472635,277840.637849492,521755977.800057,87582684.2719688,10,12,12,45,1.2,14,30,60,20,0.964757911163171,0.838606289465255,6250,6159
4457,8622.72901065137,98259.6110762149,63611.6895478721,85891.2435389974,452889603.589803,57823763.577911,10,12,12,45,1.2,17,22,40,17,0.806198352146594,0.405390286577849,5351,4106
4458,8591.18694219839,97863.4214537402,59076.8017902221,91163.4678350969,454429507.851145,58175595.3451946,10,12,12,45,1.2,17,22,40,20,0.809743863920755,0.410512083617412,5393,4165
4459,7875.83558381905,88398.6371657929,73325.9450555503,162113.694059623,479498310.35371,71925261.1779881,10,12,12,45,1.2,17,22,60,17,0.867462864165267,0.610673081872625,5933,5467
4460,7846.78846175537,88038.6876472878,73041.3910595844,169230.339231225,480925249.591959,72394414.1879992,10,12,12,45,1.2,17,22,60,20,0.870748282614473,0.617502784933065,5957,5504
4461,7795.01551943628,87826.6411550439,43614.8417606414,143603.024642027,490953102.735357,69920938.3695551,10,12,12,45,1.2,17,30,40,17,0.893836647444682,0.581495117910418,6082,5316
4462,7764.43092394108,87448.734310575,43119.8456111733,150616.744202091,492485552.776438,70434417.1127501,10,12,12,45,1.2,17,30,40,20,0.897364996446866,0.588970093598599,6098,5349
4463,7109.9215814411,78613.5133842247,105522.382115009,241597.008214153,516435410.776319,85764430.7858013,10,12,12,45,1.2,17,30,60,17,0.952507712562233,0.812137032881266,6237,6111
4464,7081.80386998478,78270.97277172,108513.838379128,249907.237734825,517847150.956488,86365101.549775,10,12,12,45,1.2,17,30,60,20,0.955758136342788,0.820881307920515,6242,6130
4465,4309.91092829733,45278.6410117431,58408.3242336249,96030.1510118162,456982632.363481,58147970.0254778,10,12,12,45,1.5,14,22,40,17,0.815622237821411,0.410109927547666,5456,4157
4466,4284.45524814051,44960.390423847,54259.1037746684,101361.997368669,458680252.169853,58517347.1618707,10,12,12,45,1.5,14,22,40,20,0.819530877574309,0.415487141601605,5496,4219
4467,4104.72141090964,40220.4708640481,80829.5693881674,180239.751972055,484375608.082615,72875987.8793817,10,12,12,45,1.5,14,22,60,17,0.878692469120606,0.62451330227747,6002,5545
4468,4088.25945617603,40000.3167425666,81099.3583977693,187809.650792435,485840252.005932,73380261.0555257,10,12,12,45,1.5,14,22,60,20,0.882064699723142,0.631854267764033,6023,5580
4469,4087.77395437131,39923.363782535,45627.6038076022,161441.412381624,496166645.309009,70775522.1193294,10,12,12,45,1.5,14,30,40,17,0.905840430435616,0.593935735633616,6134,5375
4470,4070.41528941449,39692.0016208994,45726.4102046847,168933.051524222,497740805.499102,71326111.4716453,10,12,12,45,1.5,14,30,40,20,0.909464813865484,0.601950949656155,6149,5426
4471,3932.04538486954,35355.0683822408,121498.458278786,267794.323119609,522554207.409095,87607442.4305968,10,12,12,45,1.5,14,30,60,17,0.966595773781241,0.838966706787843,6253,6161
4472,3916.24805269268,35146.997426861,125127.748547519,276591.008614021,524003901.814851,88247254.8390562,10,12,12,45,1.5,14,30,60,20,0.969933584263083,0.848280786993914,6255,6176
4473,8630.96810525618,98286.3208004831,63696.0860745478,85295.7482259106,454967592.086293,58081911.2230442,10,12,12,45,1.5,17,22,40,17,0.810982761714014,0.409148275388301,5406,4151
4474,8599.37427427929,97889.8350701056,59122.9752475579,90531.6897777602,456519791.362365,58456797.6062035,10,12,12,45,1.5,17,22,40,20,0.814556581819141,0.414605690397361,5441,4208
4475,7884.1092475331,88428.2318371803,73324.3877492262,161154.207629995,481629282.604644,72369321.0105128,10,12,12,45,1.5,17,22,60,17,0.872369264774555,0.617137490567649,5965,5502
4476,7855.01564907834,88068.0194708092,72996.9408471695,168232.570334822,483067090.930653,72859543.4137911,10,12,12,45,1.5,17,22,60,20,0.87567970846695,0.624273911685116,5985,5544
4477,7802.97456063501,87852.9642936602,43587.6010238566,142824.472326318,493137270.702346,70385050.2920902,10,12,12,45,1.5,17,30,40,17,0.898865527121236,0.588251435252706,6103,5345
4478,7772.34053084274,87474.7805214796,43056.3448719175,149805.296052793,494680941.572908,70920362.4894229,10,12,12,45,1.5,17,30,40,20,0.902419711225017,0.596044251827255,6120,5390
4479,7117.55981544198,78640.2832733432,105386.656339177,240438.711372341,518667156.08915,86399221.5279046,10,12,12,45,1.5,17,30,60,17,0.957646135438389,0.821378010092474,6243,6132
4480,7089.39806006502,78297.5000857523,108337.095023271,248713.898058114,520088876.694523,87019843.7550805,10,12,12,45,1.5,17,30,60,20,0.96091953838457,0.830412728902485,6247,6146
4481,12379.304255208,37627.3581295651,435191.704263924,106866.430844405,112066183.719669,87400921.0303067,11,6,8,35,1.2,14,22,40,17,0.0214784975461614,0.835960267929924,109,6154
4482,12379.6030121919,37611.7481128355,423201.707120501,104905.504272158,112405663.46638,86408579.7615934,11,6,8,35,1.2,14,22,40,20,0.0222601236960913,0.821514242741313,118,6133
4483,12953.6622107754,40334.1374965028,284429.645469052,79356.1801172621,121987549.903041,75841030.2420518,11,6,8,35,1.2,14,22,60,17,0.0443216842961219,0.667676957772686,399,5728
4484,12954.3292609019,40324.5816577048,275325.418367245,78893.8464264368,122317715.45439,75003918.4676098,11,6,8,35,1.2,14,22,60,20,0.0450818652236739,0.655490688632685,411,5683
4485,12971.073037071,40308.7767463516,341437.284844032,79262.4021778124,123941144.372526,76757721.5646134,11,6,8,35,1.2,14,30,40,17,0.0488196861312842,0.681021707561311,465,5771
4486,12971.8459706894,40299.0454264297,331489.921542308,78301.7265466097,124306319.718192,75893789.6148889,11,6,8,35,1.2,14,30,40,20,0.049660474432346,0.668445003255596,480,5732
4487,13558.8307527065,43170.7964494321,219411.853098338,66914.5750331787,133699747.202074,67069845.9269117,11,6,8,35,1.2,14,30,60,17,0.0712881227088654,0.539990290347532,812,5070
4488,13559.9248232235,43166.4844117733,211957.858049477,67156.6787482393,134047954.750308,66341537.9284488,11,6,8,35,1.2,14,30,60,20,0.0720898439542104,0.52938793405885,821,5001
4489,8428.06946906396,24045.0666281547,460461.519624323,116586.092552863,111416982.539196,87820956.2000051,11,6,8,35,1.2,17,22,40,17,0.0199837614856494,0.842074937180182,96,6165
4490,8424.45480253762,23987.0968354753,448358.650031653,114408.932923869,111746861.741564,86842142.191936,11,6,8,35,1.2,17,22,40,20,0.0207432831165765,0.827825835322448,104,6143
4491,8921.42637665989,25795.3203778037,307194.331491064,85299.974635775,120858748.48344,76467671.0030318,11,6,8,35,1.2,17,22,60,17,0.0417227053697329,0.676799291492682,360,5755
4492,8918.64123386014,25748.5562829818,297928.758732842,84607.4837411854,121177985.869355,75641048.2078792,11,6,8,35,1.2,17,22,60,20,0.0424577250322725,0.664765715850165,375,5712
4493,8935.72034111494,25731.8781104829,366421.193377171,86745.7456457021,122645784.533451,77852620.6039424,11,6,8,35,1.2,17,30,40,17,0.0458372191841425,0.696960719270095,423,5828
4494,8932.85057886208,25682.9038798863,356294.932185573,85545.1613447776,122997443.933069,76993981.189495,11,6,8,35,1.2,17,30,40,20,0.046646888053267,0.684461061138248,436,5783
4495,9444.00273750495,27681.2928026291,240027.238608008,69975.3221659906,131995985.937571,67922248.923547,11,6,8,35,1.2,17,30,60,17,0.0673653427183812,0.552399161719178,757,5148
4496,9441.8915424903,27642.6264204804,232377.244841624,69975.1608591888,132332343.495832,67201299.298833,11,6,8,35,1.2,17,30,60,20,0.0681397802682227,0.54190392508366,771,5083
4497,12379.0632373823,37628.7597894682,435503.750568222,106914.908508368,112827677.00488,85346340.6144419,11,6,8,35,1.5,14,22,40,17,0.023231777588588,0.806050677977978,130,6094
4498,12379.3517372798,37613.0794586954,423494.516565965,104929.760571198,113178092.2785,84371777.6305774,11,6,8,35,1.5,14,22,40,20,0.024038581952766,0.791863460478652,139,6066
4499,12954.2801706128,40347.8150877173,284748.776412751,79335.7272791279,122816586.492764,74270044.3910981,11,6,8,35,1.5,14,22,60,17,0.0462304776307855,0.644807304066504,428,5642
