measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,KwaZulu-Natal,Male,20-24 years,Drug-susceptible tuberculosis,Number,1996,128.4428981,191.1479119,66.4951791
Deaths,KwaZulu-Natal,Female,20-24 years,Drug-susceptible tuberculosis,Number,1996,47.0025093,91.01075437,4.749855545
Deaths,KwaZulu-Natal,Male,25-29 years,Drug-susceptible tuberculosis,Number,1996,179.3163237,265.6604484,95.98449884
Deaths,KwaZulu-Natal,Female,25-29 years,Drug-susceptible tuberculosis,Number,1996,79.41677731,160.3071318,18.09212959
Deaths,KwaZulu-Natal,Male,30-34 years,Drug-susceptible tuberculosis,Number,1996,203.8397336,298.5259018,105.9491892
Deaths,KwaZulu-Natal,Female,30-34 years,Drug-susceptible tuberculosis,Number,1996,73.93963567,134.8453407,34.63696448
Deaths,KwaZulu-Natal,Male,35-39 years,Drug-susceptible tuberculosis,Number,1996,207.7631127,304.5604211,108.6577439
Deaths,KwaZulu-Natal,Female,35-39 years,Drug-susceptible tuberculosis,Number,1996,71.23275,118.5510841,31.36348008
Deaths,KwaZulu-Natal,Male,40-44 years,Drug-susceptible tuberculosis,Number,1996,266.9357041,371.7947722,152.2230379
Deaths,KwaZulu-Natal,Female,40-44 years,Drug-susceptible tuberculosis,Number,1996,51.63030569,83.93807346,25.58903111
Deaths,KwaZulu-Natal,Male,45-49 years,Drug-susceptible tuberculosis,Number,1996,308.8718572,415.9736945,183.0939663
Deaths,KwaZulu-Natal,Female,45-49 years,Drug-susceptible tuberculosis,Number,1996,56.63144755,82.37146313,35.76451915
Deaths,KwaZulu-Natal,Male,50-54 years,Drug-susceptible tuberculosis,Number,1996,246.2062145,339.0118043,143.7638122
Deaths,KwaZulu-Natal,Female,50-54 years,Drug-susceptible tuberculosis,Number,1996,48.0696442,71.85508304,31.91332457
Deaths,KwaZulu-Natal,Male,55-59 years,Drug-susceptible tuberculosis,Number,1996,273.9996466,359.7832283,165.7479847
Deaths,KwaZulu-Natal,Female,55-59 years,Drug-susceptible tuberculosis,Number,1996,74.22720122,101.5547814,52.43261688
Deaths,KwaZulu-Natal,Male,15-19 years,Drug-susceptible tuberculosis,Number,1999,75.7659547,103.8567433,42.53451808
Deaths,KwaZulu-Natal,Female,15-19 years,Drug-susceptible tuberculosis,Number,1999,44.63688202,89.25668908,1.275951229
Deaths,KwaZulu-Natal,Male,20-24 years,Drug-susceptible tuberculosis,Number,1999,210.2578021,287.9895874,122.0402844
Deaths,KwaZulu-Natal,Female,20-24 years,Drug-susceptible tuberculosis,Number,1999,99.75393629,187.2595956,7.220183298
Deaths,KwaZulu-Natal,Male,25-29 years,Drug-susceptible tuberculosis,Number,1999,340.8147051,465.1804427,195.908195
Deaths,KwaZulu-Natal,Female,25-29 years,Drug-susceptible tuberculosis,Number,1999,213.6575852,397.1268048,51.67530939
Deaths,KwaZulu-Natal,Male,30-34 years,Drug-susceptible tuberculosis,Number,1999,387.9849177,525.9314942,216.0951261
Deaths,KwaZulu-Natal,Female,30-34 years,Drug-susceptible tuberculosis,Number,1999,184.9391951,294.1091084,95.89629944
Deaths,KwaZulu-Natal,Male,35-39 years,Drug-susceptible tuberculosis,Number,1999,346.5444039,512.6850703,159.6423682
Deaths,KwaZulu-Natal,Female,35-39 years,Drug-susceptible tuberculosis,Number,1999,135.5284061,232.0027347,38.81973237
Deaths,KwaZulu-Natal,Male,40-44 years,Drug-susceptible tuberculosis,Number,1999,346.0770778,502.4333808,174.3538254
Deaths,KwaZulu-Natal,Female,40-44 years,Drug-susceptible tuberculosis,Number,1999,75.4538811,135.8810343,16.22844786
Deaths,KwaZulu-Natal,Male,45-49 years,Drug-susceptible tuberculosis,Number,1999,416.1775799,549.2565131,240.5863765
Deaths,KwaZulu-Natal,Female,45-49 years,Drug-susceptible tuberculosis,Number,1999,62.57899489,103.8565959,18.10688439
Deaths,KwaZulu-Natal,Male,50-54 years,Drug-susceptible tuberculosis,Number,1999,397.8083805,510.7514293,246.0623013
Deaths,KwaZulu-Natal,Female,50-54 years,Drug-susceptible tuberculosis,Number,1999,68.28433029,98.02330191,39.91430597
Deaths,KwaZulu-Natal,Male,55-59 years,Drug-susceptible tuberculosis,Number,1999,371.665485,470.0499082,234.1633991
Deaths,KwaZulu-Natal,Female,55-59 years,Drug-susceptible tuberculosis,Number,1999,98.63447717,126.5024407,75.72469878
Deaths,KwaZulu-Natal,Male,15-19 years,Drug-susceptible tuberculosis,Number,1998,65.23443025,91.4483531,35.91166638
Deaths,KwaZulu-Natal,Female,15-19 years,Drug-susceptible tuberculosis,Number,1998,31.80204211,68.89850999,0.931351899
Deaths,KwaZulu-Natal,Male,20-24 years,Drug-susceptible tuberculosis,Number,1998,216.5652914,297.9539463,122.6948758
Deaths,KwaZulu-Natal,Female,20-24 years,Drug-susceptible tuberculosis,Number,1998,86.14904619,161.7698804,13.23102539
Deaths,KwaZulu-Natal,Male,25-29 years,Drug-susceptible tuberculosis,Number,1998,331.0595344,451.6147106,195.9338913
Deaths,KwaZulu-Natal,Female,25-29 years,Drug-susceptible tuberculosis,Number,1998,157.4304514,296.7927858,33.88982465
Deaths,KwaZulu-Natal,Male,30-34 years,Drug-susceptible tuberculosis,Number,1998,366.3349245,494.8931553,209.164733
Deaths,KwaZulu-Natal,Female,30-34 years,Drug-susceptible tuberculosis,Number,1998,139.2878577,225.14758,68.19024283
Deaths,KwaZulu-Natal,Male,35-39 years,Drug-susceptible tuberculosis,Number,1998,353.2640679,495.4845039,188.0031867
Deaths,KwaZulu-Natal,Female,35-39 years,Drug-susceptible tuberculosis,Number,1998,111.8755689,186.6502483,38.34428835
