measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,KwaZulu-Natal,Female,25-29 years,All causes,Number,1993,1889.305309,2347.733706,1543.637467
Deaths,KwaZulu-Natal,Male,25-29 years,All causes,Rate,1993,921.4088125,1006.310482,837.3812802
Deaths,KwaZulu-Natal,Female,25-29 years,All causes,Rate,1993,492.8150099,612.3935631,402.6494342
Deaths,KwaZulu-Natal,Male,30-34 years,All causes,Number,1993,3458.674137,3809.045869,3115.007786
Deaths,KwaZulu-Natal,Female,30-34 years,All causes,Number,1993,1817.050795,2181.696557,1524.813146
Deaths,KwaZulu-Natal,Male,30-34 years,All causes,Rate,1993,1312.400343,1445.349549,1181.995506
Deaths,KwaZulu-Natal,Female,30-34 years,All causes,Rate,1993,581.8394257,698.6029644,488.2617522
Deaths,KwaZulu-Natal,Male,35-39 years,All causes,Number,1993,3000.730141,3377.482414,2642.905131
Deaths,KwaZulu-Natal,Female,35-39 years,All causes,Number,1993,1383.489167,1694.807976,1160.471086
Deaths,KwaZulu-Natal,Male,35-39 years,All causes,Rate,1993,1361.395862,1532.323924,1199.054877
Deaths,KwaZulu-Natal,Female,35-39 years,All causes,Rate,1993,538.6961525,659.9159268,451.858478
Deaths,KwaZulu-Natal,Male,40-44 years,All causes,Number,1993,2494.453354,2828.905986,2162.482354
Deaths,KwaZulu-Natal,Female,40-44 years,All causes,Number,1993,1019.264046,1222.763863,859.256064
Deaths,KwaZulu-Natal,Male,40-44 years,All causes,Rate,1993,1364.606398,1547.570814,1182.999575
Deaths,KwaZulu-Natal,Female,40-44 years,All causes,Rate,1993,504.9599651,605.7770803,425.6894118
Deaths,KwaZulu-Natal,Male,45-49 years,All causes,Number,1993,2061.205433,2354.697094,1765.82105
Deaths,KwaZulu-Natal,Female,45-49 years,All causes,Number,1993,907.0597193,1077.685889,765.3964605
Deaths,KwaZulu-Natal,Male,45-49 years,All causes,Rate,1993,1478.189344,1688.6663,1266.355026
Deaths,KwaZulu-Natal,Female,45-49 years,All causes,Rate,1993,543.5115911,645.7510567,458.6267467
Deaths,KwaZulu-Natal,Male,50-54 years,All causes,Number,1993,1878.527045,2148.43205,1605.195731
Deaths,KwaZulu-Natal,Female,50-54 years,All causes,Number,1993,872.9442943,1014.729098,746.3922341
Deaths,KwaZulu-Natal,Male,50-54 years,All causes,Rate,1993,1641.83531,1877.732668,1402.943353
Deaths,KwaZulu-Natal,Female,50-54 years,All causes,Rate,1993,613.4728041,713.1138944,524.5367199
Deaths,KwaZulu-Natal,Male,55-59 years,All causes,Number,1993,1757.043433,2002.486672,1500.75733
Deaths,KwaZulu-Natal,Female,55-59 years,All causes,Number,1993,983.8913398,1122.280173,853.7911266
Deaths,KwaZulu-Natal,Male,55-59 years,All causes,Rate,1993,2111.711629,2406.698839,1803.692866
Deaths,KwaZulu-Natal,Female,55-59 years,All causes,Rate,1993,842.2217654,960.6841222,730.8545576
Deaths,KwaZulu-Natal,Male,15-19 years,All causes,Number,1994,814.9078061,897.1610862,738.8896448
Deaths,KwaZulu-Natal,Female,15-19 years,All causes,Number,1994,672.032706,931.1410778,522.3862824
Deaths,KwaZulu-Natal,Male,15-19 years,All causes,Rate,1994,179.1035226,197.1814599,162.3959634
Deaths,KwaZulu-Natal,Female,15-19 years,All causes,Rate,1994,138.879292,192.4254765,107.9540273
Deaths,KwaZulu-Natal,Male,20-24 years,All causes,Number,1994,1922.571432,2121.468733,1743.147405
Deaths,KwaZulu-Natal,Female,20-24 years,All causes,Number,1994,1462.607016,1963.731294,1135.82355
Deaths,KwaZulu-Natal,Male,20-24 years,All causes,Rate,1994,487.6114591,538.0567126,442.1051074
Deaths,KwaZulu-Natal,Female,20-24 years,All causes,Rate,1994,328.9899101,441.7097516,255.4852283
Deaths,KwaZulu-Natal,Male,25-29 years,All causes,Number,1994,3219.659065,3558.19847,2930.578523
Deaths,KwaZulu-Natal,Female,25-29 years,All causes,Number,1994,2082.557705,2721.59767,1658.122236
Deaths,KwaZulu-Natal,Male,25-29 years,All causes,Rate,1994,979.6885308,1082.700423,891.7261453
Deaths,KwaZulu-Natal,Female,25-29 years,All causes,Rate,1994,534.6029818,698.6477378,425.6482735
Deaths,KwaZulu-Natal,Male,30-34 years,All causes,Number,1994,3671.059131,4111.403504,3310.716949
Deaths,KwaZulu-Natal,Female,30-34 years,All causes,Number,1994,1979.116461,2532.849575,1631.408106
Deaths,KwaZulu-Natal,Male,30-34 years,All causes,Rate,1994,1359.600169,1522.684517,1226.145143
Deaths,KwaZulu-Natal,Female,30-34 years,All causes,Rate,1994,613.1707992,784.7286548,505.443632
Deaths,KwaZulu-Natal,Male,35-39 years,All causes,Number,1994,3228.031117,3734.733206,2849.214004
Deaths,KwaZulu-Natal,Female,35-39 years,All causes,Number,1994,1512.897378,1961.529864,1251.072648
Deaths,KwaZulu-Natal,Male,35-39 years,All causes,Rate,1994,1421.365229,1644.476068,1254.564646
Deaths,KwaZulu-Natal,Female,35-39 years,All causes,Rate,1994,566.5993812,734.6179742,468.5426775
Deaths,KwaZulu-Natal,Male,40-44 years,All causes,Number,1994,2736.637245,3130.708535,2385.865193
Deaths,KwaZulu-Natal,Female,40-44 years,All causes,Number,1994,1133.828868,1451.585733,940.8063831
Deaths,KwaZulu-Natal,Male,40-44 years,All causes,Rate,1994,1448.458674,1657.034355,1262.800592
Deaths,KwaZulu-Natal,Female,40-44 years,All causes,Rate,1994,537.6974561,688.3877966,446.1600981
Deaths,KwaZulu-Natal,Male,45-49 years,All causes,Number,1994,2361.850352,2697.512608,2050.418793
Deaths,KwaZulu-Natal,Female,45-49 years,All causes,Number,1994,1038.312152,1273.456646,867.8709058
Deaths,KwaZulu-Natal,Male,45-49 years,All causes,Rate,1994,1617.431979,1847.298729,1404.158787
Deaths,KwaZulu-Natal,Female,45-49 years,All causes,Rate,1994,598.0038901,733.4326453,499.8402234
Deaths,KwaZulu-Natal,Male,50-54 years,All causes,Number,1994,2119.06828,2418.262589,1844.075811
Deaths,KwaZulu-Natal,Female,50-54 years,All causes,Number,1994,958.801132,1138.200848,816.7692067
Deaths,KwaZulu-Natal,Male,50-54 years,All causes,Rate,1994,1803.940946,2058.641972,1569.842697
Deaths,KwaZulu-Natal,Female,50-54 years,All causes,Rate,1994,666.5019037,791.2099877,567.7697
Deaths,KwaZulu-Natal,Male,55-59 years,All causes,Number,1994,2038.322225,2307.878624,1783.130804
Deaths,KwaZulu-Natal,Female,55-59 years,All causes,Number,1994,1128.552194,1283.507865,990.5837101
Deaths,KwaZulu-Natal,Male,55-59 years,All causes,Rate,1994,2357.758921,2669.558987,2062.575049
Deaths,KwaZulu-Natal,Female,55-59 years,All causes,Rate,1994,933.3898827,1061.548825,819.2805063
Deaths,KwaZulu-Natal,Male,15-19 years,All causes,Number,1991,689.5856505,773.3737719,609.2789912
Deaths,KwaZulu-Natal,Female,15-19 years,All causes,Number,1991,590.8441612,678.510303,521.6307336
Deaths,KwaZulu-Natal,Male,15-19 years,All causes,Rate,1991,158.060295,177.265415,139.6531627
Deaths,KwaZulu-Natal,Female,15-19 years,All causes,Rate,1991,125.879205,144.5564553,111.1333011
Deaths,KwaZulu-Natal,Male,20-24 years,All causes,Number,1991,1471.527582,1641.550349,1309.437651
Deaths,KwaZulu-Natal,Female,20-24 years,All causes,Number,1991,1176.324338,1384.657263,984.0649472
Deaths,KwaZulu-Natal,Male,20-24 years,All causes,Rate,1991,401.8348515,448.2635249,357.5724238
Deaths,KwaZulu-Natal,Female,20-24 years,All causes,Rate,1991,280.0248419,329.6186423,234.2573577
Deaths,KwaZulu-Natal,Male,25-29 years,All causes,Number,1991,2718.617259,2972.364609,2467.418937
Deaths,KwaZulu-Natal,Female,25-29 years,All causes,Number,1991,1813.701296,2156.260435,1491.717561
Deaths,KwaZulu-Natal,Male,25-29 years,All causes,Rate,1991,873.5835898,955.1211876,792.8650807
Deaths,KwaZulu-Natal,Female,25-29 years,All causes,Rate,1991,493.6434555,586.8793579,406.0076558
Deaths,KwaZulu-Natal,Male,30-34 years,All causes,Number,1991,3236.76305,3548.595664,2924.969122
Deaths,KwaZulu-Natal,Female,30-34 years,All causes,Number,1991,1792.654921,2101.039939,1495.956532
Deaths,KwaZulu-Natal,Male,30-34 years,All causes,Rate,1991,1297.010127,1421.965229,1172.070526
Deaths,KwaZulu-Natal,Female,30-34 years,All causes,Rate,1991,615.8634443,721.8085751,513.9332348
Deaths,KwaZulu-Natal,Male,35-39 years,All causes,Number,1991,2796.66438,3129.931366,2475.097072
Deaths,KwaZulu-Natal,Female,35-39 years,All causes,Number,1991,1329.526227,1560.168468,1110.743063
Deaths,KwaZulu-Natal,Male,35-39 years,All causes,Rate,1991,1348.300477,1508.971897,1193.269592
Deaths,KwaZulu-Natal,Female,35-39 years,All causes,Rate,1991,561.18739,658.5405028,468.8399427
Deaths,KwaZulu-Natal,Male,40-44 years,All causes,Number,1991,2192.937384,2497.508712,1897.603871
Deaths,KwaZulu-Natal,Female,40-44 years,All causes,Number,1991,984.3629051,1148.722257,826.3151294
Deaths,KwaZulu-Natal,Male,40-44 years,All causes,Rate,1991,1307.601577,1489.210934,1131.500531
Deaths,KwaZulu-Natal,Female,40-44 years,All causes,Rate,1991,520.7062919,607.6487684,437.1025003
Deaths,KwaZulu-Natal,Male,45-49 years,All causes,Number,1991,1767.813344,2056.360611,1501.511256
Deaths,KwaZulu-Natal,Female,45-49 years,All causes,Number,1991,819.8418165,957.0190486,688.4896227
Deaths,KwaZulu-Natal,Male,45-49 years,All causes,Rate,1991,1355.318359,1576.537081,1151.154209
Deaths,KwaZulu-Natal,Female,45-49 years,All causes,Rate,1991,528.5249946,616.9586343,443.846565
Deaths,KwaZulu-Natal,Male,50-54 years,All causes,Number,1991,1640.80408,1916.807899,1386.823071
Deaths,KwaZulu-Natal,Female,50-54 years,All causes,Number,1991,814.2895899,947.6270265,683.3300731
Deaths,KwaZulu-Natal,Male,50-54 years,All causes,Rate,1991,1546.288913,1806.394096,1306.937961
Deaths,KwaZulu-Natal,Female,50-54 years,All causes,Rate,1991,603.7210362,702.5785145,506.6265675
Deaths,KwaZulu-Natal,Male,55-59 years,All causes,Number,1991,1513.626008,1770.773576,1278.437827
Deaths,KwaZulu-Natal,Female,55-59 years,All causes,Number,1991,868.4147079,1009.583273,734.6753559
Deaths,KwaZulu-Natal,Male,55-59 years,All causes,Rate,1991,1891.755374,2213.142753,1597.81321
Deaths,KwaZulu-Natal,Female,55-59 years,All causes,Rate,1991,778.7812202,905.3790615,658.8457852
Deaths,KwaZulu-Natal,Male,15-19 years,All causes,Number,1995,867.2193819,952.6132458,788.5482728
Deaths,KwaZulu-Natal,Female,15-19 years,All causes,Number,1995,729.2703647,1098.499169,540.7926658
Deaths,KwaZulu-Natal,Male,15-19 years,All causes,Rate,1995,187.4919157,205.953979,170.4833049
Deaths,KwaZulu-Natal,Female,15-19 years,All causes,Rate,1995,148.7173845,224.012837,110.2818306
Deaths,KwaZulu-Natal,Male,20-24 years,All causes,Number,1995,2076.160193,2290.874674,1895.205108
