measure,location,sex_id,age_id,cause,metric,year,val,upper,lower
1,485,1,8,294,3,1997,221.7220428,238.7848451,207.1136503
1,485,2,8,294,3,1997,183.5533155,289.1281252,128.6921252
1,485,1,9,294,3,1997,625.2834526,692.1173501,580.0067364
1,485,2,9,294,3,1997,533.070517,786.5249435,375.237865
1,485,1,10,294,3,1997,1114.248328,1303.987753,1000.037635
1,485,2,10,294,3,1997,842.0406784,1229.624636,616.3452606
1,485,1,11,294,3,1997,1464.37679,1788.508609,1253.03736
1,485,2,11,294,3,1997,871.5269018,1239.550108,648.4882152
1,485,1,12,294,3,1997,1617.854976,2119.506067,1341.72309
1,485,2,12,294,3,1997,834.5746955,1207.605621,637.2377045
1,485,1,13,294,3,1997,1833.063529,2242.553347,1570.374916
1,485,2,13,294,3,1997,812.5107873,1169.063585,623.5777453
1,485,1,14,294,3,1997,2261.345533,2616.561034,2015.030537
1,485,2,14,294,3,1997,999.7032244,1336.286862,797.7725066
1,485,1,15,294,3,1997,2492.445619,2813.08334,2259.537387
1,485,2,15,294,3,1997,1103.810709,1408.688091,912.4091181
1,485,1,16,294,3,1997,3459.00319,3750.331544,3207.315814
1,485,2,16,294,3,1997,1619.473797,1839.52404,1460.004753
1,485,1,8,294,3,1998,252.4497175,272.3338425,237.1980112
1,485,2,8,294,3,1998,210.0055454,322.5043088,148.1594474
1,485,1,9,294,3,1998,693.1488729,766.0700016,643.1018925
1,485,2,9,294,3,1998,640.9721637,944.5332264,448.659768
1,485,1,10,294,3,1998,1301.299332,1533.052972,1171.966475
1,485,2,10,294,3,1998,1058.148154,1519.953426,782.1495796
1,485,1,11,294,3,1998,1776.730047,2180.121038,1525.388649
1,485,2,11,294,3,1998,1123.814459,1573.742439,834.5319504
1,485,1,12,294,3,1998,1987.610516,2624.60669,1641.8393
1,485,2,12,294,3,1998,1028.776404,1498.236043,768.6155874
1,485,1,13,294,3,1998,2153.085654,2679.704255,1819.645055
1,485,2,13,294,3,1998,979.6649591,1402.539071,731.7767542
1,485,1,14,294,3,1998,2589.545405,3036.79958,2287.926623
1,485,2,14,294,3,1998,1150.858904,1569.577743,893.0017
1,485,1,15,294,3,1998,2976.070916,3354.187371,2711.84168
1,485,2,15,294,3,1998,1253.054524,1637.819062,1009.830167
1,485,1,16,294,3,1998,3874.927357,4202.210113,3619.236773
1,485,2,16,294,3,1998,1716.843927,1996.182316,1528.908397
1,485,1,8,294,3,2000,247.5565701,268.0406863,232.4629305
1,485,2,8,294,3,2000,241.776365,356.9972816,178.6763404
1,485,1,9,294,3,2000,666.2503219,748.2380482,612.0419124
1,485,2,9,294,3,2000,865.1767315,1231.050514,616.2820482
1,485,1,10,294,3,2000,1450.016454,1725.756245,1285.789383
1,485,2,10,294,3,2000,1599.237715,2197.484288,1197.249927
1,485,1,11,294,3,2000,2171.237472,2680.817577,1834.847238
1,485,2,11,294,3,2000,1786.849641,2420.915988,1347.145225
1,485,1,12,294,3,2000,2436.572026,3255.489038,1932.976115
1,485,2,12,294,3,2000,1537.474517,2146.043599,1133.238698
1,485,1,13,294,3,2000,2430.182367,3160.172878,1923.755456
1,485,2,13,294,3,2000,1364.047591,1888.638538,987.3659558
1,485,1,14,294,3,2000,2652.160518,3237.721342,2215.812063
1,485,2,14,294,3,2000,1388.519918,1914.54682,995.5736334
1,485,1,15,294,3,2000,3102.668535,3603.887828,2744.314895
1,485,2,15,294,3,2000,1610.353022,2070.938684,1238.159803
1,485,1,16,294,3,2000,3452.841429,3861.031599,3147.418482
1,485,2,16,294,3,2000,1819.230753,2179.086837,1532.357557
1,485,1,8,294,3,1999,252.3840477,271.0214161,235.7262847
1,485,2,8,294,3,1999,231.2830687,344.6954641,167.4111786
1,485,1,9,294,3,1999,660.3574334,739.1102246,604.0330979
1,485,2,9,294,3,1999,742.892509,1083.424635,520.9743775
1,485,1,10,294,3,1999,1329.44252,1588.994621,1175.564538
1,485,2,10,294,3,1999,1303.696433,1811.780107,962.3123783
1,485,1,11,294,3,1999,1930.418398,2386.032672,1631.658463
1,485,2,11,294,3,1999,1410.422753,1925.859638,1044.244303
1,485,1,12,294,3,1999,2145.976114,2871.734951,1721.43807
1,485,2,12,294,3,1999,1255.748026,1791.504821,930.4513216
1,485,1,13,294,3,1999,2212.403617,2845.376611,1793.52244
1,485,2,13,294,3,1999,1145.800474,1628.23659,830.3083336
1,485,1,14,294,3,1999,2494.170436,2986.105158,2136.543349
1,485,2,14,294,3,1999,1249.828684,1718.765732,918.9733959
1,485,1,15,294,3,1999,2937.402659,3368.361291,2618.340227
1,485,2,15,294,3,1999,1403.576023,1837.746531,1094.755285
