"sim_id","HIV_neg_female","HIV_neg_male","HIV_pos_female","HIV_pos_male","hiv_prev_mse_male","hiv_prev_mse_female","hiv_prev_mse","max_perc_diff_male","max_perc_diff_female","b1_contact","b2_contact","hiv2_mort","hiv3_mort","hiv4_mort","tb_hiv1_mort","tb_hiv2_mort","tb_hiv3_mort","tb_hiv4_mort","hiv_prev_mse_male_norm","hiv_prev_mse_female_norm","hiv_prev_mse_male_norm_rank","hiv_prev_mse_female_norm_rank"
5211,14846.8967806777,118971.723119317,464159.436407537,721746.341911122,238827281.922543,81404785.1568372,320232067.07938,0.0423897031263689,0.0385968375315193,11,11,12,35,1.5,17,22,60,17,0.55842604887393,0.121127196208945,4451,1791
5212,14814.8338210275,118627.336115046,485866.409950178,738894.854733624,239818664.911906,79621248.3266834,319439913.23859,0.0423945761201217,0.0380861852694293,11,11,12,35,1.5,17,22,60,20,0.5612811001385,0.115207328267391,4465,1758
5213,14879.7366902251,119693.705066651,354469.544690547,632990.738598737,238031432.442999,83553466.1094047,321584898.552403,0.0419497676309336,0.0388657464360525,11,11,12,35,1.5,17,30,40,17,0.556134108133208,0.12825904079588,4442,1838
5214,14845.8332564652,119331.325861456,376238.496761133,650018.357769549,239096532.907409,81676985.6718722,320773518.579281,0.0419547854490469,0.0383398768703339,11,11,12,35,1.5,17,30,40,20,0.559201455929605,0.122030676908298,4457,1802
5215,13598.7362924504,108466.838471783,652526.400251609,901329.928285694,266037332.348091,67273297.2099845,333310629.558075,0.0442156981861484,0.0356159341182809,11,11,12,35,1.5,17,30,60,17,0.636787378158378,0.0742223378125994,4666,1338
5216,13567.1477829444,108135.767764553,677498.259538782,919127.711880074,267062590.049265,65748885.7623158,332811475.811581,0.0442203182430737,0.0351279433952953,11,11,12,35,1.5,17,30,60,20,0.639739984091357,0.0691625519386998,4669,1224
5217,7142.11801627819,64231.6544782127,153554.783071388,352795.875981488,311094202.798274,62350893.0934509,373445095.891725,0.0479133848868701,0.0343022392934808,11,11,12,45,1.2,14,22,40,17,0.766545177451483,0.0578840251788603,5264,963
5218,7121.43046212978,64001.3518306062,167576.199495502,365877.411981483,312320259.485592,60825801.4253259,373146060.910918,0.0479187731677972,0.0337740849860202,11,11,12,45,1.2,14,22,40,20,0.770076057780397,0.0528219815353401,5300,834
5219,6523.46897132126,58224.298333579,358984.556251569,554519.721017735,338982153.537693,54983142.7020721,393965296.239765,0.0499112071079605,0.0314810813344051,11,11,12,45,1.2,14,22,60,17,0.846858769553769,0.0334291843222607,5953,368
5220,6504.25995001661,58013.8749469899,376885.608548076,569044.471733946,340148367.071748,53749388.6133402,393897755.685088,0.0499156172620508,0.0309869477168957,11,11,12,45,1.2,14,22,60,20,0.850217309553837,0.0293341406123893,5971,290
