F15Regions,DName2016,CName2016,SName2016,scode,SC,Sname,scode17,DNama2017,BCOUNTIES
ELGON,KAPCHORWA,TINGEY,CHEMA,"206102",KAPCHORWATINGEYCHEMA,CHEMA,"206102",KAPCHORWA,
ELGON,KAPCHORWA,TINGEY,MUNARYA,"206110",KAPCHORWATINGEYMUNARYA,MUNARYA,"206110",KAPCHORWA,
BUSOGA,KAMULI,KAMULI MUNICIPALITY,NORTHERN DIVISION,"205301",KAMULIKAMULI MUNICIPALITYNORTHERN DIVISION,NORTHERN DIVISION,"205301",KAMULI,
BUSOGA,KAMULI,BUZAAYA,MBULAMUTI,"205203",KAMULIBUZAAYAMBULAMUTI,MBULAMUTI,"205203",KAMULI,
BUSOGA,KAMULI,BUZAAYA,BUGULUMBYA,"205201",KAMULIBUZAAYABUGULUMBYA,BUGULUMBYA,"205201",KAMULI,
BUSOGA,KAMULI,BUGABULA,NAMASAGALI,"205106",KAMULIBUGABULANAMASAGALI,NAMASAGALI,"205106",KAMULI,
BUSOGA,KAMULI,KAMULI MUNICIPALITY,SOUTHERN DIVISION,"205302",KAMULIKAMULI MUNICIPALITYSOUTHERN DIVISION,SOUTHERN DIVISION,"205302",KAMULI,
BUSOGA,KAMULI,BUZAAYA,KISOZI,"205202",KAMULIBUZAAYAKISOZI,KISOZI,"205202",KAMULI,
BUSOGA,KAMULI,BUGABULA,BALAWOLI,"205101",KAMULIBUGABULABALAWOLI,BALAWOLI,"205101",KAMULI,
BUSOGA,KAMULI,BUGABULA,BUTANSI,"205103",KAMULIBUGABULABUTANSI,BUTANSI,"205103",KAMULI,
BUSOGA,KAMULI,BUGABULA,KITAYUNJWA,"205104",KAMULIBUGABULAKITAYUNJWA,KITAYUNJWA,"205104",KAMULI,
BUSOGA,KAMULI,BUZAAYA,NAWANYAGO,"205204",KAMULIBUZAAYANAWANYAGO,NAWANYAGO,"205204",KAMULI,
BUSOGA,KAMULI,BUGABULA,NABWIGULU,"205105",KAMULIBUGABULANABWIGULU,NABWIGULU,"205105",KAMULI,
BUSOGA,LUUKA,LUUKA,BULONGO,"229103",LUUKALUUKABULONGO,BULONGO,"229103",LUUKA,
BUSOGA,JINJA,JINJA MUNICIPALITY,CENTRAL DIVISION,"204201",JINJAJINJA MUNICIPALITYJINJA CENTRAL DIVISION,CENTRAL DIVISION,"204201",JINJA,
BUSOGA,LUUKA,LUUKA,LUUKA TOWN COUNCIL,"229106",LUUKALUUKALUUKA TOWN COUNCIL,LUUKA TOWN COUNCIL,"229106",LUUKA,
BUSOGA,LUUKA,LUUKA,NAWAMPITI,"229107",LUUKALUUKANAWAMPITI,NAWAMPITI,"229107",LUUKA,
BUSOGA,LUUKA,LUUKA,BUKANGA,"229101",LUUKALUUKABUKANGA,BUKANGA,"229101",LUUKA,
BUSOGA,JINJA,BUTEMBE,BUGEMBE TOWN COUNCIL,"204101",JINJABUTEMBEBUGEMBE TOWN COUNCIL,BUGEMBE TOWN COUNCIL,"204101",JINJA,
BUSOGA,JINJA,BUTEMBE,KAKIRA TOWN COUNCIL,"204103",JINJABUTEMBEKAKIRA TOWN COUNCIL,KAKIRA TOWN COUNCIL,"204103",JINJA,
BUSOGA,JINJA,BUTEMBE,MAFUBIRA,"204104",JINJABUTEMBEMAFUBIRA,MAFUBIRA,"204104",JINJA,
BUSOGA,JINJA,KAGOMA,BUDONDO,"204301",JINJAKAGOMABUDONDO,BUDONDO,"204301",JINJA,
BUSOGA,JINJA,KAGOMA,BUTAGAYA,"204302",JINJAKAGOMABUTAGAYA,BUTAGAYA,"204302",JINJA,
BUSOGA,JINJA,KAGOMA,BUWENGE,"204303",JINJAKAGOMABUWENGE,BUWENGE,"204303",JINJA,
BUSOGA,JINJA,KAGOMA,BUWENGE TOWN COUNCIL,"204304",JINJAKAGOMABUWENGE TOWN COUNCIL,BUWENGE TOWN COUNCIL,"204304",JINJA,
BUSOGA,JINJA,JINJA MUNICIPALITY,MASESE WALUKUBA,"204203",JINJAJINJA MUNICIPALITYKIMAKA/MPUMUDDE/ NALUFENYA DIVISION,MASESE WALUKUBA,"204203",JINJA,
BUSOGA,JINJA,JINJA MUNICIPALITY,MPUMUDDE DIVISION,"204202",JINJAJINJA MUNICIPALITYMASESE/WALUKUBA DIVISION,MPUMUDDE DIVISION,"204202",JINJA,
BUSOGA,KAMULI,BUZAAYA,WANKOLE,"205205",KAMULIBUZAAYAWANKOLE,WANKOLE,"205205",KAMULI,
