sim_id,HIV/TB_coinfection_Female,HIV/TB_coinfection_Male,TB_only_Female,TB_only_Male,total_mse,rank_total,rank_HIV/TB_coinfection_Female,rank_HIV/TB_coinfection_Male,rank_TB_only_FEMALE,rank_TB_ONLY_MALE,b1_calib_id,b2_calib_id,m1_calib_id,m2_calib_id,m3_calib_id,m4_calib_id
187," 91,170 "," 34,745 "," 1,445 "," 3,804 "," 131,164 ",70,153,438,78,85,16.4,18,1-H,2-L,3-H,4-L
557," 99,381 "," 26,012 "," 1,126 "," 4,693 "," 131,213 ",71,182,382,18,210,18,17.6,1-H,2-H,3-L,4-L
188," 91,556 "," 34,497 "," 1,441 "," 3,750 "," 131,244 ",72,155,437,77,65,16.4,18,1-H,2-L,3-H,4-H
443," 90,599 "," 35,531 "," 1,416 "," 3,758 "," 131,304 ",73,150,443,73,69,17.6,17.2,1-H,2-L,3-H,4-L
571," 57,867 "," 66,743 "," 1,049 "," 5,645 "," 131,304 ",74,45,540,6,258,18,18,1-H,2-L,3-H,4-L
558," 99,715 "," 25,887 "," 1,122 "," 4,640 "," 131,365 ",75,184,380,17,206,18,17.6,1-H,2-H,3-L,4-H
444," 90,938 "," 35,349 "," 1,412 "," 3,708 "," 131,408 ",76,151,441,71,43,17.6,17.2,1-H,2-L,3-H,4-H
560," 40,290 "," 85,627 "," 1,164 "," 4,396 "," 131,477 ",77,13,564,25,186,18,17.6,1-H,2-H,3-H,4-H
559," 40,764 "," 85,368 "," 1,165 "," 4,423 "," 131,720 ",78,14,563,26,189,18,17.6,1-H,2-H,3-H,4-L
549," 91,344 "," 30,466 "," 3,506 "," 6,882 "," 132,198 ",79,154,411,305,300,18,17.6,1-L,2-H,3-L,4-L
550," 91,628 "," 30,304 "," 3,507 "," 6,873 "," 132,313 ",80,156,409,306,299,18,17.6,1-L,2-H,3-L,4-H
399," 98,465 "," 27,148 "," 2,331 "," 4,529 "," 132,473 ",81,179,391,223,195,17.6,16,1-H,2-H,3-H,4-L
143," 99,111 "," 26,431 "," 2,381 "," 4,687 "," 132,609 ",82,181,386,225,209,16.4,16.8,1-H,2-H,3-H,4-L
523," 94,845 "," 32,735 "," 1,476 "," 3,678 "," 132,734 ",83,165,425,86,33,18,16.8,1-H,2-L,3-H,4-L
268," 95,819 "," 31,760 "," 1,505 "," 3,682 "," 132,766 ",84,172,417,91,34,16.8,17.6,1-H,2-L,3-H,4-H
400," 99,022 "," 26,924 "," 2,333 "," 4,511 "," 132,790 ",85,180,389,224,194,17.6,16,1-H,2-H,3-H,4-H
267," 95,684 "," 31,876 "," 1,508 "," 3,730 "," 132,798 ",86,171,418,92,51,16.8,17.6,1-H,2-L,3-H,4-L
524," 95,229 "," 32,518 "," 1,474 "," 3,628 "," 132,849 ",87,167,421,85,10,18,16.8,1-H,2-L,3-H,4-H
144," 99,666 "," 26,206 "," 2,383 "," 4,668 "," 132,923 ",88,183,385,226,207,16.4,16.8,1-H,2-H,3-H,4-H
87," 59,375 "," 57,295 "," 4,837 "," 11,490 "," 132,997 ",89,53,521,409,409,16,18,1-L,2-H,3-H,4-L
88," 59,773 "," 56,991 "," 4,840 "," 11,494 "," 133,099 ",90,54,519,410,410,16,18,1-L,2-H,3-H,4-H
263," 55,132 "," 62,722 "," 4,617 "," 10,671 "," 133,142 ",91,41,532,387,387,16.8,17.6,1-L,2-H,3-H,4-L
343," 58,752 "," 58,570 "," 4,758 "," 11,184 "," 133,265 ",92,50,524,401,401,17.2,17.2,1-L,2-H,3-H,4-L
264," 55,694 "," 62,281 "," 4,623 "," 10,680 "," 133,278 ",93,42,531,388,388,16.8,17.6,1-L,2-H,3-H,4-H
382," 104,723 "," 23,024 "," 1,176 "," 4,370 "," 133,293 ",94,202,362,27,178,17.2,18,1-H,2-H,3-L,4-H
344," 59,133 "," 58,264 "," 4,762 "," 11,187 "," 133,346 ",95,52,523,402,402,17.2,17.2,1-L,2-H,3-H,4-H
167," 63,037 "," 53,419 "," 4,979 "," 12,018 "," 133,453 ",96,63,508,423,423,16.4,17.6,1-L,2-H,3-H,4-L
183," 51,857 "," 66,965 "," 4,481 "," 10,183 "," 133,486 ",97,35,541,375,375,16.4,18,1-L,2-H,3-H,4-L
