"","sim_id","HIV_neg_female","HIV_neg_male","HIV_pos_female","HIV_pos_male","hiv_prev_mse_male","hiv_prev_mse_female","hiv_prev_mse","max_perc_diff_male","max_perc_diff_female","b1_contact","b2_contact","hiv2_mort","hiv3_mort","hiv4_mort","tb_hiv1_mort","tb_hiv2_mort","tb_hiv3_mort","tb_hiv4_mort","hiv_prev_mse_male_norm","hiv_prev_mse_female_norm","hiv_prev_mse_male_norm_rank","hiv_prev_mse_female_norm_rank"
"33",33,23116.5747566909,107367.099754974,815251.841413801,356069.524089614,89687526.0757504,230198341.798312,319885867.874062,0.029293097322816,0.0589418327511136,6,6,8,45,1.2,14,22,40,17,0.187080403641365,0.511117900976623,1570,4704
"34",34,23118.1343509774,107379.786486655,810683.737322996,354039.112563237,89724879.1223592,229763328.179428,319488207.301787,0.0292938292347653,0.058863380665895,6,6,8,45,1.2,14,22,40,20,0.187222284007047,0.50972151410143,1572,4701
"35",35,23209.8310054462,107929.734573866,747549.902785984,319928.52784079,91727602.0842206,224773333.78746,316500935.871681,0.0296075062788458,0.0584034956036967,6,6,8,45,1.2,14,22,60,17,0.194829349346718,0.493703710580463,1724,4601
"36",36,23211.3231442493,107941.914064903,743292.381751472,318108.416849651,91764794.2779056,224358251.477398,316123045.755303,0.0296081587572114,0.0583272012043014,6,6,8,45,1.2,14,22,60,20,0.194970618734884,0.492371302893129,1730,4587
"37",37,23216.6575562882,107963.898902118,768823.743868548,327669.781440263,92302278.301069,224216362.978537,316518641.279606,0.029649193829775,0.0583295903096574,6,6,8,45,1.2,14,30,40,17,0.197012177233536,0.491915843043256,1778,4582
"38",38,23218.2009087115,107976.452113147,764471.964338117,325769.528086898,92341985.0700109,223795570.067837,316137555.137848,0.0296499007144379,0.058252677949948,6,6,8,45,1.2,14,30,40,20,0.197162997886976,0.490565104417684,1781,4560
"39",39,23307.2993721332,108511.275466905,704871.720762726,294326.331726963,94239962.1872431,219903501.086159,314143463.273402,0.0299460679120264,0.0579401303653596,6,6,8,45,1.2,14,30,60,17,0.204372200666858,0.478071624196762,2058,4315
"40",40,23308.7763264485,108523.327114483,700815.737927125,292622.64551655,94278612.9561993,219501202.663971,313779815.62017,0.0299467054554628,0.0578653534026469,6,6,8,45,1.2,14,30,60,20,0.204519010250848,0.476780252588453,2068,4284
"41",41,20361.6628725722,93849.9928774209,819608.347621895,358941.945890195,89661262.8490076,229536928.415906,319198191.264914,0.0292805687655223,0.0588165364904561,6,6,8,45,1.2,17,22,40,17,0.186980646417991,0.508994774421097,1569,4700
"42",42,20363.378431584,93863.8632476166,815071.114985483,356923.326201363,89698799.0511742,229106517.75851,318805316.809684,0.0292812892095359,0.0587387144937616,6,6,8,45,1.2,17,22,40,20,0.187123222474651,0.50761316297989,1571,4693
"43",43,20463.6233623662,94455.1944546065,752377.838161447,322966.195960555,91640160.8405835,224941073.433616,316581234.2742,0.0295913469277678,0.0584198901625063,6,6,8,45,1.2,17,22,60,17,0.19449721591319,0.494242152206596,1714,4609
