"sim_id","program_id","undisc_inc","disc_inc"
75514,1,12121.9084376326,10654.2444729079
75514,2,9577.81262868139,8471.05153978291
75514,3,9298.81823469714,8226.68732170298
7566,1,12811.2539134775,11251.9978554555
7566,2,10020.7947851461,8856.06603837137
7566,3,9827.472554764,8684.93922685389
75938,1,13616.7034239522,11962.1579709561
75938,2,10895.7209051611,9624.68870526881
75938,3,10503.3244072829,9284.04608837675
75939,1,13521.0116785102,11877.9613347396
75939,2,10737.1103527781,9490.96917251057
75939,3,10064.3684409071,8908.9664447559
75943,1,12415.2508909518,10909.8538050208
75943,2,9627.75530342603,8515.87092823487
75943,3,9318.60378204063,8246.63214795145
76049,1,11849.0649368537,10399.551383107
76049,2,9579.93034224477,8448.32866248757
76049,3,9466.97801143504,8349.58188654536
76249,1,13262.3062481781,11633.8742584321
76249,2,10261.0855458494,9062.09341102391
76249,3,10127.296654843,8943.33278211204
7625,1,12901.6639702164,11331.5771873343
7625,2,10096.8426093174,8926.10196972207
7625,3,9967.95683271983,8811.14248927486
76257,1,11612.006298329,10201.1165427073
76257,2,8650.16420780386,7657.45808770736
76257,3,8441.05925338543,7473.89305412259
76289,1,12592.4409503081,11062.7753076799
76289,2,10031.6703625105,8866.37370508004
76289,3,9540.27394474471,8439.88855509999
76706,1,12777.5961324296,11222.3088921819
76706,2,10372.8124209442,9156.29513434208
76706,3,9954.15591339587,8791.87202815282
76794,1,12228.4282695877,10747.6223793096
76794,2,9656.98918381917,8539.56746974057
76794,3,9329.7297860637,8253.66256940015
7704,1,12171.5966064152,10688.3341520771
7704,2,9506.01173314298,8402.85785407052
7704,3,9019.15847218485,7980.91238817147
7705,1,13720.395955069,12052.0045803782
7705,2,10407.6628659574,9207.44874339039
7705,3,10191.6279746196,9019.37428121965
77098,1,12086.6334752696,10618.7832163166
77098,2,9353.39634457445,8272.38864706399
77098,3,8960.11311603929,7930.87759971806
77201,1,12616.2134092176,11066.9629195266
77201,2,10070.2409819433,8879.78128026811
77201,3,9954.9691923559,8777.70635600406
77204,1,12034.790739156,10577.1793359234
77204,2,9534.35419842493,8430.45106849391
77204,3,9262.85137874265,8193.14554471707
77214,1,12345.6364191694,10847.5588191396
77214,2,9441.78859058473,8356.0896397605
77214,3,9266.63689549233,8201.71677637087
77287,1,12106.4238702593,10638.142769563
77287,2,9673.3924316111,8544.90721245867
77287,3,9436.27201480553,8339.07712845393
77313,1,12427.5348276681,10934.1568706545
77313,2,9648.49408718247,8545.58413064531
77313,3,9169.362618529,8128.20294053037
77426,1,13053.6448374463,11466.2948682066
77426,2,10183.4475732883,9002.22796182993
77426,3,9886.78325150851,8742.90222822933
77602,1,12032.8042443036,10567.286592618
77602,2,9498.08836765678,8394.48218638657
77602,3,9074.75973219916,8027.04865870793
77679,1,11955.3786022651,10500.564483718
77679,2,9421.9360998257,8322.35014025909
77679,3,9259.69378940516,8179.17684476349
77734,1,13230.5965391158,11628.1728340361
77734,2,10238.4344891956,9055.18215717248
77734,3,9884.05840524994,8747.51812596633
77949,1,12223.3014445636,10736.2339243558
77949,2,9954.18451841099,8790.48130723245
77949,3,9450.67975685387,8353.14652137188
78172,1,13768.0106921802,12088.5664932705
78172,2,11067.7497843919,9777.36442946596
78172,3,10435.9796727269,9230.28151162408
78217,1,12861.2221704547,11303.511319303
78217,2,9974.04856419947,8826.72399181436
78217,3,9585.47734379324,8489.51291572531
78262,1,12800.1677278673,11238.9690267898
78262,2,10319.2590279385,9109.74176545561
78262,3,9804.42160860052,8663.61670580465
78441,1,12124.7762410118,10655.4471157183
78441,2,9574.85347559759,8468.37088804781
78441,3,9190.94097496563,8133.9515192595
78563,1,13934.3378518869,12248.3600707349
78563,2,11028.4652987465,9752.80961541668
78563,3,10597.0215023237,9379.49683606484
78595,1,12763.0527727381,11211.9569301877
78595,2,10443.2095787835,9220.98248306257
78595,3,9767.99298349961,8636.9787981935
78930,1,12243.5190581005,10746.663802196
78930,2,9748.67334059247,8607.20311907687
78930,3,9262.88138257768,8186.76918884378
79272,1,13214.8929685401,11602.8901647204
79272,2,10513.2923937753,9281.10445193583
79272,3,10317.2649542653,9107.84850320947
79565,1,12570.7060355554,11044.5047274281
79565,2,10060.9567559342,8893.89142049252
79565,3,9631.34734466499,8519.25793346075
79578,1,13117.4000699952,11518.1077054096
79578,2,10080.9448495016,8914.28616676958
79578,3,9825.24447658777,8691.5029368161
79793,1,13819.2075556313,12131.0584743379
79793,2,11115.2945788191,9809.96135736962
79793,3,10862.1676058969,9588.23324225458
80032,1,12750.6797763216,11191.4153767254
80032,2,10041.5740325562,8865.84528635236
80032,3,9938.7194758224,8773.81890796195
80149,1,13290.3584973943,11672.4203901005
80149,2,10810.9910596538,9544.30312674351
80149,3,10437.8690967273,9220.59236368567
80189,1,12913.4233395252,11344.8352163428
80189,2,9949.11026875558,8800.24349509048
80189,3,9497.74521599815,8408.54505427783
80211,1,13302.1405696442,11690.3238303248
80211,2,10705.8982105909,9463.59946002521
80211,3,10349.292667,9152.20125054499
80293,1,12949.5437245659,11376.8018451531
80293,2,9941.16029395144,8793.05220505856
80293,3,9716.36719846579,8596.03455121712
80317,1,11086.8437891314,9739.61786163053
80317,2,8668.27542347446,7665.44229085027
80317,3,8259.21149098222,7309.76846521572
80424,1,12579.0842486213,11046.3650441814
80424,2,10007.8791890449,8837.28677861697
80424,3,9702.77388957267,8571.39343089943
80588,1,12694.2367757774,11152.8306759455
80588,2,9791.58757708574,8661.35311171929
80588,3,9564.4118882667,8462.43070564451
8071,1,13201.1001036233,11599.2848441651
8071,2,10406.1277848648,9201.29905622986
8071,3,10135.3772727567,8965.37140973035
80884,1,13332.9376973963,11710.4164212327
80884,2,10401.3321682292,9192.23449766003
80884,3,10250.4706882551,9058.83623307127
80892,1,12412.7024772057,10901.5893874043
80892,2,9535.97600238499,8430.08166762619
80892,3,9315.27959918915,8237.31913479363
80923,1,12604.015877149,11072.69736162
80923,2,10168.2838666918,8977.51825908859
80923,3,9799.84759933798,8656.76199233475
81101,1,13814.9237335234,12131.3183192099
81101,2,11020.8133564868,9740.6193690764
81101,3,10270.4877040975,9090.29951567833
81111,1,12967.9808007832,11399.8234607014
81111,2,10201.7692493321,9025.03997742815
81111,3,9794.92783602971,8672.76907075715
8113,1,12681.7692979602,11133.93278303
8113,2,10522.1809880716,9280.25544490044
8113,3,10115.3740128729,8924.91002723582
81224,1,13665.3537473076,11999.7763012302
81224,2,10478.4917480034,9263.06990388539
81224,3,10306.4773848012,9111.68490869818
81287,1,12622.1727916738,11077.4801782136
81287,2,9508.91680754245,8403.78147238042
81287,3,9447.4053555323,8348.24856143603
8134,1,12873.712844312,11308.5144411196
8134,2,10253.0372879453,9055.57524207661
