sim_calib_id,b1_contact,b2_contact,hiv2_mort,hiv3_mort,hiv4_mort,tb_hiv1_mort,tb_hiv2_mort,tb_hiv3_mort,tb_hiv4_mort
237,6,7,10,40,1.2,17,30,40,17
238,6,7,10,40,1.2,17,30,40,20
239,6,7,10,40,1.2,17,30,60,17
240,6,7,10,40,1.2,17,30,60,20
241,6,7,10,40,1.5,14,22,40,17
242,6,7,10,40,1.5,14,22,40,20
243,6,7,10,40,1.5,14,22,60,17
244,6,7,10,40,1.5,14,22,60,20
245,6,7,10,40,1.5,14,30,40,17
246,6,7,10,40,1.5,14,30,40,20
247,6,7,10,40,1.5,14,30,60,17
248,6,7,10,40,1.5,14,30,60,20
249,6,7,10,40,1.5,17,22,40,17
250,6,7,10,40,1.5,17,22,40,20
251,6,7,10,40,1.5,17,22,60,17
252,6,7,10,40,1.5,17,22,60,20
253,6,7,10,40,1.5,17,30,40,17
254,6,7,10,40,1.5,17,30,40,20
255,6,7,10,40,1.5,17,30,60,17
256,6,7,10,40,1.5,17,30,60,20
257,6,8,6,30,1.2,14,22,40,17
258,6,8,6,30,1.2,14,22,40,20
259,6,8,6,30,1.2,14,22,60,17
260,6,8,6,30,1.2,14,22,60,20
261,6,8,6,30,1.2,14,30,40,17
262,6,8,6,30,1.2,14,30,40,20
263,6,8,6,30,1.2,14,30,60,17
264,6,8,6,30,1.2,14,30,60,20
265,6,8,6,30,1.2,17,22,40,17
266,6,8,6,30,1.2,17,22,40,20
267,6,8,6,30,1.2,17,22,60,17
268,6,8,6,30,1.2,17,22,60,20
269,6,8,6,30,1.2,17,30,40,17
270,6,8,6,30,1.2,17,30,40,20
271,6,8,6,30,1.2,17,30,60,17
272,6,8,6,30,1.2,17,30,60,20
273,6,8,6,30,1.5,14,22,40,17
274,6,8,6,30,1.5,14,22,40,20
275,6,8,6,30,1.5,14,22,60,17
276,6,8,6,30,1.5,14,22,60,20
277,6,8,6,30,1.5,14,30,40,17
278,6,8,6,30,1.5,14,30,40,20
279,6,8,6,30,1.5,14,30,60,17
280,6,8,6,30,1.5,14,30,60,20
281,6,8,6,30,1.5,17,22,40,17
282,6,8,6,30,1.5,17,22,40,20
283,6,8,6,30,1.5,17,22,60,17
284,6,8,6,30,1.5,17,22,60,20
285,6,8,6,30,1.5,17,30,40,17
286,6,8,6,30,1.5,17,30,40,20
287,6,8,6,30,1.5,17,30,60,17
288,6,8,6,30,1.5,17,30,60,20
289,6,8,6,40,1.2,14,22,40,17
290,6,8,6,40,1.2,14,22,40,20
291,6,8,6,40,1.2,14,22,60,17
292,6,8,6,40,1.2,14,22,60,20
293,6,8,6,40,1.2,14,30,40,17
294,6,8,6,40,1.2,14,30,40,20
295,6,8,6,40,1.2,14,30,60,17
296,6,8,6,40,1.2,14,30,60,20
297,6,8,6,40,1.2,17,22,40,17
298,6,8,6,40,1.2,17,22,40,20
299,6,8,6,40,1.2,17,22,60,17
300,6,8,6,40,1.2,17,22,60,20
301,6,8,6,40,1.2,17,30,40,17
302,6,8,6,40,1.2,17,30,40,20
303,6,8,6,40,1.2,17,30,60,17
304,6,8,6,40,1.2,17,30,60,20
305,6,8,6,40,1.5,14,22,40,17
306,6,8,6,40,1.5,14,22,40,20
307,6,8,6,40,1.5,14,22,60,17
308,6,8,6,40,1.5,14,22,60,20
309,6,8,6,40,1.5,14,30,40,17
310,6,8,6,40,1.5,14,30,40,20
311,6,8,6,40,1.5,14,30,60,17
312,6,8,6,40,1.5,14,30,60,20
313,6,8,6,40,1.5,17,22,40,17
314,6,8,6,40,1.5,17,22,40,20
315,6,8,6,40,1.5,17,22,60,17
316,6,8,6,40,1.5,17,22,60,20
317,6,8,6,40,1.5,17,30,40,17
318,6,8,6,40,1.5,17,30,40,20
319,6,8,6,40,1.5,17,30,60,17
320,6,8,6,40,1.5,17,30,60,20
321,6,8,10,30,1.2,14,22,40,17
322,6,8,10,30,1.2,14,22,40,20
323,6,8,10,30,1.2,14,22,60,17
324,6,8,10,30,1.2,14,22,60,20
325,6,8,10,30,1.2,14,30,40,17
326,6,8,10,30,1.2,14,30,40,20
327,6,8,10,30,1.2,14,30,60,17
328,6,8,10,30,1.2,14,30,60,20
329,6,8,10,30,1.2,17,22,40,17
330,6,8,10,30,1.2,17,22,40,20
331,6,8,10,30,1.2,17,22,60,17
332,6,8,10,30,1.2,17,22,60,20
333,6,8,10,30,1.2,17,30,40,17
334,6,8,10,30,1.2,17,30,40,20
335,6,8,10,30,1.2,17,30,60,17
336,6,8,10,30,1.2,17,30,60,20
337,6,8,10,30,1.5,14,22,40,17
338,6,8,10,30,1.5,14,22,40,20
339,6,8,10,30,1.5,14,22,60,17
340,6,8,10,30,1.5,14,22,60,20
341,6,8,10,30,1.5,14,30,40,17
342,6,8,10,30,1.5,14,30,40,20
343,6,8,10,30,1.5,14,30,60,17
344,6,8,10,30,1.5,14,30,60,20
345,6,8,10,30,1.5,17,22,40,17
346,6,8,10,30,1.5,17,22,40,20
347,6,8,10,30,1.5,17,22,60,17
348,6,8,10,30,1.5,17,22,60,20
349,6,8,10,30,1.5,17,30,40,17
350,6,8,10,30,1.5,17,30,40,20
351,6,8,10,30,1.5,17,30,60,17
352,6,8,10,30,1.5,17,30,60,20
353,6,8,10,40,1.2,14,22,40,17
354,6,8,10,40,1.2,14,22,40,20
355,6,8,10,40,1.2,14,22,60,17
356,6,8,10,40,1.2,14,22,60,20
357,6,8,10,40,1.2,14,30,40,17
358,6,8,10,40,1.2,14,30,40,20
359,6,8,10,40,1.2,14,30,60,17
360,6,8,10,40,1.2,14,30,60,20
361,6,8,10,40,1.2,17,22,40,17
362,6,8,10,40,1.2,17,22,40,20
363,6,8,10,40,1.2,17,22,60,17
364,6,8,10,40,1.2,17,22,60,20
365,6,8,10,40,1.2,17,30,40,17
366,6,8,10,40,1.2,17,30,40,20
367,6,8,10,40,1.2,17,30,60,17
368,6,8,10,40,1.2,17,30,60,20
369,6,8,10,40,1.5,14,22,40,17
370,6,8,10,40,1.5,14,22,40,20
371,6,8,10,40,1.5,14,22,60,17
372,6,8,10,40,1.5,14,22,60,20
373,6,8,10,40,1.5,14,30,40,17
374,6,8,10,40,1.5,14,30,40,20
375,6,8,10,40,1.5,14,30,60,17
376,6,8,10,40,1.5,14,30,60,20
377,6,8,10,40,1.5,17,22,40,17
378,6,8,10,40,1.5,17,22,40,20
379,6,8,10,40,1.5,17,22,60,17
380,6,8,10,40,1.5,17,22,60,20
381,6,8,10,40,1.5,17,30,40,17
382,6,8,10,40,1.5,17,30,40,20
383,6,8,10,40,1.5,17,30,60,17
384,6,8,10,40,1.5,17,30,60,20
385,6,9,6,30,1.2,14,22,40,17
386,6,9,6,30,1.2,14,22,40,20
387,6,9,6,30,1.2,14,22,60,17
388,6,9,6,30,1.2,14,22,60,20
389,6,9,6,30,1.2,14,30,40,17
390,6,9,6,30,1.2,14,30,40,20
391,6,9,6,30,1.2,14,30,60,17
392,6,9,6,30,1.2,14,30,60,20
393,6,9,6,30,1.2,17,22,40,17
394,6,9,6,30,1.2,17,22,40,20
395,6,9,6,30,1.2,17,22,60,17
396,6,9,6,30,1.2,17,22,60,20
397,6,9,6,30,1.2,17,30,40,17
398,6,9,6,30,1.2,17,30,40,20
399,6,9,6,30,1.2,17,30,60,17
400,6,9,6,30,1.2,17,30,60,20
401,6,9,6,30,1.5,14,22,40,17
402,6,9,6,30,1.5,14,22,40,20
403,6,9,6,30,1.5,14,22,60,17
404,6,9,6,30,1.5,14,22,60,20
405,6,9,6,30,1.5,14,30,40,17
406,6,9,6,30,1.5,14,30,40,20
407,6,9,6,30,1.5,14,30,60,17
408,6,9,6,30,1.5,14,30,60,20
409,6,9,6,30,1.5,17,22,40,17
410,6,9,6,30,1.5,17,22,40,20
411,6,9,6,30,1.5,17,22,60,17
412,6,9,6,30,1.5,17,22,60,20
413,6,9,6,30,1.5,17,30,40,17
414,6,9,6,30,1.5,17,30,40,20
415,6,9,6,30,1.5,17,30,60,17
416,6,9,6,30,1.5,17,30,60,20
417,6,9,6,40,1.2,14,22,40,17
418,6,9,6,40,1.2,14,22,40,20
419,6,9,6,40,1.2,14,22,60,17
420,6,9,6,40,1.2,14,22,60,20
421,6,9,6,40,1.2,14,30,40,17
422,6,9,6,40,1.2,14,30,40,20
423,6,9,6,40,1.2,14,30,60,17
424,6,9,6,40,1.2,14,30,60,20
425,6,9,6,40,1.2,17,22,40,17
426,6,9,6,40,1.2,17,22,40,20
427,6,9,6,40,1.2,17,22,60,17
428,6,9,6,40,1.2,17,22,60,20
429,6,9,6,40,1.2,17,30,40,17
430,6,9,6,40,1.2,17,30,40,20
431,6,9,6,40,1.2,17,30,60,17
432,6,9,6,40,1.2,17,30,60,20
433,6,9,6,40,1.5,14,22,40,17
434,6,9,6,40,1.5,14,22,40,20
435,6,9,6,40,1.5,14,22,60,17
436,6,9,6,40,1.5,14,22,60,20
437,6,9,6,40,1.5,14,30,40,17
438,6,9,6,40,1.5,14,30,40,20
439,6,9,6,40,1.5,14,30,60,17
440,6,9,6,40,1.5,14,30,60,20
441,6,9,6,40,1.5,17,22,40,17
442,6,9,6,40,1.5,17,22,40,20
443,6,9,6,40,1.5,17,22,60,17
444,6,9,6,40,1.5,17,22,60,20
445,6,9,6,40,1.5,17,30,40,17
446,6,9,6,40,1.5,17,30,40,20
447,6,9,6,40,1.5,17,30,60,17
448,6,9,6,40,1.5,17,30,60,20
449,6,9,10,30,1.2,14,22,40,17
450,6,9,10,30,1.2,14,22,40,20
451,6,9,10,30,1.2,14,22,60,17
452,6,9,10,30,1.2,14,22,60,20
453,6,9,10,30,1.2,14,30,40,17
454,6,9,10,30,1.2,14,30,40,20
455,6,9,10,30,1.2,14,30,60,17
456,6,9,10,30,1.2,14,30,60,20
457,6,9,10,30,1.2,17,22,40,17
458,6,9,10,30,1.2,17,22,40,20
459,6,9,10,30,1.2,17,22,60,17
460,6,9,10,30,1.2,17,22,60,20
461,6,9,10,30,1.2,17,30,40,17
462,6,9,10,30,1.2,17,30,40,20
463,6,9,10,30,1.2,17,30,60,17
464,6,9,10,30,1.2,17,30,60,20
465,6,9,10,30,1.5,14,22,40,17
466,6,9,10,30,1.5,14,22,40,20
467,6,9,10,30,1.5,14,22,60,17
468,6,9,10,30,1.5,14,22,60,20
469,6,9,10,30,1.5,14,30,40,17
470,6,9,10,30,1.5,14,30,40,20
471,6,9,10,30,1.5,14,30,60,17
472,6,9,10,30,1.5,14,30,60,20
473,6,9,10,30,1.5,17,22,40,17
474,6,9,10,30,1.5,17,22,40,20
475,6,9,10,30,1.5,17,22,60,17
476,6,9,10,30,1.5,17,22,60,20
477,6,9,10,30,1.5,17,30,40,17
478,6,9,10,30,1.5,17,30,40,20
479,6,9,10,30,1.5,17,30,60,17
480,6,9,10,30,1.5,17,30,60,20
481,6,9,10,40,1.2,14,22,40,17
482,6,9,10,40,1.2,14,22,40,20
483,6,9,10,40,1.2,14,22,60,17
484,6,9,10,40,1.2,14,22,60,20
485,6,9,10,40,1.2,14,30,40,17
486,6,9,10,40,1.2,14,30,40,20
487,6,9,10,40,1.2,14,30,60,17
488,6,9,10,40,1.2,14,30,60,20
489,6,9,10,40,1.2,17,22,40,17
490,6,9,10,40,1.2,17,22,40,20
491,6,9,10,40,1.2,17,22,60,17
492,6,9,10,40,1.2,17,22,60,20
493,6,9,10,40,1.2,17,30,40,17
494,6,9,10,40,1.2,17,30,40,20
495,6,9,10,40,1.2,17,30,60,17
496,6,9,10,40,1.2,17,30,60,20
497,6,9,10,40,1.5,14,22,40,17
498,6,9,10,40,1.5,14,22,40,20
499,6,9,10,40,1.5,14,22,60,17
500,6,9,10,40,1.5,14,22,60,20
501,6,9,10,40,1.5,14,30,40,17
502,6,9,10,40,1.5,14,30,40,20
503,6,9,10,40,1.5,14,30,60,17
504,6,9,10,40,1.5,14,30,60,20
505,6,9,10,40,1.5,17,22,40,17
506,6,9,10,40,1.5,17,22,40,20
507,6,9,10,40,1.5,17,22,60,17
508,6,9,10,40,1.5,17,22,60,20
509,6,9,10,40,1.5,17,30,40,17
510,6,9,10,40,1.5,17,30,40,20
511,6,9,10,40,1.5,17,30,60,17
512,6,9,10,40,1.5,17,30,60,20
513,6,10,6,30,1.2,14,22,40,17
514,6,10,6,30,1.2,14,22,40,20
515,6,10,6,30,1.2,14,22,60,17
516,6,10,6,30,1.2,14,22,60,20
517,6,10,6,30,1.2,14,30,40,17
518,6,10,6,30,1.2,14,30,40,20
519,6,10,6,30,1.2,14,30,60,17
520,6,10,6,30,1.2,14,30,60,20
521,6,10,6,30,1.2,17,22,40,17
522,6,10,6,30,1.2,17,22,40,20
523,6,10,6,30,1.2,17,22,60,17
524,6,10,6,30,1.2,17,22,60,20
525,6,10,6,30,1.2,17,30,40,17
526,6,10,6,30,1.2,17,30,40,20
527,6,10,6,30,1.2,17,30,60,17
528,6,10,6,30,1.2,17,30,60,20
529,6,10,6,30,1.5,14,22,40,17
530,6,10,6,30,1.5,14,22,40,20
531,6,10,6,30,1.5,14,22,60,17
532,6,10,6,30,1.5,14,22,60,20
533,6,10,6,30,1.5,14,30,40,17
534,6,10,6,30,1.5,14,30,40,20
535,6,10,6,30,1.5,14,30,60,17
536,6,10,6,30,1.5,14,30,60,20
537,6,10,6,30,1.5,17,22,40,17
538,6,10,6,30,1.5,17,22,40,20
539,6,10,6,30,1.5,17,22,60,17
540,6,10,6,30,1.5,17,22,60,20
541,6,10,6,30,1.5,17,30,40,17
542,6,10,6,30,1.5,17,30,40,20
543,6,10,6,30,1.5,17,30,60,17
544,6,10,6,30,1.5,17,30,60,20
545,6,10,6,40,1.2,14,22,40,17
546,6,10,6,40,1.2,14,22,40,20
547,6,10,6,40,1.2,14,22,60,17
548,6,10,6,40,1.2,14,22,60,20
549,6,10,6,40,1.2,14,30,40,17
550,6,10,6,40,1.2,14,30,40,20
551,6,10,6,40,1.2,14,30,60,17
552,6,10,6,40,1.2,14,30,60,20
553,6,10,6,40,1.2,17,22,40,17
554,6,10,6,40,1.2,17,22,40,20
555,6,10,6,40,1.2,17,22,60,17
556,6,10,6,40,1.2,17,22,60,20
557,6,10,6,40,1.2,17,30,40,17
558,6,10,6,40,1.2,17,30,40,20
559,6,10,6,40,1.2,17,30,60,17
560,6,10,6,40,1.2,17,30,60,20
561,6,10,6,40,1.5,14,22,40,17
562,6,10,6,40,1.5,14,22,40,20
563,6,10,6,40,1.5,14,22,60,17
564,6,10,6,40,1.5,14,22,60,20
565,6,10,6,40,1.5,14,30,40,17
566,6,10,6,40,1.5,14,30,40,20
567,6,10,6,40,1.5,14,30,60,17
568,6,10,6,40,1.5,14,30,60,20
569,6,10,6,40,1.5,17,22,40,17
570,6,10,6,40,1.5,17,22,40,20
571,6,10,6,40,1.5,17,22,60,17
572,6,10,6,40,1.5,17,22,60,20
573,6,10,6,40,1.5,17,30,40,17
574,6,10,6,40,1.5,17,30,40,20
575,6,10,6,40,1.5,17,30,60,17
576,6,10,6,40,1.5,17,30,60,20
577,6,10,10,30,1.2,14,22,40,17
578,6,10,10,30,1.2,14,22,40,20
579,6,10,10,30,1.2,14,22,60,17
580,6,10,10,30,1.2,14,22,60,20
581,6,10,10,30,1.2,14,30,40,17
582,6,10,10,30,1.2,14,30,40,20
583,6,10,10,30,1.2,14,30,60,17
584,6,10,10,30,1.2,14,30,60,20
585,6,10,10,30,1.2,17,22,40,17
586,6,10,10,30,1.2,17,22,40,20
587,6,10,10,30,1.2,17,22,60,17
588,6,10,10,30,1.2,17,22,60,20
589,6,10,10,30,1.2,17,30,40,17
590,6,10,10,30,1.2,17,30,40,20
591,6,10,10,30,1.2,17,30,60,17
592,6,10,10,30,1.2,17,30,60,20
593,6,10,10,30,1.5,14,22,40,17
594,6,10,10,30,1.5,14,22,40,20
595,6,10,10,30,1.5,14,22,60,17
596,6,10,10,30,1.5,14,22,60,20
597,6,10,10,30,1.5,14,30,40,17
598,6,10,10,30,1.5,14,30,40,20
599,6,10,10,30,1.5,14,30,60,17
600,6,10,10,30,1.5,14,30,60,20
601,6,10,10,30,1.5,17,22,40,17
602,6,10,10,30,1.5,17,22,40,20
603,6,10,10,30,1.5,17,22,60,17
604,6,10,10,30,1.5,17,22,60,20
605,6,10,10,30,1.5,17,30,40,17
606,6,10,10,30,1.5,17,30,40,20
607,6,10,10,30,1.5,17,30,60,17
608,6,10,10,30,1.5,17,30,60,20
609,6,10,10,40,1.2,14,22,40,17
610,6,10,10,40,1.2,14,22,40,20
611,6,10,10,40,1.2,14,22,60,17
612,6,10,10,40,1.2,14,22,60,20
613,6,10,10,40,1.2,14,30,40,17
614,6,10,10,40,1.2,14,30,40,20
615,6,10,10,40,1.2,14,30,60,17
616,6,10,10,40,1.2,14,30,60,20
617,6,10,10,40,1.2,17,22,40,17
618,6,10,10,40,1.2,17,22,40,20
