,year,gender,year_gender,hiv_incidence,PLHIV_2b_CD4_350_more,PLHIV_2a_CD4_350_less,PLHIV_2_CD4_200_more,PLHIV_3_CD4_200_less,art_coverage,hiv_prevalence,n1_prop,n2_prop,n3_prop,n4_prop,n2_prop_eligible,eta_24,eta_34
54,1994,Females,1994_Females,0.057667748,0.647494955,0.252256547,0.899751502,0.100248498,0,0.21130134,0.78869866,0.190118698,0.021182642,0,0,0,0
55,1995,Females,1995_Females,0.06027218,0.624967749,0.264121388,0.889089137,0.110910863,0,0.239677976,0.760322024,0.213095084,0.026582891,0,0,0,0
56,1996,Females,1996_Females,0.060011162,0.601292262,0.276285269,0.87757753,0.12242247,0,0.265518645,0.734481355,0.233013197,0.032505448,0,0,0,0
57,1997,Females,1997_Females,0.058962254,0.576080284,0.288907058,0.864987341,0.135012659,0,0.287352092,0.712647908,0.248555922,0.03879617,0,0,0,0
58,1998,Females,1998_Females,0.057258295,0.550860737,0.300824842,0.851685578,0.148314422,0,0.305074003,0.694925997,0.259827128,0.045246874,0,0,0,0
59,1999,Females,1999_Females,0.054981631,0.526624938,0.311418647,0.838043585,0.161956415,0,0.31871553,0.68128447,0.267097505,0.051618025,0,0,0,0
60,2000,Females,2000_Females,0.054362617,0.503960069,0.320445932,0.824406001,0.175593999,0,0.328452416,0.671547584,0.270778143,0.057674273,0,0,0,0
61,2001,Females,2001_Females,0.055125919,0.485475424,0.326451887,0.811927311,0.188072689,0,0.336122236,0.663877764,0.272906823,0.063215413,0,0,0,0
62,2002,Females,2002_Females,0.055715678,0.471634511,0.329577122,0.801211633,0.198788367,0,0.342602063,0.657397937,0.274496759,0.068105305,0,0,0,0
63,2003,Females,2003_Females,0.056162845,0.461380943,0.330892053,0.792272996,0.207727004,0,0.348031295,0.651968705,0.275735796,0.072295498,0,0,0,0
64,2004,Females,2004_Females,0.056352642,0.453599692,0.331107318,0.784707009,0.212051705,0.003241286,0.352615287,0.647384713,0.276699687,0.074772673,0.001142927,0,0,0.055727397
65,2005,Females,2005_Females,0.056109812,0.446793815,0.330382959,0.777176774,0.207764851,0.015058375,0.35668532,0.64331468,0.277207547,0.074106672,0.005371101,0,0,0.111223473
66,2006,Females,2006_Females,0.05537279,0.43927733,0.328490804,0.767768133,0.194065164,0.038166703,0.36061631,0.63938369,0.276869711,0.069983063,0.013763536,0,0,0.17619548
67,2007,Females,2007_Females,0.054199844,0.429744681,0.325105722,0.754850403,0.172789489,0.072360108,0.364697007,0.635302993,0.275291683,0.06301581,0.026389515,0,0,0.227299637
68,2008,Females,2008_Females,0.052856928,0.417727664,0.320084578,0.737812242,0.150552662,0.111635096,0.369017201,0.630982799,0.272265408,0.055556522,0.041195271,0,0,0.244037234
69,2009,Females,2009_Females,0.051534749,0.403982278,0.313709251,0.717691529,0.133932919,0.148375551,0.373388059,0.626611941,0.267977447,0.050008953,0.055401659,0,0,0.271600899
70,2010,Females,2010_Females,0.050046363,0.389503778,0.306369008,0.695872785,0.119375362,0.184751853,0.377576778,0.622423222,0.262745404,0.045073364,0.069758009,0,0,0.372534442
71,2011,Females,2011_Females,0.048141742,0.374402365,0.288432863,0.662835227,0.107941486,0.229223287,0.381541583,0.618458417,0.252899202,0.041184166,0.087458216,0.435150171,0.073324489,0.168503873
72,2012,Females,2012_Females,0.045670572,0.35920924,0.234859378,0.594068618,0.109917482,0.2960139,0.384550171,0.615449829,0.228449188,0.042268787,0.113832196,0.395340489,0.07301185,0.184680933
73,2013,Females,2013_Females,0.043040771,0.343362075,0.195679138,0.539041213,0.101271175,0.359687612,0.386604888,0.613395112,0.208395968,0.039151931,0.139056989,0.363013316,0.075172491,0.207079156
74,2014,Females,2014_Females,0.040331663,0.326546045,0.164336277,0.490882321,0.087937847,0.421179832,0.388073356,0.611926644,0.19049835,0.034126335,0.163448671,0.334777338,0.080930355,0.241743829
75,2015,Females,2015_Females,0.03752075,0.301153734,0.141873586,0.44302732,0.074807136,0.482165545,0.38910188,0.61089812,0.172382763,0.029107597,0.18761152,0.320236653,0.098039693,0.306147631
76,2016,Females,2016_Females,0.034660917,0.247228882,0.133967718,0.3811966,0.070301566,0.548501834,0.389300148,0.610699852,0.148399893,0.02736841,0.213531845,1,0.083937188,0.083937188
77,2017,Females,2017_Females,0.03278779,0.215249517,0.12883578,0.344085298,0.069515382,0.58639932,0.388336289,0.611663711,0.133620808,0.026995345,0.227720136,1,0.035044048,0.035044048
78,2018,Females,2018_Females,0.03278779,0.200277618,0.12712728,0.327404898,0.071701539,0.600893563,0.387372431,0.612627569,0.126827631,0.0277752,0.2327696,1,0.035044048,0.035044048
