"G_compartment","sex_name","year","expected_total_pop","expected_disease_pop","expected_non_disease_pop","expected_non_disease_mort_total","expected_non_disease_mort_rate","TB_compartment","HIV_compartment","hiv_adj","tb_adj","mort_rate","level"
1,"male",1991,10016429.4717629,122130.272098494,9894299.19966445,67719.6850427025,0.00684431344516034,6,3,10,4,0.273772537806414,"H"
1,"male",1991,10016429.4717629,122130.272098494,9894299.19966445,67719.6850427025,0.00684431344516034,6,4,1.2,18.3333333333333,0.150574895793527,"H"
1,"male",1991,10016429.4717629,122130.272098494,9894299.19966445,67719.6850427025,0.00684431344516034,7,1,1,1,0.00684431344516034,"H"
1,"male",1991,10016429.4717629,122130.272098494,9894299.19966445,67719.6850427025,0.00684431344516034,7,2,5,1,0.0342215672258017,"H"
1,"male",1991,10016429.4717629,122130.272098494,9894299.19966445,67719.6850427025,0.00684431344516034,7,3,10,1,0.0684431344516034,"H"
1,"male",1991,10016429.4717629,122130.272098494,9894299.19966445,67719.6850427025,0.00684431344516034,7,4,1.2,1,0.0082131761341924,"H"
1,"male",1991,10016429.4717629,122130.272098494,9894299.19966445,67719.6850427025,0.00684431344516034,8,1,1,1,0.00684431344516034,"H"
1,"male",1991,10016429.4717629,122130.272098494,9894299.19966445,67719.6850427025,0.00684431344516034,8,2,5,1,0.0342215672258017,"H"
1,"male",1991,10016429.4717629,122130.272098494,9894299.19966445,67719.6850427025,0.00684431344516034,8,3,10,1,0.0684431344516034,"H"
1,"male",1991,10016429.4717629,122130.272098494,9894299.19966445,67719.6850427025,0.00684431344516034,8,4,1.2,1,0.0082131761341924,"H"
1,"male",1992,10279132.0610008,166740.024744784,10112392.036256,71815.2998667416,0.00710171239497655,1,1,1,1,0.00710171239497655,"H"
1,"male",1992,10279132.0610008,166740.024744784,10112392.036256,71815.2998667416,0.00710171239497655,1,2,5,1,0.0355085619748827,"H"
1,"male",1992,10279132.0610008,166740.024744784,10112392.036256,71815.2998667416,0.00710171239497655,1,3,10,1,0.0710171239497655,"H"
1,"male",1992,10279132.0610008,166740.024744784,10112392.036256,71815.2998667416,0.00710171239497655,1,4,1.2,1,0.00852205487397186,"H"
1,"male",1992,10279132.0610008,166740.024744784,10112392.036256,71815.2998667416,0.00710171239497655,2,1,1,1,0.00710171239497655,"H"
1,"male",1992,10279132.0610008,166740.024744784,10112392.036256,71815.2998667416,0.00710171239497655,2,2,5,1,0.0355085619748827,"H"
1,"male",1992,10279132.0610008,166740.024744784,10112392.036256,71815.2998667416,0.00710171239497655,2,3,10,1,0.0710171239497655,"H"
1,"male",1992,10279132.0610008,166740.024744784,10112392.036256,71815.2998667416,0.00710171239497655,2,4,1.2,1,0.00852205487397186,"H"
1,"male",1992,10279132.0610008,166740.024744784,10112392.036256,71815.2998667416,0.00710171239497655,3,1,1,1,0.00710171239497655,"H"
1,"male",1992,10279132.0610008,166740.024744784,10112392.036256,71815.2998667416,0.00710171239497655,3,2,5,1,0.0355085619748827,"H"
1,"male",1992,10279132.0610008,166740.024744784,10112392.036256,71815.2998667416,0.00710171239497655,3,3,10,1,0.0710171239497655,"H"
1,"male",1992,10279132.0610008,166740.024744784,10112392.036256,71815.2998667416,0.00710171239497655,3,4,1.2,1,0.00852205487397186,"H"
1,"male",1992,10279132.0610008,166740.024744784,10112392.036256,71815.2998667416,0.00710171239497655,4,1,1,1,0.00710171239497655,"H"
1,"male",1992,10279132.0610008,166740.024744784,10112392.036256,71815.2998667416,0.00710171239497655,4,2,5,1,0.0355085619748827,"H"
1,"male",1992,10279132.0610008,166740.024744784,10112392.036256,71815.2998667416,0.00710171239497655,4,3,10,1,0.0710171239497655,"H"
1,"male",1992,10279132.0610008,166740.024744784,10112392.036256,71815.2998667416,0.00710171239497655,4,4,1.2,1,0.00852205487397186,"H"
1,"male",1992,10279132.0610008,166740.024744784,10112392.036256,71815.2998667416,0.00710171239497655,5,1,1,1,0.00710171239497655,"H"
