"sim_id","HIV_neg_female","HIV_neg_male","HIV_pos_female","HIV_pos_male","hiv_prev_mse_male","hiv_prev_mse_female","hiv_prev_mse","max_perc_diff_male","max_perc_diff_female","b1_contact","b2_contact","hiv2_mort","hiv3_mort","hiv4_mort","tb_hiv1_mort","tb_hiv2_mort","tb_hiv3_mort","tb_hiv4_mort","hiv_prev_mse_male_norm","hiv_prev_mse_female_norm","hiv_prev_mse_male_norm_rank","hiv_prev_mse_female_norm_rank"
47,6786.39013302973,24549.8017163994,168108.10690676,36360.4552990928,108408303.234897,187433334.219031,295841637.453928,0.0317263253094946,0.0542703548909735,6,6,8,45,1.2,17,30,60,17,0.182836721619743,0.47305433215076,1816,4596
48,6787.70285306637,24558.6768867894,163135.465876292,35747.6738083333,108559549.588556,186370760.86239,294930310.450946,0.0317277896044351,0.0540641018755945,6,6,8,45,1.2,17,30,60,20,0.183272291019167,0.469527466967389,1822,4575
49,9225.6282261692,34533.8340552599,285562.812168467,67890.2970781399,98050857.6121604,205263446.202389,303314303.814549,0.0302750169978814,0.0557057071519016,6,6,8,45,1.5,14,22,40,17,0.15300865462627,0.532235564935,1556,4813
50,9228.00322544362,34551.1423846831,278158.812527596,66143.6613306591,98207231.0647717,204003353.089763,302210584.154535,0.0302768397152486,0.0554738896367413,6,6,8,45,1.5,14,22,40,20,0.153458989389336,0.52805309743857,1558,4797
51,9509.04220080917,36043.7985515462,201995.540152726,44970.9826517656,103400468.421853,194095290.572149,297495758.994003,0.0310547250516095,0.0546188227309215,6,6,8,45,1.5,14,22,60,17,0.168414822848891,0.495166520234622,1645,4699
52,9511.4296446117,36061.6293750275,196077.794325703,44023.3180507044,103553480.208418,192949970.765505,296503450.973924,0.0310562954662632,0.0544002677334956,6,6,8,45,1.5,14,22,60,20,0.168855476460476,0.491365005238381,1652,4683
53,9539.53441998442,36177.8598405894,227056.0327681,48309.6957416393,104464083.191438,193400266.949933,297864350.141371,0.0310658905662741,0.0544273167113166,6,6,8,45,1.5,14,30,40,17,0.171477892041626,0.492859616339946,1681,4687
54,9542.10163640792,36196.9198991904,220835.815121706,47096.0622527966,104632183.236595,192226768.365888,296858951.602482,0.0310676830062731,0.0542053239238629,6,6,8,45,1.5,14,30,40,20,0.171961997832876,0.488964571096304,1687,4669
55,9821.67922542667,37693.7430475149,157822.986734623,33822.200323235,109839922.506647,183032773.874343,292872696.380991,0.0318185391107219,0.0534197654737219,6,6,8,45,1.5,14,30,60,17,0.186959594874629,0.45844810946505,1874,4513
56,9824.22529131172,37713.044048891,152917.87649983,33284.3890679032,110001560.096266,181966692.215369,291968252.311635,0.0318200413656324,0.0532105685787342,6,6,8,45,1.5,14,30,60,20,0.187425089652726,0.454909599618021,1879,4490
57,6238.75448827609,21860.8844081739,297251.319788658,72733.2685157635,97511585.7465022,205559906.590596,303071492.337098,0.03021954859128,0.0557466170903661,6,6,8,45,1.5,17,22,40,17,0.151455623316963,0.533219568359217,1551,4816
58,6239.60655086941,21865.2381941317,289822.00722644,70923.7418500595,97663643.4918205,204319066.202918,301982709.694739,0.0302213252293405,0.0555181424249217,6,6,8,45,1.5,17,22,40,20,0.15189352941654,0.52910100399463,1553,4804
59,6498.51027436135,23134.4684109105,213193.554236445,48613.7202887262,102705517.065551,194681507.515621,297387024.581172,0.0309817924566451,0.0546762296337689,6,6,8,45,1.5,17,22,60,17,0.166413455294762,0.497112275899313,1628,4707
60,6499.54943946155,23140.8718706983,207215.204806236,47587.7899937242,102854397.231135,193552424.836868,296406822.068003,0.0309833264339,0.0544607823841049,6,6,8,45,1.5,17,22,60,20,0.166842210386973,0.493364654745484,1631,4691
61,6522.04039919263,23228.2012632542,238156.400131519,52218.6785381424,103871733.508333,193621211.28274,297492944.791074,0.0310107034829586,0.0544947949702978,6,6,8,45,1.5,17,30,40,17,0.169772003671578,0.493592968884475,1660,4693
62,6523.19179774299,23235.3146362882,231900.661569183,50935.9644215163,104034706.864054,192467383.99292,296502090.856973,0.0310124033274926,0.0542762359604564,6,6,8,45,1.5,17,30,40,20,0.170241345278539,0.489763216076672,1666,4676
63,6785.56223425536,24547.2766166646,168277.636102105,36381.96886189,108987287.925352,183746883.153742,292734171.079094,0.0317296321409145,0.0535045504514405,6,6,8,45,1.5,17,30,60,17,0.184504120587031,0.460818361964693,1838,4524
64,6786.86817808237,24556.1264714436,163294.318481891,35759.1504895528,109144278.204775,182696203.435249,291840481.640024,0.0317310963195595,0.0532984357437596,6,6,8,45,1.5,17,30,60,20,0.184956231729345,0.457330973828273,1846,4505
65,9238.60730148713,34440.5741025717,279415.20828936,71163.7589846752,180695717.408681,139566397.056092,320262114.464773,0.0378697912894975,0.0485162161345718,6,6,12,35,1.2,14,22,40,17,0.391014868172336,0.314175669271211,3139,3479
66,9240.92238737692,34457.636187188,272255.355347029,69393.1414619821,181018199.973974,138526855.784539,319545055.758514,0.0378714982227108,0.0482864409813152,6,6,12,35,1.2,14,22,40,20,0.391943575105702,0.310725251571199,3140,3461
67,9540.55492560259,36055.7357498975,191043.268322293,45702.4125844801,190207540.418776,129090596.910922,319298137.329698,0.0387857642851535,0.0471831086425918,6,6,12,35,1.2,14,22,60,17,0.418407654416113,0.27940467245576,3237,3274
68,9542.8957122587,36073.4337896036,185423.007357203,44705.5002248031,190511579.839362,128161978.289494,318673558.128856,0.038787228056538,0.046967805404408,6,6,12,35,1.2,14,22,60,20,0.419283247543632,0.276322426261578,3243,3253
69,9532.97423730407,35983.1808699578,224988.899368657,52667.1725105356,189525448.819553,130742884.53919,320268333.358743,0.0385979703512405,0.0473289869777932,6,6,12,35,1.2,14,30,40,17,0.416443321253442,0.28488890154228,3223,3315
70,9535.45203146345,36001.7627233396,218916.490867414,51356.5169884038,189848884.425209,129776458.233017,319625342.658227,0.0385996086325715,0.0471084117613304,6,6,12,35,1.2,14,30,40,20,0.417374772816405,0.281681165087916,3231,3291
71,9836.22541540932,37620.6261092615,151255.427942201,35353.9288399075,198752399.701045,121308298.926207,320060698.627252,0.0394672821893373,0.0460780674078907,6,6,12,35,1.2,14,30,60,17,0.443015713623475,0.253573876268969,3429,3063
72,9838.70885320977,37639.6460830879,146538.705627378,34702.0470811327,199055574.044828,120443738.304487,319499312.349315,0.0394686868945952,0.0458713080703685,6,6,12,35,1.2,14,30,60,20,0.443888815444759,0.250704249681214,3438,3032
73,6252.99243577529,21782.1999025908,291396.902537586,76250.2121180222,180120186.629573,139480725.365562,319600911.995135,0.0378332272697138,0.0485364928820548,6,6,12,35,1.2,17,22,40,17,0.38935741601074,0.313891310077897,3137,3476
74,6253.82189054493,21786.6836664536,284208.794998093,74422.9217233451,180435953.561212,138457910.064284,318893863.625496,0.0378348903139094,0.0483101254970048,6,6,12,35,1.2,17,22,40,20,0.39026678281162,0.31049640877292,3138,3458
75,6528.11594178336,23136.9412084946,202302.523433468,49514.1731365132,189416031.451049,129216129.29409,318632160.745139,0.0387300803717159,0.0472287210937512,6,6,12,35,1.2,17,22,60,17,0.416128213772615,0.279821336198375,3221,3277
76,6529.15144510732,23143.646983705,196622.697956276,48447.5748357307,189713569.411504,128301761.071766,318015330.48327,0.0387315064845907,0.0470166368701206,6,6,12,35,1.2,17,22,60,20,0.416985083558933,0.276786389549337,3226,3255
77,6520.77152114743,23078.6049410079,236719.548450602,57008.1938694102,188732259.912801,130832324.357568,319564584.270369,0.0385445571356269,0.0473732844051115,6,6,12,35,1.2,17,30,40,17,0.414159042608799,0.285185767805181,3210,3319
78,6521.87315195724,23085.6008236418,230593.615338738,55630.9601826353,189048661.629019,129881067.896287,318929729.525306,0.0385461532738768,0.0471560336719814,6,6,12,35,1.2,17,30,40,20,0.415070237504912,0.282028382695928,3212,3294
79,6800.76773808533,24483.4004455,161873.500740527,38222.2176858874,197744842.435971,121578526.532473,319323368.968445,0.0393956884036907,0.0461468650536273,6,6,12,35,1.2,17,30,60,17,0.440114082594256,0.254470808542088,3401,3071
80,6802.0463497058,24492.3258673621,157076.99525014,37493.7562687259,198041253.919217,120726957.584596,318768211.503813,0.0393970569557291,0.0459432469047555,6,6,12,35,1.2,17,30,60,20,0.440967708275909,0.251644303572115,3410,3039
81,9237.41626463894,34437.122188052,279595.806295141,71270.1897460403,181786886.844408,136363307.401551,318150194.245959,0.0378730416925791,0.0477513479034025,6,6,12,35,1.5,14,22,40,17,0.394157291141824,0.303544059405209,3144,3423
82,9239.72747907524,34454.1716267115,272426.444808192,69490.1276410951,182115755.266735,135337248.413477,317453003.680212,0.0378747484913788,0.0475217351352889,6,6,12,35,1.5,14,22,40,20,0.39510438849483,0.300138391741413,3146,3402
